Device_Names,Announced_Date,Features,Device_Url
Allview Soul X7 Pro Android smartphone, Announced May 2020," Features 6.53″  display, Snapdragon 630 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/allview_soul_x7_pro-10302.php
Allview Soul X7 Style Android smartphone, Announced May 2020," Features 6.21″  display, MT6763 Helio P23 chipset, 3400 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/allview_soul_x7_style-10301.php
Allview Viva 803G Android tablet, Announced Apr 2020," Features 8.0″  display, MT8321 chipset, 3600 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_viva_803g-10303.php
Allview V4 Viper Pro Android smartphone, Announced Jan 2020," Features 6.8″  display, MT6739 chipset, 3500 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/allview_v4_viper_pro-10039.php
Allview Viva C703 Android tablet, Announced Oct 2019," Features 7.0″  display, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_viva_c703-9939.php
Allview Viva Home Android tablet, Announced Jul 2019," Features 17.3″  display, MT8163 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/allview_viva_home-9911.php
Allview Viva 1003G Android tablet, Announced Aug 2019," Features 10.1″  display, MT8321A chipset, 4000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/allview_viva_1003g-9910.php
Allview Viva 1003G Lite Android tablet, Announced Sep 2019," Features 10.1″  display, MT8321A chipset, 4000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_viva_1003g_lite-9909.php
Allview V4 Viper Android smartphone, Announced Sep 2019," Features 5.7″  display, MT6761 Helio A22 chipset, 2700 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/allview_v4_viper-9908.php
Allview Soul X6 Mini Android smartphone, Announced May 2019," Features 6.2″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/allview_soul_x6_mini-9709.php
Allview Soul X6 Xtreme Android smartphone, Announced Apr 2019," Features 6.39″  display, MT6771 Helio P70 chipset, 3450 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/allview_soul_x6_xtreme-9685.php
Allview P10 Pro Android smartphone, Announced Apr 2019," Features 5.99″  display, MT6739 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/allview_p10_pro-9686.php
Allview P10 Max Android smartphone, Announced Apr 2019," Features 5.99″  display, MT6739 chipset, 3200 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_p10_max-9687.php
Allview P10 Mini Android smartphone, Announced Apr 2019," Features 5.0″  display, 2400 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_p10_mini-9688.php
Allview P10 Life Android smartphone, Announced Jan 2019," Features 5.34″  display, MT6739 chipset, 2500 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/allview_p10_life-9621.php
Allview A10 Lite 2019 Android smartphone, Announced Oct 2018," Features 5.34″  display, MT6580M chipset, 2150 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_a10_lite_2019-9504.php
Allview Allwatch Hybrid T watch, Announced Dec 2018," Features 1.22″  display, 200 mAh battery",https://www.gsmarena.com/allview_allwatch_hybrid_t-9492.php
Allview Allwatch Hybrid S watch, Announced Dec 2018," Features 1.22″  display, 200 mAh battery",https://www.gsmarena.com/allview_allwatch_hybrid_s-9491.php
Allview A10 Plus Android smartphone, Announced Nov 2018," Features 5.34″  display, MT6580 chipset, 2200 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/allview_a10_plus-9471.php
Allview Soul X5 Style Android smartphone, Announced Nov 2018," Features 6.2″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/allview_soul_x5_style-9400.php
Allview Allwatch V watch, Announced Jun 2018," Features 1.3″  display, 130 mAh battery",https://www.gsmarena.com/allview_allwatch_v-9392.php
