Device_Names,Announced_Date,Features,Device_Url
Amazon Fire HD 10 Plus (2021) Android tablet, Announced Apr 2021," Features 10.1″  display, MT8183 Helio P60T chipset, 64 GB storage, 4 GB RAM, Aluminosilicate glass",https://www.gsmarena.com/amazon_fire_hd_10_plus_(2021)-10882.php
Amazon Fire HD 10 (2021) Android tablet, Announced Apr 2021," Features 10.1″  display, MT8183 Helio P60T chipset, 64 GB storage, 3 GB RAM, Aluminosilicate glass",https://www.gsmarena.com/amazon_fire_hd_10_(2021)-10881.php
Amazon Fire HD 8 Plus (2020) Android tablet, Announced Mar 2020," Features 8.0″  display, MediaTek MT8168 chipset, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/amazon_fire_hd_8_plus_(2020)-10246.php
Amazon Fire HD 8 (2020) Android tablet, Announced Mar 2020," Features 8.0″  display, MediaTek MT8168 chipset, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/amazon_fire_hd_8_(2020)-10245.php
Amazon Fire HD 10 (2019) Android tablet, Announced Sep 2019," Features 10.1″  display, MT8183 Helio P60T chipset, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/amazon_fire_hd_10_(2019)-10620.php
Amazon Fire HD 10 (2017) tablet, Announced Sep 2017," Features 10.1″  display, MT8173 chipset, 2 MP primary camera, 3830 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/amazon_fire_hd_10_(2017)-8872.php
Amazon Fire HD 8 (2017) tablet, Announced May 2017," Features 8.0″  display, MT8163 chipset, 2 MP primary camera, 3210 mAh battery, 32 GB storage, 15 GB RAM",https://www.gsmarena.com/amazon_fire_hd_8_(2017)-8806.php
Amazon Fire 7 (2017) tablet, Announced May 2017," Features 7.0″  display, MT8127 chipset, 2 MP primary camera, 2980 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_fire_7_(2017)-8805.php
Amazon Fire HD 10 Android tablet, Announced Sep 2015," Features 10.1″  display, 5 MP primary camera, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_fire_hd_10-7611.php
Amazon Fire HD 8 tablet, Announced Sep 2015," Features 8.0″  display, MT8135 chipset, 5 MP primary camera, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_fire_hd_8-7610.php
Amazon Fire 7 tablet, Announced Sep 2015," Features 7.0″  display, MT8127 chipset, 2 MP primary camera, 2980 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_fire_7-7609.php
Amazon Fire HDX 8,9 (2014) Android tablet," Announced Sep 2014. Features 89″  display, Snapdragon 805 chipset, 8 MP primary camera, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/amazon_fire_hdx_8_9_(2014)-6690.php
Amazon Fire HD 7 Android tablet, Announced Sep 2014," Features 7.0″  display, 2 MP primary camera, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass",https://www.gsmarena.com/amazon_fire_hd_7-6689.php
Amazon Fire HD 6 Android tablet, Announced Sep 2014," Features 6.0″  display, 2 MP primary camera, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass",https://www.gsmarena.com/amazon_fire_hd_6-6688.php
Amazon Fire Phone smartphone, Announced Jun 2014," Features 4.7″  display, Snapdragon 800 chipset, 13 MP primary camera, 21 MP front camera, 2400 mAh battery, 64 GB storage, 2 GB RAM, Corning Gorilla Glass 3 (front and back)",https://www.gsmarena.com/amazon_fire_phone-6453.php
Amazon Kindle Fire HDX 8,9 Android tablet," Announced Sep 2013. Features 89″  display, Snapdragon 800 chipset, 8 MP primary camera, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/amazon_kindle_fire_hdx_8_9-5728.php
Amazon Kindle Fire HDX Android tablet, Announced Sep 2013," Features 7.0″  display, Snapdragon 800 chipset, 13 MP primary camera, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/amazon_kindle_fire_hdx-5727.php
Amazon Kindle Fire HD (2013) Android tablet, Announced Sep 2013," Features 7.0″  display, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_kindle_fire_hd_(2013)-5726.php
Amazon Kindle Fire HD 8,9 LTE Android tablet," Announced Sep 2012. Features 89″  display, TI OMAP 4470 chipset, 13 MP primary camera, 64 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_kindle_fire_hd_8_9_lte-4996.php
Amazon Kindle Fire HD 8,9 Android tablet," Announced Sep 2012. Features 89″  display, TI OMAP 4470 chipset, 13 MP primary camera, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_kindle_fire_hd_8_9-4995.php
Amazon Kindle Fire HD Android tablet, Announced Sep 2012," Features 7.0″  display, TI OMAP 4460 chipset, 13 MP primary camera, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/amazon_kindle_fire_hd-4994.php
Amazon Kindle Fire Android tablet, Announced Sep 2011," Features 7.0″  display, TI OMAP 4430 chipset, 4400 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/amazon_kindle_fire-4524.php
