Device_Names,Announced_Date,Features,Device_Url
Asus ROG Phone 6D Ultimate Android smartphone, Announced Sep 2022," Features 6.78″  display, MediaTek Dimensity 9000+ chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_6d_ultimate-11880.php
Asus ROG Phone 6D Android smartphone, Announced Sep 2022," Features 6.78″  display, MediaTek Dimensity 9000+ chipset, 6000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_6d-11881.php
Asus ROG Phone 6 Batman Edition Android smartphone, Announced Sep 2022," Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_6_batman_edition-11882.php
Asus Zenfone 9 Android smartphone, Announced Jul 2022," Features 5.9″  display, Snapdragon 8+ Gen 1 chipset, 4300 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_zenfone_9-11656.php
Asus ROG Phone 6 Pro Android smartphone, Announced Jul 2022," Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_6_pro-11648.php
Asus ROG Phone 6 Android smartphone, Announced Jul 2022," Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_6-11647.php
Asus ROG Phone 5s Pro Android smartphone, Announced Aug 2021," Features 6.78″  display, Snapdragon 888+ 5G chipset, 6000 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_5s_pro-11053.php
Asus ROG Phone 5s Android smartphone, Announced Aug 2021," Features 6.78″  display, Snapdragon 888+ 5G chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_5s-11054.php
Asus Smartphone for Snapdragon Insiders Android smartphone, Announced Jul 2021," Features 6.78″  display, Snapdragon 888 5G chipset, 4000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_smartphone_for_snapdragon_insiders-11006.php
Asus Zenfone 8 Flip Android smartphone, Announced May 2021," Features 6.67″  display, Snapdragon 888 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_zenfone_8_flip-10892.php
Asus Zenfone 8 Android smartphone, Announced May 2021," Features 5.9″  display, Snapdragon 888 5G chipset, 4000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_zenfone_8-10893.php
Asus ROG Phone 5 Ultimate Android smartphone, Announced Mar 2021," Features 6.78″  display, Snapdragon 888 5G chipset, 6000 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_5_ultimate-10785.php
Asus ROG Phone 5 Pro Android smartphone, Announced Mar 2021," Features 6.78″  display, Snapdragon 888 5G chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_5_pro-10784.php
Asus ROG Phone 5 Android smartphone, Announced Mar 2021," Features 6.78″  display, Snapdragon 888 5G chipset, 6000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/asus_rog_phone_5-10715.php
Asus Zenfone 7 Pro Android smartphone, Announced Aug 2020," Features 6.67″  display, Snapdragon 865 5G+ chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_zenfone_7_pro-10393.php
Asus Zenfone 7 Android smartphone, Announced Aug 2020," Features 6.67″  display, Snapdragon 865 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_zenfone_7-10379.php
Asus ROG Phone 3 Android smartphone, Announced Jul 2020," Features 6.59″  display, Snapdragon 865 5G+ chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_rog_phone_3-10296.php
Asus ROG Phone 3 Strix Android smartphone, Announced Jul 2020," Features 6.59″  display, Snapdragon 865 5G chipset, 6000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_rog_phone_3_strix-10328.php
Asus ROG Phone II ZS660KL Android smartphone, Announced Jul 2019," Features 6.59″  display, Snapdragon 855+ chipset, 6000 mAh battery, 1024 GB storage, 12 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_rog_phone_ii_zs660kl-9770.php
Asus Zenfone 6 ZS630KL Android smartphone, Announced May 2019," Features 6.4″  display, Snapdragon 855 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_zenfone_6_zs630kl-9698.php
Asus ZenFone Live (L2) Android smartphone, Announced Apr 2019," Features 5.5″  display, Snapdragon 425 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/asus_zenfone_live_(l2)-9667.php
Asus Zenfone Max Plus (M2) ZB634KL Android smartphone, Announced Mar 2019," Features 6.26″  display, Snapdragon SiP 1 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/asus_zenfone_max_plus_(m2)_zb634kl-9634.php
Asus Zenfone Max Shot ZB634KL Android smartphone, Announced Mar 2019," Features 6.26″  display, Snapdragon SiP 1 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/asus_zenfone_max_shot_zb634kl-9633.php
Asus Zenfone Max Pro (M2) ZB631KL Android smartphone, Announced Dec 2018," Features 6.26″  display, Snapdragon 660 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_zenfone_max_pro_(m2)_zb631kl-9410.php
Asus Zenfone Max (M2) ZB633KL Android smartphone, Announced Dec 2018," Features 6.26″  display, Snapdragon 632 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/asus_zenfone_max_(m2)_zb633kl-9437.php
Asus Zenfone Max (M1) ZB556KL Android smartphone, Announced Oct 2018," Features 5.45″  display, Snapdragon 430 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/asus_zenfone_max_(m1)_zb556kl-9373.php
Asus ZenFone Lite (L1) ZA551KL Android smartphone, Announced Oct 2018," Features 5.45″  display, Snapdragon 430 chipset, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/asus_zenfone_lite_(l1)_za551kl-9372.php
Asus ROG Phone ZS600KL Android smartphone, Announced Jun 2018," Features 6.0″  display, Snapdragon 845 chipset, 4000 mAh battery, 512 GB storage, 8 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/asus_rog_phone_zs600kl-9224.php
Asus ZenFone Live (L1) ZA550KL Android smartphone, Announced May 2018," Features 5.5″  display, Snapdragon 425 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/asus_zenfone_live_(l1)_za550kl-9194.php
Asus Zenfone Max Pro (M1) ZB601KL/ZB602K Android smartphone, Announced Apr 2018," Features 5.99″  display, Snapdragon 636 chipset, Dual: 13 MP (f/22, 25mm, 112µm, PDAF) + 5 MP primary camera, 8 MP front camera, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/asus_zenfone_max_pro_(m1)_zb601kl_zb602k-9173.php
Asus Zenfone 5z ZS620KL Android smartphone, Announced Feb 2018," Features 6.2″  display, Snapdragon 845 chipset, 3300 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/asus_zenfone_5z_zs620kl-9096.php
Asus Zenfone 5 ZE620KL Android smartphone, Announced Feb 2018," Features 6.2″  display, Snapdragon 636 chipset, 3300 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/asus_zenfone_5_ze620kl-9061.php
