Device_Names,Announced_Date,Features,Device_Url
BLU Studio X5 Max Android smartphone, Announced Jul 2022," Features 5.7″  display, 2700 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/blu_studio_x5_max-11830.php
BLU Studio X5 Android smartphone, Announced Jul 2022," Features 5.0″  display, 2000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_studio_x5-11829.php
BLU G40 Android smartphone, Announced Jun 2022," Features 6.0″  display, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/blu_g40-11828.php
BLU Bold N2 Android smartphone, Announced Aug 2022," Features 6.6″  display, MediaTek MT6833P Dimensity 810 chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/blu_bold_n2-11757.php
BLU Studio X10L 2022 Android smartphone, Announced Jul 2022," Features 5.0″  display, 2000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_studio_x10l_2022-11716.php
BLU S91 Pro Android smartphone, Announced Jul 2022," Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_s91_pro-11715.php
BLU J6S Android smartphone, Announced Jul 2022," Features 6.1″  display, 3000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_j6s-11673.php
BLU C7X Android smartphone, Announced Jul 2022," Features 6.5″  display, 4000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_c7x-11672.php
BLU S91 Android smartphone, Announced Jun 2022," Features 6.5″  display, MediaTek MT6762G Helio G25 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_s91-11643.php
BLU G51 Android smartphone, Announced Jun 2022," Features 6.1″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/blu_g51-11623.php
BLU G61s Android smartphone, Announced Apr 2022," Features 6.5″  display, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_g61s-11536.php
BLU G50 Mega 2022 Android smartphone, Announced Apr 2022," Features 6.5″  display, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/blu_g50_mega_2022-11509.php
BLU F91 Android smartphone, Announced Apr 2022," Features 6.8″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/blu_f91-11483.php
BLU G71L Android smartphone, Announced Jan 2022," Features 6.5″  display, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_g71l-11398.php
BLU G91 Max Android smartphone, Announced Feb 2022," Features 6.8″  display, Helio G95 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/blu_g91_max-11376.php
BLU G71+ Android smartphone, Announced Jan 2022," Features 6.5″  display, 4900 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_g71+-11369.php
BLU M8L 2022 Android tablet, Announced Feb 2022," Features 8.0″  display, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/blu_m8l_2022-11368.php
BLU G51S Android smartphone, Announced Jan 2022," Features 6.4″  display, 4000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/blu_g51s-11348.php
BLU C5 Max Android smartphone, Announced Jan 2022," Features 5.7″  display, 2700 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_c5_max-11319.php
BLU Studio X10 2022 Android smartphone, Announced Jan 2022," Features 5.0″  display, MT6580 chipset, 2000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_studio_x10_2022-11318.php
BLU C5L Max Android smartphone, Announced Dec 2021," Features 5.7″  display, Unisoc SC9832 chipset, 2000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/blu_c5l_max-11273.php
BLU G91s Android smartphone, Announced Dec 2021," Features 6.8″  display, MT6769V chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_g91s-11264.php
BLU View 3 Android smartphone, Announced Sep 2021," Features 6.0″  display, MT6762 Helio P22 chipset, 3400 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/blu_view_3-11258.php
BLU M8L Plus Android tablet, Announced Aug 2020," Features 8.0″  display, 4300 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/blu_m8l_plus-11096.php
BLU M8L Android tablet, Announced Aug 2020," Features 8.0″  display, 4000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_m8l-11095.php
BLU Studio X10L Android smartphone, Announced Aug 2020," Features 5.0″  display, 2000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_studio_x10l-11094.php
BLU G91 Pro Android smartphone, Announced Aug 2021," Features 6.7″  display, MT6785 Helio G90 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/blu_g91_pro-11073.php
BLU J9L Android smartphone, Announced Jun 2021," Features 6.0″  display, 3000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_j9l-10973.php
BLU G51 Plus Android smartphone, Announced May 2021," Features 6.5″  display, 4000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/blu_g51_plus-10934.php
BLU C7 Android smartphone, Announced May 2021," Features 6.5″  display, 4000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/blu_c7-10935.php
BLU View 2 Android smartphone, Announced Nov 2020," Features 5.5″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/blu_view_2-10915.php
BLU G91 Android smartphone, Announced Feb 2021," Features 6.5″  display, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/blu_g91-10781.php
