Device_Names,Announced_Date,Features,Device_Url
BenQ-Siemens SF71 phone, Announced Mar 2007," Features 2.0″  display, 2 MP primary camera, 920 mAh battery, 45 MB storage",https://www.gsmarena.com/benq_siemens_sf71-2075.php
BenQ-Siemens E52 phone, Announced Jun 2007," Features 1.8″  display, 13 MP primary camera, 920 mAh battery, 20 MB storage",https://www.gsmarena.com/benq_siemens_e52-2000.php
BenQ-Siemens C32 phone, Announced Jul 2007," Features 2.0″  display, 2 MP primary camera, 720 mAh battery",https://www.gsmarena.com/benq_siemens_c32-2110.php
BenQ-Siemens C31 phone, Announced Jun 2007," Features 1.8″  display, 13 MP primary camera, 920 mAh battery, 20 MB storage",https://www.gsmarena.com/benq_siemens_c31-2001.php
BenQ-Siemens SL80 phone, Announced Aug 2006," Features 1.8″  display, 13 MP primary camera, 750 mAh battery, 52 MB storage",https://www.gsmarena.com/benq_siemens_sl80-1668.php
BenQ-Siemens AL26 phone, Announced Aug 2006," Features TFT, 65K colors display, 600 mAh battery, 2 MB storage.",https://www.gsmarena.com/benq_siemens_al26-1666.php
BenQ-Siemens A53 phone, Announced Apr 2007," Features TFT, 256K colors display, 1.3 MP primary camera, 600 mAh battery",https://www.gsmarena.com/benq_siemens_a53-2511.php
BenQ-Siemens SL91 phone, Announced Jul 2006," Features 2.0″  display, 315 MP primary camera, 950 mAh battery, 64 MB storage",https://www.gsmarena.com/benq_siemens_sl91-1652.php
BenQ-Siemens E81 phone, Announced Jul 2006," Features 1.8″  display, 13 MP primary camera, 900 mAh battery, 16 MB storage",https://www.gsmarena.com/benq_siemens_e81-1651.php
BenQ-Siemens E71 phone, Announced Jul 2006," Features 2.1″  display, 13 MP primary camera, 730 mAh battery, 16 MB storage",https://www.gsmarena.com/benq_siemens_e71-1650.php
BenQ-Siemens EF61 phone, Announced Jul 2006," Features TFT, 256K colors display, 1.3 MP primary camera, 750 mAh battery, 2 MB storage",https://www.gsmarena.com/benq_siemens_ef61-1640.php
BenQ-Siemens M81 phone, Announced Jun 2006," Features 1.8″  display, 13 MP primary camera, 820 mAh battery, 27 MB storage",https://www.gsmarena.com/benq_siemens_m81-1593.php
BenQ-Siemens A58 phone, Announced May 2006," Features CSTN, 65K colors display, 820 mAh battery, 7 MB storage.",https://www.gsmarena.com/benq_siemens_a58-1574.php
BenQ-Siemens A38 phone, Announced May 2006," Features 1.4″  display, 860 mAh battery, 1 MB storage",https://www.gsmarena.com/benq_siemens_a38-1573.php
BenQ-Siemens EF71 phone, Announced May 2006," Features 2.2″  display, 2 MP primary camera, 750 mAh battery, 24 MB storage",https://www.gsmarena.com/benq_siemens_ef71-1568.php
BenQ-Siemens P51 Windows Mobile smartphone, Announced Mar 2006," Features 2.8″  display, 13 MP primary camera, 1370 mAh battery, 64 MB RAM",https://www.gsmarena.com/benq_siemens_p51-1497.php
BenQ-Siemens EL71 phone, Announced Feb 2006," Features 2.0″  display, 13 MP primary camera, 570 mAh battery, 16 MB storage",https://www.gsmarena.com/benq_siemens_el71-1499.php
BenQ-Siemens CL71 phone, Announced Mar 2006," Features TFT, 256K colors display, 1.3 MP primary camera, 750 mAh battery, 24 MB storage",https://www.gsmarena.com/benq_siemens_cl71-1501.php
BenQ-Siemens CF61 phone, Announced Mar 2006," Features 1.8″  display, 13 MP primary camera, 750 mAh battery, 2 MB storage",https://www.gsmarena.com/benq_siemens_cf61-1500.php
BenQ-Siemens C81 phone, Announced Mar 2006," Features 1.8″  display, 13 MP primary camera, 820 mAh battery, 23 MB storage",https://www.gsmarena.com/benq_siemens_c81-1498.php
BenQ-Siemens E61 phone, Announced Mar 2006," Features 1.8″  display, 840 mAh battery, 1 MB storage",https://www.gsmarena.com/benq_siemens_e61-1502.php
BenQ-Siemens EF91 phone, Announced Feb 2006," Features 2.0″  display, 315 MP primary camera, 1000 mAh battery, 32 MB storage",https://www.gsmarena.com/benq_siemens_ef91-1437.php
BenQ-Siemens S81 phone, Announced Feb 2006," Features 2.0″  display, 13 MP primary camera, 920 mAh battery, 30 MB storage",https://www.gsmarena.com/benq_siemens_s81-1438.php
BenQ-Siemens EF51 phone, Announced Feb 2006," Features 2.2″  display, 13 MP primary camera, 870 mAh battery, 20 MB storage",https://www.gsmarena.com/benq_siemens_ef51-1436.php
BenQ-Siemens EF81 phone, Announced Jan 2006," Features 2.2″  display, 2 MP primary camera, 950 mAh battery, 64 MB storage",https://www.gsmarena.com/benq_siemens_ef81-1412.php
BenQ-Siemens S88 phone, Announced Jan 2006," Features 2.0″  display, 2 MP primary camera, 920 mAh battery, 20 MB storage",https://www.gsmarena.com/benq_siemens_s88-1411.php
BenQ-Siemens S68 phone, Announced Jan 2006," Features 1.8″  display, 660 mAh battery, 26 MB storage",https://www.gsmarena.com/benq_siemens_s68-1410.php
