Device_Names,Announced_Date,Features,Device_Url
Bird M32 phone, Announced  2007," Features 1.8″  display, 600 mAh battery",https://www.gsmarena.com/bird_m32-1966.php
Bird D636 phone, Announced  2007," Features 1.9″  display, 13 MP primary camera, 600 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d636-1965.php
Bird D706 phone, Announced  2007," Features 1.9″  display, 13 MP primary camera, 600 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d706-1964.php
Bird D615 phone, Announced  2007," Features 1.8″  display, 13 MP primary camera, 650 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d615-1963.php
Bird S768 phone, Announced  2007," Features 1.8″  display, 700 mAh battery",https://www.gsmarena.com/bird_s768-1962.php
Bird S758 phone, Announced  2007," Features 1.8″  display, 700 mAh battery",https://www.gsmarena.com/bird_s758-1961.php
Bird S618 phone, Announced  2007," Features 1.7″  display, 700 mAh battery",https://www.gsmarena.com/bird_s618-1960.php
Bird D736 phone, Announced  2007," Features 1.9″  display, 2 MP primary camera, 600 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d736-1959.php
Bird D716 phone, Announced  2007," Features 1.9″  display, 2 MP primary camera, 600 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d716-1955.php
Bird D720 phone, Announced  2007," Features 1.9″  display, 2 MP primary camera, 700 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d720-1952.php
Bird D611 phone, Announced  2007," Features 1.8″  display, 13 MP primary camera, 650 mAh battery, 60 MB storage",https://www.gsmarena.com/bird_d611-1951.php
Bird D515 phone, Announced  2007," Features 1.8″  display, 650 mAh battery",https://www.gsmarena.com/bird_d515-1950.php
Bird D612 phone, Announced  2007," Features 1.8″  display, 650 mAh battery",https://www.gsmarena.com/bird_d612-1949.php
Bird M29 phone, Announced  2007," Features 1.6″  display, 700 mAh battery, 37 MB storage",https://www.gsmarena.com/bird_m29-1948.php
Bird M01 phone, Announced  2007," Features 1.5″  display, 650 mAh battery, 62 MB storage",https://www.gsmarena.com/bird_m01-1947.php
Bird M07 phone, Announced  2007," Features 1.5″  display, 700 mAh battery, 57 MB storage",https://www.gsmarena.com/bird_m07-1946.php
Bird S1130 phone, Announced  2007," Features 1.5″  display, 650 mAh battery",https://www.gsmarena.com/bird_s1130-1945.php
Bird V5518+ phone, Announced  2007," Features 1.8″  display, 700 mAh battery",https://www.gsmarena.com/bird_v5518+-1944.php
Bird S663 phone, Announced  2007," Features 1.5″  display, 700 mAh battery",https://www.gsmarena.com/bird_s663-1943.php
Bird S661 phone, Announced  2007," Features 1.5″  display, 700 mAh battery",https://www.gsmarena.com/bird_s661-1942.php
Bird S669 phone, Announced  2007," Features 1.5″  display, 500 mAh battery",https://www.gsmarena.com/bird_s669-1941.php
Bird S668 phone, Announced  2007," Features 1.5″  display, 500 mAh battery",https://www.gsmarena.com/bird_s668-1940.php
Bird S667 phone, Announced  2007," Features 1.5″  display, 500 mAh battery",https://www.gsmarena.com/bird_s667-1939.php
Bird S296+ phone, Announced  2007," Features 1.4″  display, 500 mAh battery",https://www.gsmarena.com/bird_s296+-1938.php
Bird S296 phone, Announced  2007," Features 1.4″  display, 500 mAh battery",https://www.gsmarena.com/bird_s296-1937.php
