Device_Names,Announced_Date,Features,Device_Url
BlackBerry KEY2 LE Android smartphone, Announced Aug 2018," Features 4.5″  display, Snapdragon 636 chipset, Dual: 13 MP (PDAF) + 5 MP primary camera, 5 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/blackberry_key2_le-9292.php
BlackBerry Evolve X Android smartphone, Announced Aug 2018," Features 5.99″  display, Snapdragon 660 chipset, Dual: 12 MP (f/18, 1/28″, 129 μm, PDAF) + 13 MP primary camera, 16 MP front camera, 4000 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/blackberry_evolve_x-9282.php
BlackBerry Evolve Android smartphone, Announced Aug 2018," Features 5.99″  display, Snapdragon 450 chipset, Dual: 13 MP, 1/31″, 112µm, PDAF + 13 MP primary camera, 16 MP front camera, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/blackberry_evolve-9281.php
BlackBerry KEY2 Android smartphone, Announced Jun 2018," Features 4.5″  display, Snapdragon 660 chipset, Dual: 12 MP (f/18, 1/23″, 128µm, dual pixel PDAF) + 12 MP primary camera, 8 MP front camera, 3500 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/blackberry_key2-9187.php
BlackBerry Motion Android smartphone, Announced Oct 2017," Features 5.5″  display, Snapdragon 625 chipset, 12 MP primary camera, 8 MP front camera, 4000 mAh battery, 32 GB storage, 4 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/blackberry_motion-8891.php
BlackBerry Aurora Android smartphone, Announced Mar 2017," Features 5.5″  display, Snapdragon 425 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 4 GB RAM",https://www.gsmarena.com/blackberry_aurora-8612.php
BlackBerry Keyone Android smartphone, Announced Feb 2017," Features 4.5″  display, Snapdragon 625 chipset, 12 MP primary camera, 8 MP front camera, 3500 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 4",https://www.gsmarena.com/blackberry_keyone-8508.php
BlackBerry DTEK60 Android smartphone, Announced Oct 2016," Features 5.5″  display, Snapdragon 820 chipset, 21 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 4 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/blackberry_dtek60-8351.php
BlackBerry DTEK50 Android smartphone, Announced Jul 2016," Features 5.2″  display, Snapdragon 617 chipset, 13 MP primary camera, 8 MP front camera, 2610 mAh battery, 16 GB storage, 3 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/blackberry_dtek50-8229.php
BlackBerry Priv Android smartphone, Announced Oct 2015," Features 5.4″  display, Snapdragon 808 chipset, 18 MP primary camera, 2 MP front camera, 3410 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 4",https://www.gsmarena.com/blackberry_priv-7587.php
BlackBerry Leap smartphone, Announced Mar 2015," Features 5.0″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 2 MP front camera, 2800 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/blackberry_leap-7099.php
BlackBerry Classic Non Camera smartphone, Announced Feb 2015," Features 3.5″  display, 2515 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/blackberry_classic_non_camera-7066.php
BlackBerry Porsche Design P'9983 smartphone, Announced Sep 2014," Features 3.1″  display, Snapdragon S4 Pro chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/blackberry_porsche_design_p_9983-6691.php
BlackBerry Passport smartphone, Announced Jun 2014," Features 4.5″  display, Snapdragon 801 chipset, 13 MP primary camera, 2 MP front camera, 3450 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/blackberry_passport-6457.php
BlackBerry Classic smartphone, Announced Jun 2014," Features 3.5″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 2 MP front camera, 2515 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/blackberry_classic-6458.php
BlackBerry Z3 smartphone, Announced Feb 2014," Features 5.0″  display, Snapdragon 400 chipset, 5 MP primary camera, 11 MP front camera, 2500 mAh battery, 8 GB storage, 15 GB RAM",https://www.gsmarena.com/blackberry_z3-6163.php
