Device_Names,Announced_Date,Features,Device_Url
Celkon A403 Android smartphone, Announced Aug 2015," Features 4.0″  display, Spreadtrum SC7715 chipset, 315 MP primary camera, 13 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_a403-7618.php
Celkon Campus Prime Android smartphone, Announced Aug 2015," Features 4.5″  display, Spreadtrum SC7715 chipset, 315 MP primary camera, 13 MP front camera, 1600 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_campus_prime-7617.php
Celkon Millennia Everest Android smartphone, Announced Aug 2015," Features 5.5″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 32 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_millennia_everest-7616.php
Celkon Millennia Hero Android smartphone, Announced Aug 2015," Features 4.0″  display, 5 MP primary camera, 32 MP front camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_millennia_hero-7615.php
Celkon Millennia Xplore Android smartphone, Announced Jul 2015," Features 5.0″  display, MT6582M chipset, 13 MP primary camera, 8 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_millennia_xplore-7461.php
Celkon Q455L Android smartphone, Announced Jul 2015," Features 4.5″  display, 8 MP primary camera, 315 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_q455l-7460.php
Celkon 2GB Xpress Android smartphone, Announced Jul 2015," Features 4.5″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 13 MP front camera, 1500 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/celkon_2gb_xpress-7459.php
Celkon A35k Remote Android smartphone, Announced Jun 2015," Features 3.5″  display, 315 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_a35k_remote-7376.php
Celkon Q3K Power Android smartphone, Announced Jul 2015," Features 4.0″  display, Spreadtrum 7731G chipset, 315 MP primary camera, 13 MP front camera, 3000 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_q3k_power-7375.php
Celkon Q5K Power Android smartphone, Announced Jun 2015," Features 5.0″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 315 MP front camera, 5000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_q5k_power-7374.php
Celkon Q452 Android smartphone, Announced May 2015," Features 4.5″  display, Spreadtrum 7731 chipset, 315 MP primary camera, 13 MP front camera, 1500 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_q452-7373.php
Celkon A402 Android smartphone, Announced Jun 2015," Features 4.0″  display, Spreadtrum 7715 chipset, 315 MP primary camera, 13 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_a402-7372.php
Celkon Q54+ Android smartphone, Announced Mar 2015," Features 5.0″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_q54+-7287.php
Celkon Q519 Android smartphone, Announced May 2015," Features 5.0″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_q519-7286.php
Celkon Q450 Android smartphone, Announced Apr 2015," Features 4.5″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 2 MP front camera, 1800 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_q450-7285.php
Celkon Q405 Android smartphone, Announced May 2015," Features 4.0″  display, Spreadtrum 7731 chipset, 315 MP primary camera, 13 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_q405-7284.php
Celkon A518 Android smartphone, Announced Apr 2015," Features 5.0″  display, Spreadtrum 7715 chipset, 315 MP primary camera, 13 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_a518-7283.php
Celkon A407 Android smartphone, Announced May 2015," Features 4.0″  display, RDA 8810P chipset, 2 MP primary camera, 13 MP front camera, 1400 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_a407-7282.php
Celkon A359 Android smartphone, Announced May 2015," Features 3.5″  display, Spreadtrum 7715 chipset, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_a359-7281.php
Celkon A355 Android smartphone, Announced May 2015," Features 3.5″  display, Spreadtrum 7715 chipset, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_a355-7280.php
Celkon Campus Buddy A404 Android smartphone, Announced Jul 2014," Features 4.0″  display, 315 MP primary camera, 13 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_campus_buddy_a404-7138.php
Celkon Millennia OCTA510 Android smartphone, Announced Jan 2015," Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 315 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_millennia_octa510-6922.php
Celkon Win 400 Windows Mobile smartphone, Announced Nov 2014," Features 4.0″  display, Snapdragon 200 chipset, 5 MP primary camera, 13 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_win_400-6820.php
Celkon Campus Whizz Q42 Android smartphone, Announced Nov 2014," Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 13 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_campus_whizz_q42-6798.php
Celkon Millennia Epic Q550 Android smartphone, Announced Nov 2014," Features 5.5″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 3500 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_millennia_epic_q550-6783.php
Celkon Xion s CT695 Android smartphone, Announced Oct 2014," Features 6.95″  display, MT8312 chipset, 5 MP primary camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_xion_s_ct695-6757.php
Celkon Campus Colt A401 Android smartphone, Announced Oct 2014," Features 4.0″  display, Spreadtrum SC7715 chipset, 315 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_campus_colt_a401-6756.php
Celkon Campus Crown Q40 Android smartphone, Announced Oct 2014," Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_campus_crown_q40-6724.php
Celkon Glory Q5 Android smartphone, Announced Oct 2014," Features 5.0″  display, MT6582M chipset, 5 MP primary camera, 13 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_glory_q5-6723.php
Celkon Campus One A354C Android smartphone, Announced Oct 2014," Features 3.5″  display, SC6815 chipset, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_campus_one_a354c-6722.php
Celkon Campus Nova A352E Android smartphone, Announced Oct 2014," Features 3.5″  display, RDA 8810M chipset, 2 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_campus_nova_a352e-6721.php
Celkon A43 Android smartphone, Announced Jul 2014," Features 4.0″  display, 5 MP primary camera, 13 MP front camera, 1400 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_a43-6550.php
Celkon A42 Android smartphone, Announced Jul 2014," Features 4.0″  display, 5 MP primary camera, 13 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_a42-6549.php
Celkon Q500 Millennium Ultra Android smartphone, Announced  2014," Features 5.0″  display, Broadcom BCM23550 chipset, 8 MP primary camera, 2 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/celkon_q500_millennium_ultra-6591.php
Celkon Q44 Android smartphone, Announced  2014," Features 4.0″  display, 5 MP primary camera, 2 MP front camera, 1500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_q44-6536.php
Celkon A500 Android smartphone, Announced Aug 2014," Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_a500-6535.php
Celkon A21 Android smartphone, Announced  2014," Features 4.0″  display, MT6582 chipset, 315 MP primary camera, 13 MP front camera, 1500 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/celkon_a21-6514.php
Celkon A115 Android smartphone, Announced  2014," Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 13 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/celkon_a115-6513.php
Celkon Q455 Android smartphone, Announced  2014," Features 4.5″  display, 8 MP primary camera, 13 MP front camera, 2000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_q455-6515.php
Celkon Q470 Android smartphone, Announced  2014," Features 4.7″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/celkon_q470-6512.php
