Device_Names,Announced_Date,Features,Device_Url
Chea A90 phone, Announced Q1 2004," Features CSTN, 4096 colors display, 720 mAh battery.",https://www.gsmarena.com/chea_a90-651.php
Chea JMS-110 phone, Announced Q1 2004," Features CSTN, 256 colors display, 720 mAh battery.",https://www.gsmarena.com/chea_jms_110-650.php
Chea 328 phone, Announced Q3 2003," Features STN, 4096 colors display, 650 mAh battery.",https://www.gsmarena.com/chea_328-505.php
Chea 318 phone, Announced Q3 2003," Features STN, 4096 colors display, 650 mAh battery.",https://www.gsmarena.com/chea_318-504.php
Chea 308 phone, Announced Q3 2003," Features STN, 4096 colors display, 650 mAh battery.",https://www.gsmarena.com/chea_308-503.php
Chea 228 phone, Announced Q3 2003," Features TFT, 65K colors display, 650 mAh battery.",https://www.gsmarena.com/chea_228-502.php
Chea 218 phone, Announced Q3 2003," Features TFT, 65K colors display, 650 mAh battery.",https://www.gsmarena.com/chea_218-501.php
Chea 208 phone, Announced Q3 2003," Features TFT, 65K colors display, 650 mAh battery.",https://www.gsmarena.com/chea_208-500.php
Chea 198 phone, Announced Q2 2003," Features FSTN, monochrome graphics display, 650 mAh battery.",https://www.gsmarena.com/chea_198-499.php
Chea 188 phone, Announced Q2 2003," Features FSTN, monochrome graphics display, 650 mAh battery.",https://www.gsmarena.com/chea_188-498.php
Chea 178 phone, Announced Q2 2003," Features FSTN, monochrome graphics display, 650 mAh battery.",https://www.gsmarena.com/chea_178-497.php
Chea 168 phone, Announced Q2 2003," Features FSTN, monochrome graphics display, 650 mAh battery.",https://www.gsmarena.com/chea_168-496.php
