Device_Names,Announced_Date,Features,Device_Url
Doogee S89 Android smartphone, Announced Aug 2022," Features 6.3″  display, MT6779 Helio P90 chipset, 12000 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s89-11775.php
Doogee S89 Pro Android smartphone, Announced Aug 2022," Features 6.3″  display, MT6779 Helio P90 chipset, 12000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s89_pro-11774.php
Doogee X97 Android smartphone, Announced Aug 2022," Features 6.0″  display, MT6761 Helio A22 chipset, 4200 mAh battery, 16 GB storage, 3 GB RAM",https://www.gsmarena.com/doogee_x97-11814.php
Doogee D11 watch, Announced Jul 2022," Features 1.32″  display, Realtek 8763EW chipset, 300 mAh battery",https://www.gsmarena.com/doogee_d11-11799.php
Doogee V11 Android smartphone, Announced Jul 2022," Features 6.39″  display, MediaTek MT6833 Dimensity 700 chipset, 8500 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_v11-11806.php
Doogee CS3 watch, Announced Jul 2022," Features 1.69″  display, Realtek 8762DK chipset, 235 mAh battery",https://www.gsmarena.com/doogee_cs3-11798.php
Doogee S61 Pro Android smartphone, Announced Jun 2022," Features 6.0″  display, MediaTek MT6765G Helio G35 chipset, 5180 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s61_pro-11784.php
Doogee S61 Android smartphone, Announced Jun 2022," Features 6.0″  display, MediaTek MT6765G Helio G35 chipset, 5180 mAh battery, 64 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s61-11785.php
Doogee X97 Pro Android smartphone, Announced Jun 2022," Features 6.0″  display, MediaTek MT6762G Helio G25 chipset, 4200 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/doogee_x97_pro-11815.php
Doogee S98 Pro Android smartphone, Announced May 2022," Features 6.3″  display, MT6781 Helio G96 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s98_pro-11802.php
Doogee S98 Android smartphone, Announced Mar 2022," Features 6.3″  display, MT6781 Helio G96 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s98-11804.php
Doogee S35T Android smartphone, Announced Dec 2021," Features 5.0″  display, Unisoc UMS312 chipset, 4350 mAh battery, 64 GB storage, 3 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s35t-11790.php
Doogee V20 Android smartphone, Announced Nov 2021," Features 6.43″  display, MediaTek MT6833 Dimensity 700 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_v20-11807.php
Doogee CR1 Pro watch, Announced Nov 2021," Features 1.28″  display, nRF52840 chipset, 300 mAh battery",https://www.gsmarena.com/doogee_cr1_pro-11797.php
Doogee X96 Android smartphone, Announced Sep 2021," Features 6.52″  display, Unisoc SC9863A chipset, 5400 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/doogee_x96-11812.php
Doogee DG Ares watch, Announced Sep 2021," Features 1.32″  display, Realtek 8762C chipset, 300 mAh battery",https://www.gsmarena.com/doogee_dg_ares-11796.php
Doogee X93 Android smartphone, Announced Aug 2021," Features 6.1″  display, MT6580 chipset, 4350 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/doogee_x93-11808.php
Doogee V10 Android smartphone, Announced Aug 2021," Features 6.39″  display, MediaTek MT6833 Dimensity 700 chipset, 8500 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_v10-11805.php
Doogee S35 Android smartphone, Announced Jul 2021," Features 5.0″  display, MT6761D Helio A20 chipset, 4350 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/doogee_s35-11791.php
Doogee N40 Pro Android smartphone, Announced Jul 2021," Features 6.52″  display, MT6771 Helio P60 chipset, 6380 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/doogee_n40_pro-11821.php
Doogee S86 Pro Android smartphone, Announced Jun 2021," Features 6.1″  display, MT6771 Helio P60 chipset, 8500 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s86_pro-11778.php
Doogee X96 Pro Android smartphone, Announced May 2021," Features 6.52″  display, Unisoc SC9863A chipset, 5400 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/doogee_x96_pro-11813.php
Doogee CS2 watch, Announced May 2021," Features 1.69″  display, Realtek 8762C chipset, 300 mAh battery",https://www.gsmarena.com/doogee_cs2-11795.php
Doogee S97 Pro Android smartphone, Announced Apr 2021," Features 6.39″  display, Helio G95 chipset, 8500 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass",https://www.gsmarena.com/doogee_s97_pro-11801.php
Doogee CR1 watch, Announced Mar 2021," Features 1.28″  display, Realtek 8762C chipset, 300 mAh battery",https://www.gsmarena.com/doogee_cr1-11793.php
