Device_Names,Announced_Date,Features,Device_Url
Energizer E4 phone, Announced Jun 2022," Features 1.77″  display, Unisoc SC6531DA chipset, 1000 mAh battery, 512 MB RAM",https://www.gsmarena.com/energizer_e4-11646.php
Energizer Ultimate U608s Android smartphone, Announced Jun 2022," Features 6.08″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/energizer_ultimate_u608s-11634.php
Energizer E242s smartphone, Announced Apr 2022," Features 2.4″  display, MT6739 chipset, 1700 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/energizer_e242s-11535.php
Energizer E284S phone, Announced Dec 2021," Features 2.8″  display, Unisoc T117 chipset, 2000 mAh battery, 128 MB storage, 64 MB RAM",https://www.gsmarena.com/energizer_e284s-10068.php
Energizer Ultimate U505s Android smartphone, Announced Mar 2022," Features 5.0″  display, MT6739 chipset, 3000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/energizer_ultimate_u505s-10061.php
Energizer E282SC smartphone, Announced Dec 2021," Features 2.8″  display, MT6731 chipset, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/energizer_e282sc-11370.php
Energizer Hard Case G5 Android smartphone, Announced Jun 2021," Features 6.3″  display, MediaTek MT6853 Dimensity 800U chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/energizer_hard_case_g5-10998.php
Energizer U680S Android smartphone, Announced Jun 2021," Features 6.8″  display, Unisoc SC9863A chipset, 7000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/energizer_u680s-10060.php
Energizer E28 phone, Announced Apr 2021," Features 2.8″  display, Spreadtrum SC6531E chipset, 3000 mAh battery",https://www.gsmarena.com/energizer_e28-10953.php
Energizer E24 phone, Announced Apr 2021," Features 2.4″  display, Spreadtrum SC6531E chipset, 1900 mAh battery",https://www.gsmarena.com/energizer_e24-10952.php
Energizer E3 phone, Announced Apr 2021," Features 1.77″  display, Spreadtrum SC6531E chipset, 1000 mAh battery",https://www.gsmarena.com/energizer_e3-10951.php
Energizer E2 phone, Announced Apr 2021," Features 1.77″  display, Spreadtrum SC6531E chipset, 800 mAh battery",https://www.gsmarena.com/energizer_e2-10950.php
Energizer E280s smartphone, Announced Apr 2021," Features 2.8″  display, Spreadtrum SC9820E chipset, 3000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/energizer_e280s-10066.php
Energizer Hardcase H620S Android smartphone, Announced Dec 2020," Features 6.2″  display, MT6762 Helio P22 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/energizer_hardcase_h620s-10726.php
Energizer Ultimate U710S Android smartphone, Announced Feb 2020," Features 7.12″  display, MT6763 Helio P23 chipset, 6000 mAh battery, 32 GB storage, 3 GB RAM, AGC glass",https://www.gsmarena.com/energizer_ultimate_u710s-10059.php
Energizer Energy E12 phone, Announced Apr 2019," Features 1.8″  display, Spreadtrum SC6531E chipset, 1000 mAh battery, 4 MB storage, 4 MB RAM",https://www.gsmarena.com/energizer_energy_e12-9684.php
Energizer Hardcase H10 phone, Announced Apr 2019," Features 1.8″  display, MT6261A chipset, 1000 mAh battery, 64 MB storage, 32 MB RAM",https://www.gsmarena.com/energizer_hardcase_h10-9683.php
Energizer Power Max P8100S Android smartphone, Announced Feb 2019," Features 8.1″  display, Snapdragon 855 chipset, 10000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/energizer_power_max_p8100s-9590.php
Energizer Power Max P18K Pop Android smartphone, Announced Feb 2019," Features 6.2″  display, MT6771 Helio P70 chipset, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/energizer_power_max_p18k_pop-9573.php
Energizer Ultimate U620S Pop Android smartphone, Announced Jan 2019," Features 6.2″  display, MT6771 Helio P70 chipset, 3200 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/energizer_ultimate_u620s_pop-9548.php
