Device_Names,Announced_Date,Features,Device_Url
Ericsson R600 phone, Announced Q4 2001," Features Grayscale graphic display, 650 mAh battery.",https://www.gsmarena.com/ericsson_r600-283.php
Ericsson T68 phone, Announced Q4 2001," Features CSTN, 256 colors display, 500 mAh battery.",https://www.gsmarena.com/ericsson_t68-253.php
Ericsson T66 phone, Announced Q4 2001," Features Monochrome graphic display, 650 mAh battery.",https://www.gsmarena.com/ericsson_t66-282.php
Ericsson T65 phone, Announced Q4 2001," Features Grayscale graphic display, 540 mAh battery.",https://www.gsmarena.com/ericsson_t65-266.php
Ericsson T39 phone, Announced  2001," Features Grayscale graphic display, 500 mAh battery.",https://www.gsmarena.com/ericsson_t39-252.php
Ericsson A3618 phone, Announced Q3 2001," Features Monochrome graphic display, 900 mAh battery.",https://www.gsmarena.com/ericsson_a3618-262.php
Ericsson T29s phone, Announced Feb 2001," Features Grayscale graphic display, 600 mAh battery.",https://www.gsmarena.com/ericsson_t29s-225.php
Ericsson R520m phone, Announced Q2 2001," Features Monochrome graphic display, 540 mAh battery.",https://www.gsmarena.com/ericsson_r520m-199.php
Ericsson T20e phone, Announced  2001," Features Monochrome graphic display, 500 mAh battery.",https://www.gsmarena.com/ericsson_t20e-251.php
Ericsson A2628 phone, Announced  2001," Features Monochrome graphic display, 600 mAh battery.",https://www.gsmarena.com/ericsson_a2628-226.php
Ericsson T20s phone, Announced  2000," Features Monochrome graphic display, 1300 mAh battery.",https://www.gsmarena.com/ericsson_t20s-211.php
Ericsson T36 phone, Announced  2000, Features Grayscale graphic display.,https://www.gsmarena.com/ericsson_t36-190.php
Ericsson R380 phone, Announced  2000," Features Monochrome resistive touchscreen display, 900 mAh battery.",https://www.gsmarena.com/ericsson_r380-195.php
Ericsson R320 phone, Announced  2000," Features Monochrome graphic display, 900 mAh battery.",https://www.gsmarena.com/ericsson_r320-194.php
Ericsson R310s phone, Announced  2000," Features Monochrome graphic display, 540 mAh battery.",https://www.gsmarena.com/ericsson_r310s-200.php
Ericsson A2618 phone, Announced  2000," Features Monochrome graphic display, 900 mAh battery.",https://www.gsmarena.com/ericsson_a2618-193.php
Ericsson R250s PRO phone, Announced  2000," Features Monochrome graphic display, 500 mAh battery.",https://www.gsmarena.com/ericsson_r250s_pro-119.php
Ericsson T28 World phone, Announced  1999," Features Monochrome graphic display, 500 mAh battery.",https://www.gsmarena.com/ericsson_t28_world-118.php
Ericsson T28s phone, Announced  1999," Features Monochrome graphic display, 500 mAh battery.",https://www.gsmarena.com/ericsson_t28s-117.php
Ericsson T18s phone, Announced  1999," Features Monochrome graphic display, 750 mAh battery.",https://www.gsmarena.com/ericsson_t18s-116.php
Ericsson T10s phone, Announced  1999," Features Monochrome graphic display, 750 mAh battery.",https://www.gsmarena.com/ericsson_t10s-115.php
Ericsson A1018s phone, Announced  1999," Features Monochrome graphic display, 800 mAh battery.",https://www.gsmarena.com/ericsson_a1018s-114.php
Ericsson I 888 phone, Announced  1999," Features Alphanumeric display, 800 mAh battery.",https://www.gsmarena.com/ericsson_i_888-113.php
Ericsson SH 888 phone, Announced  1998," Features Alphanumeric display, 800 mAh battery.",https://www.gsmarena.com/ericsson_sh_888-112.php
Ericsson S 868 phone, Announced  1998," Features Alphanumeric display, 800 mAh battery.",https://www.gsmarena.com/ericsson_s_868-111.php
Ericsson GF 788e phone, Announced  1997," Features Alphanumeric display, 550 mAh battery.",https://www.gsmarena.com/ericsson_gf_788e-110.php
Ericsson GF 788 phone, Announced  1997," Features Alphanumeric display, 550 mAh battery.",https://www.gsmarena.com/ericsson_gf_788-109.php
Ericsson PF 768 phone, Announced  1997," Features Alphanumeric display, 550 mAh battery.",https://www.gsmarena.com/ericsson_pf_768-108.php
Ericsson GF 768 phone, Announced  1997," Features Alphanumeric display, 550 mAh battery.",https://www.gsmarena.com/ericsson_gf_768-107.php
Ericsson GH 688 phone, Announced  1996," Features Alphanumeric display, 1200 mAh battery.",https://www.gsmarena.com/ericsson_gh_688-106.php
Ericsson GA 628 phone, Announced  1996," Features Alphanumeric display, 1000 mAh battery.",https://www.gsmarena.com/ericsson_ga_628-105.php
Ericsson GF 388 phone, Announced  1995," Features Alphanumeric display, 915 mAh battery.",https://www.gsmarena.com/ericsson_gf_388-104.php
Ericsson GH 388 phone, Announced  1995," Features Alphanumeric display, 915 mAh battery.",https://www.gsmarena.com/ericsson_gh_388-103.php
Ericsson GS 337 phone, Announced  1995," Features Alphanumeric display, 915 mAh battery.",https://www.gsmarena.com/ericsson_gs_337-102.php
Ericsson GF 337 phone, Announced  1995," Features Alphanumeric display, 915 mAh battery.",https://www.gsmarena.com/ericsson_gf_337-101.php
Ericsson GH 337 phone, Announced  1995," Features Alphanumeric display, 915 mAh battery.",https://www.gsmarena.com/ericsson_gh_337-100.php
Ericsson GA 318 phone, Announced  1995," Features Alphanumeric display, 1200 mAh battery.",https://www.gsmarena.com/ericsson_ga_318-99.php
Ericsson GS 18 phone, Announced  1996," Features Alphanumeric display, 1200 mAh battery.",https://www.gsmarena.com/ericsson_gs_18-98.php
Ericsson GO 118 phone, Announced  1995," Features Alphanumeric display, 1200 mAh battery.",https://www.gsmarena.com/ericsson_go_118-97.php
Ericsson GH 218 phone, Announced  1994," Features Alphanumeric display, 650 mAh battery.",https://www.gsmarena.com/ericsson_gh_218-96.php
