Device_Names,Announced_Date,Features,Device_Url
Gionee G13 Pro smartphone, Announced Jan 2022," Features 6.26″  display, Unisoc Tiger T310 chipset, 3500 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_g13_pro-11339.php
Gionee P15 Android smartphone, Announced Jul 2021," Features 6.52″  display, Unisoc SC9863A chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/gionee_p15-11027.php
Gionee Smartwatch 7 watch, Announced Jun 2021," Features 1.3″  display, 130 mAh battery",https://www.gsmarena.com/gionee_smartwatch_7-10957.php
Gionee M15 Android smartphone, Announced May 2021," Features 6.67″  display, MT6785 Helio G90 chipset, 5100 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/gionee_m15-10931.php
Gionee M3 Android smartphone, Announced Apr 2021," Features 6.53″  display, MT6771 Helio P60 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/gionee_m3-10835.php
Gionee P15 Pro Android smartphone, Announced Mar 2021," Features 6.82″  display, MediaTek MT6765G Helio G35 chipset, 6000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/gionee_p15_pro-10814.php
Gionee Max Pro Android smartphone, Announced Mar 2021," Features 6.52″  display, Unisoc SC9863A chipset, 6000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/gionee_max_pro-10757.php
Gionee K30 Pro Android smartphone, Announced Dec 2020," Features 6.53″  display, Mediatek chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/gionee_k30_pro-10628.php
Gionee P12 Android smartphone, Announced Nov 2020," Features 6.1″  display, MT6761 Helio A20 chipset, 3200 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/gionee_p12-10638.php
Gionee M12 Android smartphone, Announced Nov 2020," Features 6.55″  display, MediaTek Helio A25 chipset, 5100 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/gionee_m12-10600.php
Gionee S12 Lite Android smartphone, Announced Sep 2020," Features 6.52″  display, MediaTek Helio A25 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/gionee_s12_lite-10477.php
Gionee S12 Android smartphone, Announced Jul 2020," Features 6.52″  display, MediaTek Helio A25 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_s12-10534.php
Gionee M30 Android smartphone, Announced Aug 2020," Features 6.0″  display, MT6771 Helio P60 chipset, 10000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/gionee_m30-10392.php
Gionee Max Android smartphone, Announced Aug 2020," Features 6.1″  display, Unisoc SC9863A chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/gionee_max-10391.php
Gionee K3 Pro Android smartphone, Announced Aug 2020," Features 6.53″  display, MT6771 Helio P60 chipset, 4000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/gionee_k3_pro-10389.php
Gionee K6 Android smartphone, Announced May 2020," Features 6.2″  display, MT6771 Helio P60 chipset, 4350 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/gionee_k6-10270.php
Gionee F205 Android smartphone, Announced Jan 2018," Features 5.45″  display, MT6739 chipset, 8 MP primary camera, 5 MP front camera, 2670 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/gionee_f205-9182.php
Gionee S11S Android smartphone, Announced Nov 2017," Features 6.01″  display, Helio P30 chipset, Dual: 16 MP + 8 MP primary camera, Dual: 20 MP + 8 MP front camera, 3600 mAh battery, 64 GB storage, 6 GB RAM",https://www.gsmarena.com/gionee_s11s-8948.php
Gionee S11 Android smartphone, Announced Nov 2017," Features 5.99″  display, MT6763T Helio P23 chipset, Dual: 16 MP (AF) + 5 MP primary camera, Dual: 16 MP + 8 MP front camera, 3410 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_s11-8949.php
Gionee S11 lite Android smartphone, Announced Nov 2017," Features 5.7″  display, Snapdragon 430 chipset, Dual: 13 MP (f/22, AF) + 2 MP primary camera, 16 MP front camera, 3030 mAh battery, 32 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_s11_lite-8951.php
