Device_Names,Announced_Date,Features,Device_Url
Honor Pad X8 Android tablet, Announced Sep 2022," Features 10.1″  display, MediaTek MT8786 chipset, 5100 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/honor_pad_x8-11889.php
Honor Pad X8 Lite Android tablet, Announced Sep 2022," Features 9.7″  display, MT8786 chipset, 5100 mAh battery, 32 GB storage",https://www.gsmarena.com/honor_pad_x8_lite-11890.php
Honor X40 Android smartphone, Announced Sep 2022," Features 6.67″  display, Snapdragon 695 5G chipset, 5100 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_x40-11875.php
Honor X8 5G Android smartphone, Announced Jul 2022," Features 6.5″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/honor_x8_5g-11718.php
Honor Pad 8 Android tablet, Announced Jul 2022," Features 12.0″  display, Snapdragon 680 4G chipset, 7250 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/honor_pad_8-11712.php
Honor X40i Android smartphone, Announced Jul 2022," Features 6.7″  display, MediaTek MT6833 Dimensity 700 chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_x40i-11671.php
Honor 70 Pro+ Android smartphone, Announced May 2022," Features 6.78″  display, MediaTek Dimensity 9000 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_70_pro+-11577.php
Honor 70 Pro Android smartphone, Announced May 2022," Features 6.78″  display, MediaTek Dimensity 8000 chipset, 4500 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_70_pro-11576.php
Honor 70 Android smartphone, Announced May 2022," Features 6.67″  display, Snapdragon 778G+ 5G chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_70-11575.php
Honor Play 30 Android smartphone, Announced May 2022," Features 6.5″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Aluminosilicate glass",https://www.gsmarena.com/honor_play_30-11520.php
Honor Play6T Pro Android smartphone, Announced Apr 2022," Features 6.7″  display, MediaTek MT6833P Dimensity 810 chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/honor_play6t_pro-11463.php
Honor Play6T Android smartphone, Announced Apr 2022," Features 6.74″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/honor_play6t-11464.php
Honor Magic4 Lite Android smartphone, Announced Mar 2022," Features 6.81″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/honor_magic4_lite-11423.php
Honor X7 Android smartphone, Announced Mar 2022," Features 6.74″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/honor_x7-11452.php
Honor X9 Android smartphone, Announced Mar 2022," Features 6.81″  display, Snapdragon 680 4G chipset, 4800 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/honor_x9-11456.php
Honor X9 5G Android smartphone, Announced Mar 2022," Features 6.81″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/honor_x9_5g-11447.php
Honor Magic4 Ultimate Android smartphone, Announced Mar 2022," Features 6.81″  display, Snapdragon 8 Gen 1 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/honor_magic4_ultimate-11432.php
Honor X8 Android smartphone, Announced Mar 2022," Features 6.7″  display, Snapdragon 680 4G chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/honor_x8-11417.php
Honor Magic4 Pro Android smartphone, Announced Feb 2022," Features 6.81″  display, Snapdragon 8 Gen 1 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Aluminosilicate glass",https://www.gsmarena.com/honor_magic4_pro-11390.php
Honor Magic4 Android smartphone, Announced Feb 2022," Features 6.81″  display, Snapdragon 8 Gen 1 chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_magic4-11389.php
Honor 60 SE Android smartphone, Announced Feb 2022," Features 6.67″  display, MediaTek MT6877 Dimensity 900 chipset, 4300 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_60_se-11354.php
Honor Watch GS 3 watch, Announced Jan 2022," Features 1.43″  display, 451 mAh battery, 4 GB storage, 32 MB RAM",https://www.gsmarena.com/honor_watch_gs_3-11312.php
Honor Magic V Android smartphone, Announced Jan 2022," Features 7.9″  display, Snapdragon 8 Gen 1 chipset, 4750 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_magic_v-11311.php
Honor X30 Android smartphone, Announced Dec 2021," Features 6.81″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/honor_x30-11270.php
Honor Play 30 Plus Android smartphone, Announced Dec 2021," Features 6.74″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/honor_play_30_plus-11271.php
