Device_Names,Announced_Date,Features,Device_Url
Huawei nova 10 SE smartphone, Announced Oct 2022," Features 6.67″  display, Snapdragon 680G 4G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_nova_10_se-11918.php
Huawei Mate 50 RS Porsche Design smartphone, Announced Sep 2022," Features 6.74″  display, Snapdragon 8+ 4G Gen 1 chipset, 4700 mAh battery, 512 GB storage, 12 GB RAM, Huawei Kunlun Glass",https://www.gsmarena.com/huawei_mate_50_rs_porsche_design-11858.php
Huawei Mate 50 Pro smartphone, Announced Sep 2022," Features 6.74″  display, Snapdragon 8+ 4G Gen 1 chipset, 4700 mAh battery, 512 GB storage, 8 GB RAM, Huawei Kunlun Glass",https://www.gsmarena.com/huawei_mate_50_pro-11856.php
Huawei Mate 50E smartphone, Announced Sep 2022," Features 6.7″  display, Snapdragon 778G 5G chipset, 4460 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_mate_50e-11859.php
Huawei Mate 50 smartphone, Announced Sep 2022," Features 6.7″  display, Snapdragon 8+ 4G Gen 1 chipset, 4460 mAh battery, 512 GB storage, 8 GB RAM, Huawei Kunlun Glass",https://www.gsmarena.com/huawei_mate_50-11857.php
Huawei nova 10z smartphone, Announced Sep 2022," Features 6.6″  display, 4000 mAh battery, 256 GB storage",https://www.gsmarena.com/huawei_nova_10z-11853.php
Huawei MatePad Pro 11 (2022) tablet, Announced Jul 2022," Features 11.0″  display, Snapdragon 870 5G chipset, 8300 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/huawei_matepad_pro_11_(2022)-11720.php
Huawei nova 10 Pro smartphone, Announced Jul 2022," Features 6.78″  display, Snapdragon 778G 4G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_nova_10_pro-11640.php
Huawei nova 10 smartphone, Announced Jul 2022," Features 6.67″  display, Snapdragon 778G 4G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_nova_10-11641.php
Huawei nova Y90 smartphone, Announced Jun 2022," Features 6.7″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_nova_y90-11639.php
Huawei MatePad 10,4 (2022) Android tablet," Announced May 2022. Features 104″  display, Kirin 820 5G chipset, 7250 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/huawei_matepad_10_4_(2022)-11525.php
Huawei Mate Xs 2 smartphone, Announced Apr 2022," Features 7.8″  display, Snapdragon 888 4G chipset, 4880 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/huawei_mate_xs_2-11503.php
Huawei Watch GT 3 Porsche Design watch, Announced Apr 2022," Features 1.43″  display, 530 mAh battery",https://www.gsmarena.com/huawei_watch_gt_3_porsche_design-11505.php
Huawei Watch GT 3 Pro watch, Announced Apr 2022," Features 1.43″  display, 530 mAh battery, 4 GB storage",https://www.gsmarena.com/huawei_watch_gt_3_pro-11504.php
Huawei MatePad SE tablet, Announced Apr 2022," Features 10.1″  display, Kirin 710A chipset, 5100 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/huawei_matepad_se-11506.php
Huawei nova 9 SE 5G Android smartphone, Announced Apr 2022," Features 6.78″  display, Snapdragon 695 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_nova_9_se_5g-11490.php
Huawei nova Y70 Plus smartphone, Announced Apr 2022," Features 6.75″  display, Unspecified chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/huawei_nova_y70_plus-11489.php
Huawei P50E smartphone, Announced Mar 2022," Features 6.5″  display, Snapdragon 778G 4G chipset, 4100 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_p50e-11428.php
Huawei nova 9 SE Android smartphone, Announced Mar 2022," Features 6.78″  display, Snapdragon 680 4G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/huawei_nova_9_se-11399.php
Huawei P50 Pocket smartphone, Announced Dec 2021," Features 6.9″  display, Snapdragon 888 4G chipset, 4000 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/huawei_p50_pocket-11280.php
