Device_Names,Announced_Date,Features,Device_Url
Icemobile G8 LTE Android tablet, Announced Jul 2017," Features 7.0″  display, MT8735 chipset, 5 MP primary camera, 2800 mAh battery",https://www.gsmarena.com/icemobile_g8_lte-8786.php
Icemobile Mash phone, Announced Mar 2016," Features 2.2″  display, Spreadtrum 6531DA chipset, 800 mAh battery, 32 MB storage, 32 MB RAM",https://www.gsmarena.com/icemobile_mash-7982.php
Icemobile G8 Android tablet, Announced Sep 2015," Features 7.0″  display, MT6572 chipset, 5 MP primary camera, 2600 mAh battery",https://www.gsmarena.com/icemobile_g8-7560.php
Icemobile Prime 5,0 Plus Android smartphone," Announced Feb 2015. Features 50″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/icemobile_prime_5_0_plus-7040.php
Icemobile Prime 5,0 Android smartphone," Announced Feb 2015. Features 50″  display, MT6572A chipset, 5 MP primary camera, 13 MP front camera, 1600 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/icemobile_prime_5_0-7041.php
Icemobile Prime 4,0 Plus Android smartphone," Announced Feb 2015. Features IPS LCD display, MT6572 chipset, 2 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/icemobile_prime_4_0_plus-7039.php
Icemobile Gravity 4,0 Android smartphone," Announced  2014. Features 402″  display, MT6582 chipset, 8 MP primary camera, 13 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/icemobile_gravity_4_0-6810.php
Icemobile Rock 2,4 phone," Announced  2014. Features 24″  display, 1000 mAh battery, 32 MB storage, 32 MB RAM",https://www.gsmarena.com/icemobile_rock_2_4-6809.php
Icemobile Prime 5,5 Android smartphone," Announced Aug 2014. Features 546″  display, MT6582A chipset, 8 MP primary camera, 2 MP front camera, 2250 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/icemobile_prime_5_5-6618.php
Icemobile Prime 3,5 Android smartphone," Announced Jul 2014. Features 35″  display, MT6572M chipset, 2 MP primary camera, 1200 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/icemobile_prime_3_5-6544.php
