Device_Names,Announced_Date,Features,Device_Url
Kyocera DuraForce Pro 2 Android smartphone, Announced Nov 2018," Features 5.0″  display, Snapdragon 630 chipset, 3240 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant, Sapphire crystal glass",https://www.gsmarena.com/kyocera_duraforce_pro_2-9407.php
Kyocera DuraForce Pro Android smartphone, Announced Aug 2016," Features 5.0″  display, Snapdragon 617 chipset, Dual: 13 MP, AF + 2 MP primary camera, 5 MP front camera, 3240 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810G compliant, Yes",https://www.gsmarena.com/kyocera_duraforce_pro-8268.php
Kyocera DuraForce XD Android smartphone, Announced Oct 2015," Features 5.7″  display, Snapdragon 400 chipset, 8 MP primary camera, 2 MP front camera, 3700 mAh battery, 16 GB storage, 2 GB RAM, MIL-STD-810G compliant, Yes",https://www.gsmarena.com/kyocera_duraforce_xd-7699.php
Kyocera DuraForce Android smartphone, Announced Nov 2014," Features 4.5″  display, Snapdragon 400 chipset, 8 MP primary camera, 2 MP front camera, 3100 mAh battery, 16 GB storage, 2 GB RAM, MIL-STD-810G compliant, Yes",https://www.gsmarena.com/kyocera_duraforce-6829.php
Kyocera Hydro Life Android smartphone, Announced Aug 2014," Features 4.5″  display, Snapdragon 200 chipset, 5 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 15 GB RAM, MIL-STD-810G compliant, Yes",https://www.gsmarena.com/kyocera_hydro_life-6598.php
Kyocera Brigadier Android smartphone, Announced Jul 2014," Features 4.5″  display, Snapdragon 400 chipset, 8 MP primary camera, 2 MP front camera, 3100 mAh battery, 16 GB storage, 2 GB RAM, MIL-STD-810G compliant, Sapphire crystal glass",https://www.gsmarena.com/kyocera_brigadier-6602.php
Kyocera Hydro Elite Android smartphone, Announced Q3 2013," Features 4.3″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 13 MP front camera, 2100 mAh battery, 16 GB storage, 15 GB RAM, MIL-STD-810G compliant, Yes",https://www.gsmarena.com/kyocera_hydro_elite-5754.php
Kyocera Hydro Xtrm Android smartphone, Announced May 2013," Features 4.0″  display, Snapdragon S4 Plus chipset, 5 MP primary camera, 13 MP front camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM, MIL-STD-810G compliant, Yes",https://www.gsmarena.com/kyocera_hydro_xtrm-5555.php
Kyocera Torque E6710 Android smartphone, Announced Jan 2013," Features 4.0″  display, Snapdragon S4 Plus chipset, 5 MP primary camera, 13 MP front camera, 2500 mAh battery, 4 GB storage, 1000 MB RAM, MIL-STD-810G compliant, - Corning Gorilla Glass 2",https://www.gsmarena.com/kyocera_torque_e6710-5270.php
Kyocera Hydro C5170 Android smartphone, Announced May 2012," Features 3.5″  display, Snapdragon S2 chipset, 315 MP primary camera, 1500 mAh battery, 2 GB storage, 512 MB RAM, IPX5, IPX7 certified",https://www.gsmarena.com/kyocera_hydro_c5170-4748.php
Kyocera Rise C5155 Android smartphone, Announced May 2012," Features 3.5″  display, Snapdragon S2 chipset, 315 MP primary camera, 1500 mAh battery, 2 GB storage, 512 MB RAM",https://www.gsmarena.com/kyocera_rise_c5155-4747.php
Kyocera Milano C5121 Android smartphone, Announced Sep 2011," Features 3.0″  display, MSM7627T chipset, 315 MP primary camera, 1490 mAh battery, 512 MB storage, 512 MB RAM",https://www.gsmarena.com/kyocera_milano_c5121-4316.php
Kyocera Milano C5120 Android smartphone, Announced Sep 2011," Features 3.0″  display, MSM7627T chipset, 315 MP primary camera, 1490 mAh battery, 512 MB storage, 512 MB RAM",https://www.gsmarena.com/kyocera_milano_c5120-4314.php
Kyocera Presto S1350 phone, Announced Oct 2011," Features 1.8″  display, 920 mAh battery",https://www.gsmarena.com/kyocera_presto_s1350-4319.php
Kyocera Brio phone, Announced Sep 2011," Features 2.2″  display, QSC6055 chipset, 13 MP primary camera, 870 mAh battery, 128 MB storage",https://www.gsmarena.com/kyocera_brio-4315.php
Kyocera Echo Android smartphone, Announced Mar 2011," Features 3.5″  display, Snapdragon S1 chipset, 5 MP primary camera, 1370 mAh battery, 512 MB RAM",https://www.gsmarena.com/kyocera_echo-3914.php
Kyocera DuraCore E4210 phone, Announced Jul 2011," Features 2.0″  display, QSC6055 chipset, 1360 mAh battery, MIL-STD 810G-grade",https://www.gsmarena.com/kyocera_duracore_e4210-4318.php
Kyocera DuraMax phone, Announced Jul 2011," Features 2.0″  display, QSC6055 chipset, 32 MP primary camera, 1360 mAh battery, MIL-STD 810G-grade",https://www.gsmarena.com/kyocera_duramax-4317.php
Kyocera E4600 phone, Announced Aug 2008," Features 2.2″  display, 2 MP primary camera, 780 mAh battery",https://www.gsmarena.com/kyocera_e4600-3227.php
Kyocera Solo E4000 Windows Mobile smartphone, Announced Aug 2008," Features TFT, 65K colors display, 2 MP primary camera, 900 mAh battery.",https://www.gsmarena.com/kyocera_solo_e4000-3223.php
Kyocera E3500 phone, Announced Apr 2008," Features 2.0″  display, 13 MP primary camera, 920 mAh battery",https://www.gsmarena.com/kyocera_e3500-3224.php
Kyocera E2500 phone, Announced Apr 2008," Features 2.0″  display, 13 MP primary camera, 920 mAh battery",https://www.gsmarena.com/kyocera_e2500-3225.php
Kyocera S1600 phone, Announced Apr 2008," Features 1.5″  display, 650 mAh battery",https://www.gsmarena.com/kyocera_s1600-3226.php
Kyocera TG 200 phone, Announced  2000," Features Monochrome graphic display, 600 mAh battery.",https://www.gsmarena.com/kyocera_tg_200-184.php
