Device_Names,Announced_Date,Features,Device_Url
LG Ultra Tab Android tablet, Announced Aug 2022," Features 10.35″  display, Snapdragon 680 4G chipset, 7040 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/lg_ultra_tab-11751.php
LG W41 Pro Android smartphone, Announced Feb 2021," Features 6.55″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/lg_w41_pro-10742.php
LG W41+ Android smartphone, Announced Feb 2021," Features 6.55″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/lg_w41+-10743.php
LG W41 Android smartphone, Announced Feb 2021," Features 6.55″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/lg_w41-10744.php
LG W31+ Android smartphone, Announced Nov 2020," Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/lg_w31+-10585.php
LG W31 Android smartphone, Announced Nov 2020," Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/lg_w31-10586.php
LG W11 Android smartphone, Announced Nov 2020," Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/lg_w11-10587.php
LG K92 5G Android smartphone, Announced Sep 2020," Features 6.7″  display, Snapdragon 690 5G chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/lg_k92_5g-10564.php
LG K62 Android smartphone, Announced Sep 2020," Features 6.6″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/lg_k62-10464.php
LG Q52 Android smartphone, Announced Sep 2020," Features 6.6″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/lg_q52-10558.php
LG K52 Android smartphone, Announced Sep 2020," Features 6.6″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/lg_k52-10463.php
LG K42 Android smartphone, Announced Sep 2020," Features 6.6″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 3 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/lg_k42-10459.php
