Device_Names,Announced_Date,Features,Device_Url
Lava Yuva Pro Android smartphone, Announced Oct 2022," Features 6.52″  display, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/lava_yuva_pro-11928.php
Lava Blaze 5G Android smartphone, Announced Oct 2022," Features 6.52″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/lava_blaze_5g-11916.php
Lava Blaze Pro Android smartphone, Announced Sep 2022," Features 6.52″  display, MT6765V chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/lava_blaze_pro-11892.php
Lava Blaze Android smartphone, Announced Jul 2022," Features 6.52″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/lava_blaze-11657.php
Lava Z3 Android smartphone, Announced Feb 2022," Features 6.52″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/lava_z3-11421.php
Lava X2 Android smartphone, Announced Mar 2022," Features 6.5″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_x2-11401.php
Lava Agni 5G Android smartphone, Announced Nov 2021," Features 6.78″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_agni_5g-11210.php
Lava Z2s Android smartphone, Announced Jan 2021," Features 6.51″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z2s-11024.php
Lava Z2 Max Android smartphone, Announced May 2021," Features 7.0″  display, 6000 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z2_max-10902.php
Lava Z6 Android smartphone, Announced Jan 2021," Features 6.51″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z6-10666.php
Lava Z4 Android smartphone, Announced Jan 2021," Features 6.51″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z4-10667.php
Lava Z2 Android smartphone, Announced Jan 2021," Features 6.51″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z2-10668.php
Lava Z1 Android smartphone, Announced Jan 2021," Features 5.0″  display, MT6761 Helio A20 chipset, 3100 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z1-10669.php
Lava Z61 Pro Android smartphone, Announced Jul 2020," Features 5.45″  display, 3100 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_z61_pro-10323.php
Lava Z71 Android smartphone, Announced Jan 2020," Features 5.71″  display, MT6762 Helio P22 chipset, 3200 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_z71-10043.php
Lava Z40 Android smartphone, Announced Mar 2019," Features 4.0″  display, Unisoc SC9832E chipset, 2250 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/lava_z40-9622.php
Lava Z92 Android smartphone, Announced Jan 2019," Features 6.22″  display, MT6762 Helio P22 chipset, 3260 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z92-9541.php
Lava Z81 Android smartphone, Announced Oct 2018," Features 5.7″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z81-9390.php
Lava Z60s Android smartphone, Announced Aug 2018," Features 5.0″  display, MT6739WW chipset, 5 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/lava_z60s-9303.php
Lava Z61 Android smartphone, Announced Jul 2018," Features 5.45″  display, MT6739WW chipset, 8 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/lava_z61-9276.php
Lava Z91 (2GB) Android smartphone, Announced Jul 2018," Features 5.7″  display, MT6739 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_z91_(2gb)-9266.php
Lava Z91 Android smartphone, Announced Mar 2018," Features 5.7″  display, MT6739 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/lava_z91-9150.php
Lava Z50 Android smartphone, Announced Mar 2018," Features 4.5″  display, MT6737M chipset, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 1",https://www.gsmarena.com/lava_z50-9137.php
Lava Z90 Android smartphone, Announced Sep 2017," Features 5.2″  display, MT6737 chipset, Dual: 8 MP (f/20, AF) + 2 MP primary camera, 8 MP front camera, 2750 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/lava_z90-8888.php
Lava Z80 Android smartphone, Announced Sep 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 3 GB RAM",https://www.gsmarena.com/lava_z80-8887.php
Lava Z60 Android smartphone, Announced Sep 2017," Features 5.0″  display, MT6737M chipset, 5 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/lava_z60-8881.php
Lava A97 2GB+ Android smartphone, Announced Jun 2017," Features 5.0″  display, Spreadtrum SC9832 chipset, 8 MP primary camera, 5 MP front camera, 2350 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_a97_2gb+-8792.php
Lava A44 Android smartphone, Announced Jun 2017," Features 4.0″  display, MT6737M chipset, 5 MP primary camera, 2 MP front camera, 1500 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/lava_a44-8728.php
Lava A77 Android smartphone, Announced May 2017," Features 4.5″  display, Spreadtrum SC9832 chipset, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/lava_a77-8692.php
Lava Z25 Android smartphone, Announced Mar 2017," Features 5.5″  display, MT6750 chipset, 13 MP primary camera, 8 MP front camera, 3020 mAh battery, 32 GB storage, 4 GB RAM",https://www.gsmarena.com/lava_z25-8625.php
Lava Z10 Android smartphone, Announced Mar 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2620 mAh battery, 16 GB storage, 3 GB RAM",https://www.gsmarena.com/lava_z10-8624.php
Lava X28 Plus Android smartphone, Announced Feb 2017," Features 5.5″  display, 8 MP primary camera, 5 MP front camera, 2600 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/lava_x28_plus-8611.php
Lava A73 Android smartphone, Announced Feb 2017," Features 5.0″  display, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/lava_a73-8560.php
Lava X19 Android smartphone, Announced Dec 2016," Features 5.0″  display, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 8 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_x19-8510.php
Lava A55 Android smartphone, Announced Nov 2016," Features 4.0″  display, 5 MP primary camera, 1550 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/lava_a55-8448.php
Lava A50 Android smartphone, Announced Nov 2016," Features 4.0″  display, 5 MP primary camera, 1550 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/lava_a50-8447.php
Lava X50 Plus Android smartphone, Announced Nov 2016," Features 5.5″  display, 8 MP primary camera, 5 MP front camera, 2800 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/lava_x50_plus-8443.php
Lava X41 Plus Android smartphone, Announced Oct 2016," Features 5.0″  display, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/lava_x41_plus-8422.php
