Device_Names,Announced_Date,Features,Device_Url
Lenovo Tab P11 Gen 2 Android tablet, Announced Sep 2022," Features 11.5″  display, MediaTek MT8781 Helio G99 chipset, 7700 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/lenovo_tab_p11_gen_2-11842.php
Lenovo Tab P11 Pro Gen 2 Android tablet, Announced Sep 2022," Features 11.2″  display, MediaTek Kompanio 1300T chipset, 8200 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/lenovo_tab_p11_pro_gen_2-11841.php
Lenovo Pad Pro 2022 Android tablet, Announced Aug 2022," Features 11.2″  display, MediaTek Kompanio 1300T chipset, 8200 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/lenovo_pad_pro_2022-11783.php
Lenovo Legion Y70 Android smartphone, Announced Aug 2022," Features 6.67″  display, Snapdragon 8+ Gen 1 chipset, 5100 mAh battery, 512 GB storage, 16 GB RAM",https://www.gsmarena.com/lenovo_legion_y70-11747.php
Lenovo Tab M10 Plus (3rd Gen) Android tablet, Announced May 2022," Features 10.61″  display, Snapdragon 680 4G chipset, 7700 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/lenovo_tab_m10_plus_(3rd_gen)-11711.php
Lenovo Legion Y700 Android tablet, Announced Mar 2022," Features 8.8″  display, Snapdragon 870 5G chipset, 6550 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/lenovo_legion_y700-11394.php
Lenovo Legion Y90 Android smartphone, Announced Mar 2022," Features 6.92″  display, Snapdragon 8 Gen 1 chipset, 5600 mAh battery, 640 GB storage, 18 GB RAM",https://www.gsmarena.com/lenovo_legion_y90-11331.php
Lenovo Tab K10 Android tablet, Announced May 2021," Features 10.3″  display, MT6762 Helio P22T chipset, 7700 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/lenovo_tab_k10-11143.php
Lenovo Tab P12 Pro Android tablet, Announced Sep 2021," Features 12.6″  display, Snapdragon 870 5G chipset, 10200 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/lenovo_tab_p12_pro-11090.php
Lenovo Tab P11 5G Android tablet, Announced Sep 2021," Features 11.0″  display, Snapdragon 750G 5G chipset, 7700 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/lenovo_tab_p11_5g-11091.php
