Device_Names,Announced_Date,Features,Device_Url
Maxwest Nitro 55M Android smartphone, Announced Oct 2016," Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 2 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_nitro_55m-8540.php
Maxwest Nitro 55 LTE Android smartphone, Announced Nov 2016," Features 5.5″  display, MT6737 chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_nitro_55_lte-8539.php
Maxwest Nitro 5M Android smartphone, Announced Sep 2016," Features 5.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_nitro_5m-8538.php
Maxwest Astro 5s Android smartphone, Announced Jul 2016," Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_astro_5s-8412.php
Maxwest Gravity 5 LTE Android smartphone, Announced Jan 2016," Features 5.0″  display, Snapdragon 210 chipset, 8 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_gravity_5_lte-8021.php
Maxwest Astro X4 Android smartphone, Announced Jan 2016," Features 4.0″  display, MT6572M chipset, 315 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/maxwest_astro_x4-7930.php
Maxwest Astro X55 Android smartphone, Announced Jan 2016," Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_astro_x55-7889.php
Maxwest Vice phone, Announced Jan 2016," Features 2.4″  display, Spreadtrum 6531D chipset, 900 mAh battery, 64 MB storage, 64 MB RAM",https://www.gsmarena.com/maxwest_vice-7873.php
Maxwest Gravity 5,5 LTE Android smartphone," Announced Jun 2015. Features 55″  display, MT6735 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_gravity_5_5_lte-7629.php
Maxwest Gravity 5 Android smartphone, Announced Jul 2015," Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 2 MP front camera, 2700 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_gravity_5-7589.php
Maxwest Astro 6 Android smartphone, Announced Jun 2015," Features 6.0″  display, MT6582M chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/maxwest_astro_6-7566.php
Maxwest Astro X5 Android smartphone, Announced Jun 2015," Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 2100 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/maxwest_astro_x5-7565.php
Maxwest Astro 3,5 Android smartphone," Announced Aug 2015. Features 35″  display, MT6572M chipset, 2 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/maxwest_astro_3_5-7564.php
Maxwest Blade phone, Announced Jun 2015," Features 2.4″  display, 800 mAh battery, 8 MB storage, 8 MB RAM",https://www.gsmarena.com/maxwest_blade-7398.php
Maxwest Nitro 5 Android smartphone, Announced Jun 2015," Features 5.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/maxwest_nitro_5-7379.php
Maxwest Astro 4,5 Android smartphone," Announced Jul 2015. Features 45″  display, MT6572M chipset, 8 MP primary camera, 1700 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/maxwest_astro_4_5-7360.php
