Device_Names,Announced_Date,Features,Device_Url
Meizu 18s Pro Android smartphone, Announced Sep 2021," Features 6.7″  display, Snapdragon 888+ 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/meizu_18s_pro-11075.php
Meizu 18s Android smartphone, Announced Sep 2021," Features 6.2″  display, Snapdragon 888+ 5G chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/meizu_18s-11115.php
Meizu 18x Android smartphone, Announced Sep 2021," Features 6.67″  display, Snapdragon 870 5G chipset, 4300 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/meizu_18x-11116.php
Meizu Watch watch, Announced May 2021," Features 1.78″  display, Snapdragon Wear 4100 chipset, 430 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass",https://www.gsmarena.com/meizu_watch-10939.php
Meizu 18 Pro Android smartphone, Announced Mar 2021," Features 6.7″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/meizu_18_pro-10751.php
Meizu 18 Android smartphone, Announced Mar 2021," Features 6.2″  display, Snapdragon 888 5G chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/meizu_18-10766.php
Meizu 17 Pro Android smartphone, Announced May 2020," Features 6.6″  display, Snapdragon 865 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/meizu_17_pro-10232.php
Meizu 17 Android smartphone, Announced May 2020," Features 6.6″  display, Snapdragon 865 5G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/meizu_17-10129.php
Meizu 16T Android smartphone, Announced Oct 2019," Features 6.5″  display, Snapdragon 855 chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/meizu_16t-9926.php
Meizu M10 Android smartphone, Announced Sep 2019," Features 6.5″  display, MT6757T Helio P25 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/meizu_m10-9953.php
Meizu 16s Pro Android smartphone, Announced Aug 2019," Features 6.2″  display, Snapdragon 855+ chipset, 3600 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/meizu_16s_pro-9792.php
