Device_Names,Announced_Date,Features,Device_Url
Micromax In 2c Android smartphone, Announced Apr 2022," Features 6.52″  display, Unisoc T610 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/micromax_in_2c-11496.php
Micromax In note 2 Android smartphone, Announced Jan 2022," Features 6.43″  display, Helio G95 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/micromax_in_note_2-11332.php
Micromax In 2b Android smartphone, Announced Jul 2021," Features 6.52″  display, Unisoc T610 chipset, 5000 mAh battery, 64 GB storage, 6 GB RAM",https://www.gsmarena.com/micromax_in_2b-11036.php
Micromax In 1 Android smartphone, Announced Mar 2021," Features 6.67″  display, MT6769V chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/micromax_in_1-10800.php
Micromax In note 1 Android smartphone, Announced Nov 2020," Features 6.67″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Oleophobic coating",https://www.gsmarena.com/micromax_in_note_1-10569.php
Micromax In 1b Android smartphone, Announced Nov 2020," Features 6.52″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/micromax_in_1b-10568.php
Micromax Infinity N12 Android smartphone, Announced Dec 2018," Features 6.19″  display, MT6762V Helio P22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/micromax_infinity_n12-9515.php
Micromax Infinity N11 Android smartphone, Announced Dec 2018," Features 6.19″  display, MT6762V Helio P22 chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/micromax_infinity_n11-9516.php
Micromax Bharat 5 Infinity Android smartphone, Announced Dec 2018," Features 5.45″  display, MT6739 chipset, 5000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/micromax_bharat_5_infinity-9517.php
Micromax Bharat Go Android smartphone, Announced May 2018," Features 4.5″  display, MT6737М chipset, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/micromax_bharat_go-9207.php
Micromax Canvas 1 2018 Android smartphone, Announced Apr 2018," Features 5.7″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/micromax_canvas_1_2018-9181.php
Micromax Canvas Infinity Life Android smartphone, Announced Mar 2018," Features 5.45″  display, MT6737 chipset, 13 MP primary camera, 8 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/micromax_canvas_infinity_life-9136.php
Micromax Bharat 5 Pro Android smartphone, Announced Mar 2018," Features 5.2″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/micromax_bharat_5_pro-9125.php
Micromax Bharat 5 Plus Android smartphone, Announced Jan 2018," Features 5.2″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 5000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/micromax_bharat_5_plus-9054.php
Micromax Bharat 5 Android smartphone, Announced Dec 2017," Features 5.2″  display, MT6737 chipset, 5 MP primary camera, 5 MP front camera, 5000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/micromax_bharat_5-9053.php
Micromax Canvas Infinity Pro Android smartphone, Announced Dec 2017," Features 5.7″  display, Snapdragon 430 chipset, 16 MP primary camera, Dual: 20 MP (f/20) + 8 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/micromax_canvas_infinity_pro-8914.php
Micromax Bharat 2 Ultra Android smartphone, Announced Oct 2017," Features 4.0″  display, Spreadtrum SC9832 chipset, 2 MP primary camera, 1300 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/micromax_bharat_2_ultra-8944.php
Micromax Dual 4 E4816 Android smartphone, Announced Jul 2017," Features 5.2″  display, Snapdragon 435 chipset, Dual: 13 MP primary camera, 13 MP front camera, 2730 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/micromax_dual_4_e4816-8915.php
Micromax Canvas Selfie 3 Q460 Android smartphone, Announced Sep 2017," Features 5.0″  display, Snapdragon 435 chipset, 13 MP primary camera, 16 MP front camera, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/micromax_canvas_selfie_3_q460-8916.php
