Device_Names,Announced_Date,Features,Device_Url
Mitac MIO Explora K75 Windows Mobile smartphone, Announced Jun 2009," Features 3.5″  display, MSM7201A chipset, 315 MP primary camera, 1000 mAh battery, 128 MB RAM",https://www.gsmarena.com/mitac_mio_explora_k75-2817.php
Mitac MIO Explora K70 Windows Mobile smartphone, Announced Feb 2009," Features 3.5″  display, MSM7201A chipset, 315 MP primary camera, 1000 mAh battery, 128 MB RAM",https://www.gsmarena.com/mitac_mio_explora_k70-2735.php
Mitac MIO Leap G50 Windows Mobile smartphone, Announced Aug 2008," Features 2.8″  display, 2 MP primary camera, 670 mAh battery, 64 MB RAM",https://www.gsmarena.com/mitac_mio_leap_g50-3206.php
Mitac MIO Leap K1 Windows Mobile smartphone, Announced Jun 2008," Features 2.6″  display, 2 MP primary camera, 790 mAh battery, 1000 MB storage, 64 MB RAM",https://www.gsmarena.com/mitac_mio_leap_k1-3207.php
Mitac MIO A502 Windows Mobile smartphone, Announced Q4 2007," Features 2.7″  display, TI OMAP 850 chipset, 2 MP primary camera, 1050 mAh battery, 64 MB RAM",https://www.gsmarena.com/mitac_mio_a502-2159.php
Mitac MIO A501 Windows Mobile smartphone, Announced Q4 2007," Features 2.7″  display, TI OMAP 850 chipset, 2 MP primary camera, 1050 mAh battery, 256 MB storage, 64 MB RAM",https://www.gsmarena.com/mitac_mio_a501-2122.php
Mitac MIO A702 Windows Mobile smartphone, Announced Sep 2007," Features 2.7″  display, TI OMAP 850 chipset, 315 MP primary camera, 1130 mAh battery, 64 MB RAM",https://www.gsmarena.com/mitac_mio_a702-2109.php
Mitac MIO A701 Windows Mobile smartphone, Announced Aug 2005," Features 2.7″  display, 13 MP primary camera, 1300 mAh battery, 64 MB RAM",https://www.gsmarena.com/mitac_mio_a701-1261.php
Mitac MIO 8870 Windows Mobile smartphone, Announced Q4 2004," Features 2.2″  display, 1050 mAh battery, 32 MB storage",https://www.gsmarena.com/mitac_mio_8870-929.php
Mitac MIO 8860 Windows Mobile smartphone, Announced Q1 2004," Features 2.2″  display, 850 mAh battery",https://www.gsmarena.com/mitac_mio_8860-726.php
Mitac MIO 8390 Windows Mobile smartphone, Announced Q3 2003," Features 2.2″  display, 1050 mAh battery, 16 MB RAM",https://www.gsmarena.com/mitac_mio_8390-590.php
Mitac MIO 8380 Windows Mobile smartphone, Announced Q1 2003," Features 2.2″  display, 1050 mAh battery, 16 MB RAM",https://www.gsmarena.com/mitac_mio_8380-589.php
