Device_Names,Announced_Date,Features,Device_Url
Mitsubishi M430i/M900 phone, Announced Q3 2004," Features 2.2″  display, 13 MP primary camera, 810 mAh battery, 15 MB storage",https://www.gsmarena.com/mitsubishi_m430i_m900-879.php
Mitsubishi M800 phone, Announced Q4 2004," Features TFT, 256K colors display, 1.3 MP primary camera, 680 mAh battery, 5 MB storage",https://www.gsmarena.com/mitsubishi_m800-915.php
Mitsubishi M420i/M760 phone, Announced Q4 2004," Features TFD, 256K colors display, 1.3 MP primary camera, 730 mAh battery, 19 MB storage",https://www.gsmarena.com/mitsubishi_m420i_m760-914.php
Mitsubishi M528 phone, Announced Q4 2004," Features CSTN, 65K colors display, 600 mAh battery, 2 MB storage.",https://www.gsmarena.com/mitsubishi_m528-1146.php
Mitsubishi M520 phone, Announced Q4 2004," Features CSTN, 65K colors display, 680 mAh battery, 3 MB storage.",https://www.gsmarena.com/mitsubishi_m520-910.php
Mitsubishi M350 phone, Announced Q2 2004," Features TFT, 256K colors display, 900 mAh battery, 5 MB storage.",https://www.gsmarena.com/mitsubishi_m350-782.php
Mitsubishi M750 phone, Announced Q4 2003," Features TFT, 256K colors display, 780 mAh battery, 5 MB storage.",https://www.gsmarena.com/mitsubishi_m750-744.php
Mitsubishi M342i phone, Announced Q1 2004," Features TFT, 256K colors display, 780 mAh battery, 5 MB storage.",https://www.gsmarena.com/mitsubishi_m342i-685.php
Mitsubishi M341i/M720 phone, Announced Q4 2003," Features TFT, 256K colors display, 5 MB storage.",https://www.gsmarena.com/mitsubishi_m341i_m720-593.php
Mitsubishi M330 phone, Announced Q3 2003," Features CSTN, 4096 colors display, 800 mAh battery.",https://www.gsmarena.com/mitsubishi_m330-491.php
Mitsubishi m21i phone, Announced  2003," Features CSTN, 4096 colors display, 900 mAh battery.",https://www.gsmarena.com/mitsubishi_m21i-416.php
Mitsubishi M320 phone, Announced Q4 2002," Features CSTN, 4096 colors display, 900 mAh battery.",https://www.gsmarena.com/mitsubishi_m320-373.php
Mitsubishi Trium Eclipse phone, Announced Q3 2001," Features CSTN, 256 colors display, 500 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_eclipse-255.php
Mitsubishi Trium Sirius phone, Announced  2001," Features Monochrome graphic display, 500 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_sirius-254.php
Mitsubishi Trium Neptune phone, Announced  2000," Features Monochrome graphic display, 800 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_neptune-204.php
Mitsubishi Trium Mars phone, Announced  2000," Features Monochrome graphic display, 800 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_mars-203.php
Mitsubishi Trium Geo-@ phone, Announced  1999," Features Monochrome graphic display, 900 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_geo_@-59.php
Mitsubishi Trium Mondo Windows Mobile smartphone, Announced  2000," Features Monochrome resistive touchscreen, 16 shades display, 540 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_mondo-64.php
Mitsubishi Trium xs phone, Announced  2000," Features Monochrome graphic display, 540 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_xs-63.php
Mitsubishi Trium fx phone, Announced  2000," Features Monochrome graphic display, 540 mAh battery.",https://www.gsmarena.com/mitsubishi_trium_fx-62.php
