Device_Names,Announced_Date,Features,Device_Url
Motorola Moto E32 (India) Android smartphone, Announced Oct 2022," Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_e32_(india)-11920.php
Motorola Moto G72 Android smartphone, Announced Sep 2022," Features 6.55″  display, MediaTek MT8781 Helio G99 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g72-11910.php
Motorola Moto E22i Android smartphone, Announced Sep 2022," Features 6.5″  display, MT6765V chipset, 4020 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/motorola_moto_e22i-11884.php
Motorola Moto E22 Android smartphone, Announced Sep 2022," Features 6.5″  display, MT6765V chipset, 4020 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_e22-11883.php
Motorola Edge 30 Ultra Android smartphone, Announced Sep 2022," Features 6.67″  display, Snapdragon 8+ Gen 1 chipset, 4610 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/motorola_edge_30_ultra-11206.php
Motorola Edge 30 Fusion Android smartphone, Announced Sep 2022," Features 6.55″  display, Snapdragon 888+ 5G chipset, 4400 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/motorola_edge_30_fusion-11851.php
Motorola Edge 30 Neo Android smartphone, Announced Sep 2022," Features 6.28″  display, Snapdragon 695 5G chipset, 4020 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_edge_30_neo-11635.php
Motorola Moto E22s Android smartphone, Announced Aug 2022," Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_e22s-11837.php
Motorola Edge (2022) Android smartphone, Announced Aug 2022," Features 6.6″  display, MediaTek Dimensity 1050 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_edge_(2022)-11777.php
Motorola Moto Tab G62 Android tablet, Announced Aug 2022," Features 10.6″  display, Snapdragon 680 4G chipset, 7700 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_tab_g62-11746.php
Motorola Moto X30 Pro Android smartphone, Announced Aug 2022," Features 6.7″  display, Snapdragon 8+ Gen 1 chipset, 4610 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/motorola_moto_x30_pro-11366.php
Motorola Moto S30 Pro Android smartphone, Announced Aug 2022," Features 6.55″  display, Snapdragon 888+ 5G chipset, 4400 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/motorola_moto_s30_pro-11750.php
Motorola Moto Razr 2022 Android smartphone, Announced Aug 2022," Features 6.7″  display, Snapdragon 8+ Gen 1 chipset, 3500 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/motorola_moto_razr_2022-11752.php
Motorola Moto G62 (India) Android smartphone, Announced Aug 2022," Features 6.5″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g62_(india)-11754.php
Motorola Moto G32 Android smartphone, Announced Jul 2022," Features 6.5″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g32-11733.php
Motorola Moto G62 5G Android smartphone, Announced Jun 2022," Features 6.5″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_g62_5g-11602.php
Motorola Moto G42 Android smartphone, Announced Jun 2022," Features 6.4″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_g42-11608.php
Motorola Moto E32s Android smartphone, Announced May 2022," Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_e32s-11555.php
Motorola Moto G71s Android smartphone, Announced May 2022," Features 6.6″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g71s-11531.php
Motorola Moto G82 Android smartphone, Announced May 2022," Features 6.6″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g82-11508.php
Motorola Moto E32 Android smartphone, Announced May 2022," Features 6.5″  display, Unisoc T606 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_e32-11485.php
Motorola Edge 30 Android smartphone, Announced Apr 2022," Features 6.5″  display, Snapdragon 778G+ 5G chipset, 4020 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/motorola_edge_30-11500.php
Motorola Moto G Stylus 5G (2022) Android smartphone, Announced Apr 2022," Features 6.8″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2022)-11462.php
Motorola Moto G (2022) Android smartphone, Announced Apr 2022," Features 6.5″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g_(2022)-11491.php
Motorola Moto G52 Android smartphone, Announced Apr 2022," Features 6.6″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g52-11457.php
Motorola Moto G22 Android smartphone, Announced Mar 2022," Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_g22-11365.php
Motorola Edge+ 5G UW (2022) Android smartphone, Announced Jan 2022," Features 6.7″  display, Snapdragon 8 Gen 1 chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/motorola_edge+_5g_uw_(2022)-11755.php
Motorola Edge 30 Pro Android smartphone, Announced Jan 2022," Features 6.7″  display, Snapdragon 8 Gen 1 chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/motorola_edge_30_pro-11320.php
Motorola Moto G Stylus (2022) Android smartphone, Announced Feb 2022," Features 6.8″  display, MediaTek Helio G88 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g_stylus_(2022)-11282.php
Motorola Moto Tab G70 Android tablet, Announced Jan 2022," Features 11.0″  display, MT6785 Helio G90T chipset, 7700 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_tab_g70-11315.php
Motorola Edge X30 Android smartphone, Announced Dec 2021," Features 6.7″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/motorola_edge_x30-11262.php
Motorola Edge S30 Android smartphone, Announced Dec 2021," Features 6.8″  display, Snapdragon 888+ 5G chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/motorola_edge_s30-11263.php
Motorola Moto G200 5G Android smartphone, Announced Nov 2021," Features 6.8″  display, Snapdragon 888+ 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g200_5g-11222.php
Motorola Moto G71 5G Android smartphone, Announced Nov 2021," Features 6.4″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g71_5g-11223.php
Motorola Moto G51 5G Android smartphone, Announced Nov 2021," Features 6.8″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_moto_g51_5g-11194.php
Motorola Moto G41 Android smartphone, Announced Nov 2021," Features 6.4″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g41-11224.php
Motorola Moto G31 Android smartphone, Announced Nov 2021," Features 6.4″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_g31-11225.php
Motorola Moto G Power (2022) Android smartphone, Announced Nov 2021," Features 6.5″  display, MediaTek Helio G37 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_g_power_(2022)-11211.php
Motorola Moto Watch 100 watch, Announced Nov 2021," Features 1.3″  display, 355 mAh battery",https://www.gsmarena.com/motorola_moto_watch_100-11220.php
Motorola Moto E30 Android smartphone, Announced Nov 2021," Features 6.5″  display, Unisoc T700 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/motorola_moto_e30-11199.php
Motorola Edge 5G UW (2021) Android smartphone, Announced Oct 2021," Features 6.8″  display, Snapdragon 778G 5G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/motorola_edge_5g_uw_(2021)-11753.php
Motorola G Pure Android smartphone, Announced Oct 2021," Features 6.5″  display, MediaTek MT6762G Helio G25 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/motorola_g_pure-11145.php
Motorola Moto E40 Android smartphone, Announced Oct 2021," Features 6.5″  display, Unisoc T700 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_e40-11112.php
Motorola Tab G20 Android tablet, Announced Sep 2021," Features 8.0″  display, MT8768T Helio P22T chipset, 5100 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/motorola_tab_g20-11133.php
Motorola Moto G60 Android smartphone, Announced Apr 2021," Features 6.8″  display, Snapdragon 732G chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g60-10861.php
Motorola Moto E20 Android smartphone, Announced Sep 2021," Features 6.5″  display, Unisoc T606 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/motorola_moto_e20-11072.php
Motorola Moto G50 5G Android smartphone, Announced Aug 2021," Features 6.5″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/motorola_moto_g50_5g-11070.php
Motorola Edge (2021) Android smartphone, Announced Aug 2021," Features 6.8″  display, Snapdragon 778G 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/motorola_edge_(2021)-11061.php
Motorola Edge 20 Fusion Android smartphone, Announced Aug 2021," Features 6.7″  display, MediaTek MT6853 Dimensity 800U chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/motorola_edge_20_fusion-11056.php
Motorola Moto G60S Android smartphone, Announced Aug 2021," Features 6.8″  display, Helio G95 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/motorola_moto_g60s-11047.php
