Device_Names,Announced_Date,Features,Device_Url
NIU Andy C5,5E2I Android smartphone," Announced Dec 2015. Features 55″  display, MT6582M chipset, 8 MP primary camera, 13 MP front camera, 3000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/niu_andy_c5_5e2i-7917.php
NIU Andy 3,5E2I Android smartphone," Announced Feb 2015. Features 35″  display, MT6572M chipset, 5 MP primary camera, 13 MP front camera, 1300 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/niu_andy_3_5e2i-7346.php
NIU Andy 4E2I Android smartphone, Announced Jan 2015," Features 4.0″  display, MT6572M chipset, 5 MP primary camera, 13 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/niu_andy_4e2i-7347.php
NIU Andy 5EI Android smartphone, Announced May 2014," Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 13 MP front camera, 1550 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/niu_andy_5ei-7348.php
NIU Andy 5T Android smartphone, Announced Jul 2014," Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 5 MP front camera, 1800 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/niu_andy_5t-7349.php
NIU C21A phone, Announced Mar 2013," Features 1.8″  display, 600 mAh battery",https://www.gsmarena.com/niu_c21a-7350.php
NIU F10 phone, Announced Nov 2012," Features 2.2″  display, 13 MP primary camera, 600 mAh battery",https://www.gsmarena.com/niu_f10-7351.php
NIU Z10 phone, Announced Nov 2013," Features 2.0″  display, 1000 mAh battery, 32 MB storage",https://www.gsmarena.com/niu_z10-7352.php
NIU Tek 5D Android smartphone, Announced Jan 2015," Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 13 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/niu_tek_5d-7118.php
NIU Tek 4D2 Android smartphone, Announced Aug 2014," Features 4.0″  display, MT6572M chipset, 315 MP primary camera, 13 MP front camera, 1200 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/niu_tek_4d2-6827.php
NIU Niutek 3,5D2 Android smartphone," Announced Aug 2014. Features 35″  display, MT6572M chipset, 2 MP primary camera, 1200 mAh battery, 2 GB storage, 256 MB RAM",https://www.gsmarena.com/niu_niutek_3_5d2-6733.php
NIU GO 21 phone, Announced May 2014," Features 1.8″  display, 650 mAh battery",https://www.gsmarena.com/niu_go_21-6484.php
NIU Niutek 4,5D Android smartphone," Announced Dec 2013. Features 45″  display, MT6572 chipset, 5 MP primary camera, 13 MP front camera, 1650 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/niu_niutek_4_5d-5992.php
NIU Niutek 4,0D Android smartphone," Announced Dec 2013. Features 40″  display, MT6572 chipset, 315 MP primary camera, 13 MP front camera, 1500 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/niu_niutek_4_0d-5991.php
NIU Niutek 3,5D Android smartphone," Announced Dec 2013. Features 35″  display, MT6572 chipset, 2 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/niu_niutek_3_5d-5990.php
NIU GO 20 phone, Announced Nov 2013," Features 1.8″  display, 500 mAh battery",https://www.gsmarena.com/niu_go_20-5989.php
NIU Niutek 3,5B Android smartphone," Announced Mar 2013. Features 35″  display, Spreadtrum SC6820 chipset, 315 MP primary camera, 1300 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/niu_niutek_3_5b-5514.php
NIU LIV 10 phone, Announced Mar 2013," Features 1.8″  display, 860 mAh battery",https://www.gsmarena.com/niu_liv_10-5513.php
NIU GO 50 phone, Announced Mar 2013," Features 2.0″  display, 800 mAh battery",https://www.gsmarena.com/niu_go_50-5512.php
NIU Niutek 3G 3,5 N209 Android smartphone," Announced Jun 2012. Features 35″  display, MT6575 chipset, 32 MP primary camera, 1200 mAh battery, 256 MB storage, 512 MB RAM",https://www.gsmarena.com/niu_niutek_3g_3_5_n209-5085.php
NIU Niutek 3G 4,0 N309 Android smartphone," Announced Jun 2012. Features 40″  display, MT6575 chipset, 5 MP primary camera, 1650 mAh battery, 512 MB storage, 512 MB RAM",https://www.gsmarena.com/niu_niutek_3g_4_0_n309-4927.php
NIU Pana 3G TV N206 phone, Announced Jun 2012," Features 2.0″  display, 2 MP primary camera, 800 mAh battery, 128 MB storage",https://www.gsmarena.com/niu_pana_3g_tv_n206-4926.php
NIU GO 80 phone, Announced Mar 2012," Features 1.8″  display, 13 MP primary camera, 1200 mAh battery, 64 MB storage",https://www.gsmarena.com/niu_go_80-4819.php
NIU Domo N102 phone, Announced Jan 2012," Features 2.0″  display, 1000 mAh battery, 64 MB storage",https://www.gsmarena.com/niu_domo_n102-4672.php
NIU Bingo N103 phone, Announced Jan 2012," Features 1.8″  display, 500 mAh battery, 32 MB storage",https://www.gsmarena.com/niu_bingo_n103-4673.php
NIU Lotto N104 phone, Announced Jan 2012," Features 2.0″  display, 13 MP primary camera, 750 mAh battery, 64 MB storage",https://www.gsmarena.com/niu_lotto_n104-4674.php
NIU Pana N105 phone, Announced Jan 2012," Features 2.2″  display, 13 MP primary camera, 850 mAh battery, 64 MB storage",https://www.gsmarena.com/niu_pana_n105-4675.php
NIU Pana TV N106 phone, Announced Jan 2012," Features 2.0″  display, 13 MP primary camera, 1000 mAh battery, 128 MB storage",https://www.gsmarena.com/niu_pana_tv_n106-4676.php
NIU NiutekQ N108 Android smartphone, Announced Jan 2012," Features 2.3″  display, MT6516 chipset, 2 MP primary camera, 1000 mAh battery, 128 MB RAM",https://www.gsmarena.com/niu_niutekq_n108-4677.php
NIU Niutek N109 Android smartphone, Announced Jan 2012," Features 2.8″  display, MT6516 chipset, 2 MP primary camera, 1000 mAh battery, 128 MB RAM",https://www.gsmarena.com/niu_niutek_n109-4678.php
