Device_Names,Announced_Date,Features,Device_Url
Nokia X30 Android smartphone, Announced Sep 2022," Features 6.43″  display, Snapdragon 695 5G chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/nokia_x30-11831.php
Nokia G60 Android smartphone, Announced Sep 2022," Features 6.58″  display, Snapdragon 695 5G chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/nokia_g60-11826.php
Nokia C31 Android smartphone, Announced Sep 2022," Features 6.75″  display, Unisoc SC9863A chipset, 5050 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/nokia_c31-11825.php
Nokia T21 Android tablet, Announced Sep 2022," Features 10.4″  display, Unisoc Tiger T612 chipset, 8200 mAh battery, 128 GB storage, 4 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/nokia_t21-11823.php
Nokia G400 Android smartphone, Announced Jan 2022," Features 6.58″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/nokia_g400-11818.php
Nokia 110 (2022) phone, Announced Aug 2022," Features 1.77″  display, 1000 mAh battery, 32 MB storage, 4 MB RAM",https://www.gsmarena.com/nokia_110_(2022)-11741.php
Nokia 8210 4G phone, Announced Jul 2022," Features 2.8″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 48 MB RAM",https://www.gsmarena.com/nokia_8210_4g-11666.php
Nokia 5710 XpressAudio phone, Announced Jul 2022," Features 2.4″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 48 MB RAM",https://www.gsmarena.com/nokia_5710_xpressaudio-11667.php
Nokia 2760 Flip smartphone, Announced Mar 2022," Features 2.8″  display, 1450 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/nokia_2760_flip-11670.php
Nokia 2660 Flip phone, Announced Jul 2022," Features 2.8″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 48 MB RAM",https://www.gsmarena.com/nokia_2660_flip-11668.php
Nokia T10 Android tablet, Announced Jul 2022," Features 8.0″  display, Unisoc T606 chipset, 5250 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/nokia_t10-11669.php
Nokia G11 Plus Android smartphone, Announced Jun 2022," Features 6.52″  display, Unisoc T606 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/nokia_g11_plus-11644.php
Nokia C200 Android smartphone, Announced Jan 2022," Features 6.09″  display, MT6761 Helio A22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/nokia_c200-11629.php
