Device_Names,Announced_Date,Features,Device_Url
O2 XDA Serra Windows Mobile smartphone, Announced Jul 2008," Features 2.8″  display, MSM7201A chipset, 315 MP primary camera, 1340 mAh battery, 288 MB RAM",https://www.gsmarena.com/o2_xda_serra-2780.php
O2 XDA Guide Windows Mobile smartphone, Announced Dec 2008," Features 2.8″  display, Snapdragon S1 chipset, 315 MP primary camera, 1110 mAh battery, 256 MB RAM",https://www.gsmarena.com/o2_xda_guide-2617.php
O2 XDA Zest Windows Mobile smartphone, Announced Oct 2008," Features 2.8″  display, 315 MP primary camera, 1300 mAh battery, 128 MB RAM",https://www.gsmarena.com/o2_xda_zest-2594.php
O2 XDA Ignito Windows Mobile smartphone, Announced Aug 2008," Features 2.8″  display, MSM7201A chipset, 315 MP primary camera, 900 mAh battery, 4 GB storage, 192 MB RAM",https://www.gsmarena.com/o2_xda_ignito-2491.php
O2 XDA Stellar Windows Mobile smartphone, Announced Nov 2007," Features 2.8″  display, MSM7200 chipset, 315 MP primary camera, 1350 mAh battery, 128 MB RAM",https://www.gsmarena.com/o2_xda_stellar-2179.php
O2 XDA Orbit II Windows Mobile smartphone, Announced Nov 2007," Features 2.8″  display, MSM7200 chipset, 315 MP primary camera, 1350 mAh battery, 128 MB RAM",https://www.gsmarena.com/o2_xda_orbit_ii-2180.php
O2 XDA Comet Windows Mobile smartphone, Announced Sep 2007," Features 2.7″  display, 2 MP primary camera, 1350 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_comet-2181.php
O2 XDA Nova Windows Mobile smartphone, Announced Jun 2007," Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1350 mAh battery, 128 MB RAM",https://www.gsmarena.com/o2_xda_nova-2183.php
O2 XDA Terra Windows Mobile smartphone, Announced Mar 2007," Features 2.7″  display, TI OMAP 850 chipset, 2 MP primary camera, 1350 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_terra-2182.php
O2 XDA Argon Windows Mobile smartphone, Announced May 2007," Features 3.5″  display, 2 MP primary camera, 1300 mAh battery, 128 MB RAM",https://www.gsmarena.com/o2_xda_argon-2178.php
O2 XDA Star Windows Mobile smartphone, Announced Oct 2007," Features 2.6″  display, MSM7200 chipset, 2 MP primary camera, 1120 mAh battery, 96 MB RAM",https://www.gsmarena.com/o2_xda_star-2137.php
O2 Cocoon phone, Announced Jun 2007," Features 2.28″  display, 2 MP primary camera, 920 mAh battery, 2 GB storage",https://www.gsmarena.com/o2_cocoon-2002.php
O2 XDA Flame Windows Mobile smartphone, Announced Feb 2007," Features 3.6″  display, 2 MP primary camera, 1620 mAh battery, 128 MB RAM",https://www.gsmarena.com/o2_xda_flame-1981.php
O2 XDA Atom Life Windows Mobile smartphone, Announced Jan 2007," Features 2.7″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_atom_life-1834.php
O2 XDA Zinc Windows Mobile smartphone, Announced Dec 2006," Features 2.8″  display, 2 MP primary camera, 1300 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_zinc-1819.php
O2 XDA Graphite Windows Mobile smartphone, Announced Dec 2006," Features 2.2″  display, 2 MP primary camera, 1100 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_graphite-1818.php
O2 XDA Orbit Windows Mobile smartphone, Announced Sep 2006," Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1000 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_orbit-1714.php
O2 Cosmo Windows Mobile smartphone, Announced Sep 2006," Features 2.4″  display, TI OMAP 850 chipset, 13 MP primary camera, 1000 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_cosmo-1713.php
O2 XDA Stealth Windows Mobile smartphone, Announced Sep 2006," Features 2.4″  display, 2 MP primary camera, 1300 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_stealth-1709.php
O2 Jet phone, Announced Oct 2006," Features 2.0″  display, 700 mAh battery, 56 MB storage",https://www.gsmarena.com/o2_jet-1735.php
O2 Ice phone, Announced Aug 2006," Features 2.0″  display, 13 MP primary camera, 970 mAh battery, 32 MB storage",https://www.gsmarena.com/o2_ice-1706.php
O2 XDA Atom Exec Windows Mobile smartphone, Announced Jun 2006," Features 2.7″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_atom_exec-1625.php
O2 XDA Trion Windows Mobile smartphone, Announced May 2006," Features 2.8″  display, 2 MP primary camera, 1350 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_trion-1572.php
O2 XDA Neo Windows Mobile smartphone, Announced Feb 2006," Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1200 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_neo-1522.php
O2 XDA Atom Windows Mobile smartphone, Announced Nov 2005," Features 2.7″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM",https://www.gsmarena.com/o2_xda_atom-1372.php
