Device_Names,Announced_Date,Features,Device_Url
OnePlus Nord Watch watch, Announced Oct 2022," Features 1.78″  display, 230 mAh battery, 256 MB storage",https://www.gsmarena.com/oneplus_nord_watch-11899.php
OnePlus Ace Pro Android smartphone, Announced Aug 2022," Features 6.7″  display, Snapdragon 8+ Gen 1 chipset, 4800 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oneplus_ace_pro-11745.php
OnePlus Nord N20 SE Android smartphone, Announced Aug 2022," Features 6.56″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/oneplus_nord_n20_se-11738.php
OnePlus 10T Android smartphone, Announced Aug 2022," Features 6.7″  display, Snapdragon 8+ Gen 1 chipset, 4800 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oneplus_10t-11622.php
OnePlus Nord 2T Android smartphone, Announced May 2022," Features 6.43″  display, MediaTek Dimensity 1300 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oneplus_nord_2t-11517.php
OnePlus Ace Racing Android smartphone, Announced May 2022," Features 6.59″  display, MediaTek Dimensity 8100-Max chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/oneplus_ace_racing-11529.php
OnePlus Nord N20 5G Android smartphone, Announced Apr 2022," Features 6.43″  display, Snapdragon 695 5G chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM, Schott Xensation Up",https://www.gsmarena.com/oneplus_nord_n20_5g-11218.php
OnePlus 10R 150W Android smartphone, Announced Apr 2022," Features 6.7″  display, MediaTek Dimensity 8100-Max chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oneplus_10r_150w-11598.php
OnePlus 10R Android smartphone, Announced Apr 2022," Features 6.7″  display, MediaTek Dimensity 8100-Max chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oneplus_10r-11445.php
OnePlus Nord CE 2 Lite 5G Android smartphone, Announced Apr 2022," Features 6.59″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/oneplus_nord_ce_2_lite_5g-11344.php
