Device_Names,Announced_Date,Features,Device_Url
Oppo A77s Android smartphone, Announced Oct 2022," Features 6.56″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/oppo_a77s-11907.php
Oppo A17 Android smartphone, Announced Sep 2022," Features 6.56″  display, MediaTek MT6765 Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/oppo_a17-11902.php
Oppo K10x Android smartphone, Announced Sep 2022," Features 6.59″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/oppo_k10x-11877.php
Oppo A57e Android smartphone, Announced Aug 2022," Features 6.56″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/oppo_a57e-11836.php
Oppo A57s Android smartphone, Announced Aug 2022," Features 6.56″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Panda Glass",https://www.gsmarena.com/oppo_a57s-11835.php
Oppo Reno8 4G Android smartphone, Announced Aug 2022," Features 6.43″  display, Snapdragon 680 4G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM, Panda Glass",https://www.gsmarena.com/oppo_reno8_4g-11743.php
Oppo Watch 3 Pro Android watch, Announced Aug 2022," Features 1.91″  display, Snapdragon W5+ Gen 1 chipset, 550 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/oppo_watch_3_pro-11765.php
Oppo Watch 3 Android watch, Announced Aug 2022," Features 1.75″  display, Snapdragon W5+ Gen 1 chipset, 400 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/oppo_watch_3-11764.php
Oppo Reno8 Z Android smartphone, Announced Aug 2022," Features 6.43″  display, Snapdragon 695 5G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM, Schott Xensation Up",https://www.gsmarena.com/oppo_reno8_z-11735.php
Oppo A77 4G Android smartphone, Announced Aug 2022," Features 6.56″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/oppo_a77_4g-11734.php
Oppo Reno8 Pro Android smartphone, Announced Jul 2022," Features 6.7″  display, MediaTek Dimensity 8100-Max chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oppo_reno8_pro-11683.php
Oppo Reno8 Android smartphone, Announced Jul 2022," Features 6.4″  display, MediaTek Dimensity 1300 chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oppo_reno8-11684.php
Oppo A97 Android smartphone, Announced Jul 2022," Features 6.6″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/oppo_a97-11655.php
Oppo Reno8 Lite Android smartphone, Announced Jun 2022," Features 6.43″  display, Snapdragon 695 5G chipset, 4500 mAh battery, 128 GB storage, 12 GB RAM",https://www.gsmarena.com/oppo_reno8_lite-11513.php
Oppo K10 5G Android smartphone, Announced Jun 2022," Features 6.56″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/oppo_k10_5g-11610.php
Oppo A77 Android smartphone, Announced Jun 2022," Features 6.56″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/oppo_a77-11599.php
Oppo A57 4G Android smartphone, Announced May 2022," Features 6.56″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/oppo_a57_4g-11565.php
Oppo Reno8 Pro+ Android smartphone, Announced May 2022," Features 6.7″  display, MediaTek Dimensity 8100-Max chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oppo_reno8_pro+-11543.php
Oppo Reno8 Pro (China) Android smartphone, Announced May 2022," Features 6.62″  display, Snapdragon 7 Gen 1 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oppo_reno8_pro_(china)-11542.php
Oppo Reno8 (China) Android smartphone, Announced May 2022," Features 6.43″  display, MediaTek Dimensity 1300 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/oppo_reno8_(china)-11541.php
Oppo Pad Air Android tablet, Announced May 2022," Features 10.36″  display, Snapdragon 680 4G chipset, 7100 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/oppo_pad_air-11544.php
