Device_Names,Announced_Date,Features,Device_Url
Palm Palm Android smartphone, Announced Oct 2018," Features 3.3″  display, Snapdragon 435 chipset, 800 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/palm_palm-9290.php
Palm Pre 2 smartphone, Announced Oct 2010," Features 3.1″  display, 5 MP primary camera, 16 GB storage, 512 MB RAM, Corning Gorilla Glass",https://www.gsmarena.com/palm_pre_2-3559.php
Palm Pre 2 CDMA smartphone, Announced Oct 2010," Features 3.1″  display, 5 MP primary camera, 16 GB storage, 512 MB RAM, Corning Gorilla Glass",https://www.gsmarena.com/palm_pre_2_cdma-3589.php
Palm Pixi Plus smartphone, Announced Mar 2010," Features 2.63″  display, MSM7627 chipset, 2 MP primary camera, 1150 mAh battery, 8 GB storage",https://www.gsmarena.com/palm_pixi_plus-3250.php
Palm Pre Plus smartphone, Announced Mar 2010," Features 3.1″  display, 315 MP primary camera, 1150 mAh battery, 16 GB storage, 512 MB RAM",https://www.gsmarena.com/palm_pre_plus-3249.php
Palm Pixi smartphone, Announced Sep 2009," Features 2.63″  display, MSM7627 chipset, 2 MP primary camera, 1150 mAh battery, 8 GB storage",https://www.gsmarena.com/palm_pixi-2937.php
Palm Pre smartphone, Announced Feb 2009," Features 3.1″  display, 315 MP primary camera, 1150 mAh battery, 8 GB storage, 256 MB RAM",https://www.gsmarena.com/palm_pre-2726.php
Palm Treo Pro Windows Mobile smartphone, Announced Aug 2008," Features 2.5″  display, MSM7201 chipset, 2 MP primary camera, 1500 mAh battery, 100 MB storage, 128 MB RAM",https://www.gsmarena.com/palm_treo_pro-2494.php
Palm Centro smartphone, Announced Feb 2008," Features 2.25″  display, 13 MP primary camera, 1150 mAh battery, 64 MB storage",https://www.gsmarena.com/palm_centro-2241.php
Palm Treo 500v Windows Mobile smartphone, Announced Sep 2007," Features 2.4″  display, 2 MP primary camera, 1200 mAh battery, 150 MB storage",https://www.gsmarena.com/palm_treo_500v-2100.php
Palm Treo 750 Windows Mobile smartphone, Announced Feb 2007," Features 2.5″  display, 13 MP primary camera, 1200 mAh battery, 60 MB storage",https://www.gsmarena.com/palm_treo_750-1909.php
Palm Treo 680 smartphone, Announced Oct 2006," Features 2.5″  display, 1000 mAh battery, 64 MB storage",https://www.gsmarena.com/palm_treo_680-1741.php
Palm Treo 750v Windows Mobile smartphone, Announced Sep 2006," Features 2.5″  display, 13 MP primary camera, 1200 mAh battery, 60 MB storage",https://www.gsmarena.com/palm_treo_750v-1704.php
Palm Treo 650 smartphone, Announced Q4 2004," Features 2.4″  display, 780 mAh battery, 23 MB storage",https://www.gsmarena.com/palm_treo_650-907.php
Palm Treo 600 smartphone, Announced Q4 2003," Features 2.5″  display, TI OMAP 1510 chipset, 780 mAh battery, 32 MB storage",https://www.gsmarena.com/palm_treo_600-622.php
Palm Treo 270 smartphone, Announced  2003," Features CSTN resistive touchscreen, 4096 colors display, 780 mAh battery, 16 MB storage.",https://www.gsmarena.com/palm_treo_270-621.php
