Device_Names,Announced_Date,Features,Device_Url
Panasonic Eluga I7 (2019) Android smartphone, Announced Jun 2019," Features 5.45″  display, 4000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/panasonic_eluga_i7_(2019)-9756.php
Panasonic Eluga Ray 800 Android smartphone, Announced Mar 2019," Features 5.5″  display, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/panasonic_eluga_ray_800-9618.php
Panasonic P85 Nxt Android smartphone, Announced Oct 2018," Features 5.0″  display, Snapdragon 210 chipset, 4000 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/panasonic_p85_nxt-9389.php
Panasonic Eluga Z1 Pro Android smartphone, Announced Oct 2018," Features 6.19″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, Asahi Dragontrail Pro Glass",https://www.gsmarena.com/panasonic_eluga_z1_pro-9383.php
Panasonic Eluga Ray 530 Android smartphone, Announced Oct 2018," Features 5.7″  display, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/panasonic_eluga_ray_530-9376.php
Panasonic Eluga Ray 600 Android smartphone, Announced Oct 2018," Features 5.99″  display, MT6737H chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/panasonic_eluga_ray_600-9362.php
Panasonic Eluga X1 Pro Android smartphone, Announced Oct 2018," Features 6.18″  display, MT6771 Helio P60 chipset, 3000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/panasonic_eluga_x1_pro-9356.php
Panasonic P90 Android smartphone, Announced Jun 2018," Features 5.0″  display, MT6737 chipset, 5 MP primary camera, 5 MP front camera, 2400 mAh battery, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/panasonic_p90-9245.php
Panasonic P95 Android smartphone, Announced May 2018," Features 5.0″  display, Snapdragon 210 chipset, 8 MP primary camera, 5 MP front camera, 2300 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/panasonic_p95-9192.php
Panasonic Eluga I7 Android smartphone, Announced Apr 2018," Features 5.45″  display, MT6737H chipset, 8 MP primary camera, 8 MP front camera, 4000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/panasonic_eluga_i7-9176.php
Panasonic Eluga Ray 550 Android smartphone, Announced Apr 2018," Features 5.7″  display, MT6737H chipset, 13 MP primary camera, 8 MP front camera, 3250 mAh battery, 32 GB storage, 3 GB RAM, Asahi Glass",https://www.gsmarena.com/panasonic_eluga_ray_550-9149.php
Panasonic P101 Android smartphone, Announced Apr 2018," Features 5.45″  display, MT6739WA chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/panasonic_p101-9172.php
Panasonic P100 Android smartphone, Announced Feb 2018," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/panasonic_p100-9062.php
Panasonic Eluga I9 Android smartphone, Announced Dec 2017," Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/panasonic_eluga_i9-8960.php
Panasonic Eluga C Android smartphone, Announced Nov 2017," Features 5.5″  display, MT6750T chipset, Daul: 13 MP (f/22, AF) + 5 MP primary camera, 5 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/panasonic_eluga_c-8954.php
Panasonic P91 Android smartphone, Announced Nov 2017," Features 5.0″  display, MT6737M chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/panasonic_p91-8939.php
Panasonic Eluga I5 Android smartphone, Announced Nov 2017," Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/panasonic_eluga_i5-8932.php
Panasonic Eluga A4 Android smartphone, Announced Nov 2017," Features 5.2″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/panasonic_eluga_a4-8931.php
Panasonic P99 Android smartphone, Announced Sep 2017," Features 5.0″  display, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/panasonic_p99-8878.php
Panasonic Eluga I4 Android smartphone, Announced Sep 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/panasonic_eluga_i4-8875.php
Panasonic Eluga Ray 500 Android smartphone, Announced Sep 2017," Features 5.0″  display, MT6737 chipset, Dual: 13 MP, f/20 + 8 MP primary camera, 5 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/panasonic_eluga_ray_500-8870.php
Panasonic Eluga Ray 700 Android smartphone, Announced Sep 2017," Features 5.5″  display, MT6753 chipset, 13 MP primary camera, 13 MP front camera, 5000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/panasonic_eluga_ray_700-8869.php
Panasonic P9 Android smartphone, Announced Sep 2017," Features 5.0″  display, MT6737M chipset, 8 MP primary camera, 5 MP front camera, 2210 mAh battery, 8 GB storage, 1000 MB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/panasonic_p9-8851.php
Panasonic Eluga I2 Activ Android smartphone, Announced Aug 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/panasonic_eluga_i2_activ-8816.php
Panasonic Eluga A3 Pro Android smartphone, Announced Aug 2017," Features 5.2″  display, MT6753 chipset, 13 MP primary camera, 8 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/panasonic_eluga_a3_pro-8813.php
