Device_Names,Announced_Date,Features,Device_Url
Philips PH2 Android smartphone, Announced Dec 2021," Features 6.21″  display, Unisoc Tiger T310 chipset, 3900 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/philips_ph2-11281.php
Philips PH1 Android smartphone, Announced Dec 2021," Features 6.51″  display, Unisoc Tiger T310 chipset, 4700 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/philips_ph1-11277.php
Philips S337 Android smartphone, Announced Oct 2015," Features 5.0″  display, 5 MP primary camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_s337-8008.php
Philips S309 Android smartphone, Announced Jul 2015," Features 4.0″  display, 5 MP primary camera, 1600 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_s309-8009.php
Philips V787 Android smartphone, Announced Dec 2015," Features 5.0″  display, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/philips_v787-8011.php
Philips V377 Android smartphone, Announced Dec 2015," Features 5.0″  display, 5 MP primary camera, 5000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_v377-8010.php
Philips S616 Android smartphone, Announced Nov 2015," Features 5.5″  display, 13 MP primary camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/philips_s616-8012.php
Philips I928 Android smartphone, Announced Sep 2015," Features 6.0″  display, 13 MP primary camera, 2 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/philips_i928-8015.php
Philips V526 Android smartphone, Announced Aug 2015," Features 5.0″  display, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_v526-8016.php
Philips I908 Android smartphone, Announced Aug 2015," Features 5.0″  display, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/philips_i908-8017.php
Philips S396 Android smartphone, Announced Jun 2015," Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 8 MP front camera, 2300 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_s396-8018.php
Philips S388 Android smartphone, Announced Q3 2014," Features 4.5″  display, 5 MP primary camera, 1700 mAh battery",https://www.gsmarena.com/philips_s388-7061.php
Philips S308 Android smartphone, Announced May 2014," Features 4.0″  display, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/philips_s308-6503.php
Philips W6610 Android smartphone, Announced May 2014," Features 5.0″  display, 8 MP primary camera, 12 MP front camera, 5300 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_w6610-6380.php
Philips W8578 Android smartphone, Announced Apr 2014," Features 3.5″  display, 5 MP primary camera, 2000 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/philips_w8578-6297.php
Philips W3500 Android smartphone, Announced Dec 2013," Features 5.0″  display, 5 MP primary camera, 2200 mAh battery, 1000 MB RAM",https://www.gsmarena.com/philips_w3500-5924.php
Philips W8555 Android smartphone, Announced Nov 2013," Features 5.0″  display, 13 MP primary camera, 3300 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/philips_w8555-5867.php
Philips W7555 Android smartphone, Announced Dec 2013," Features 4.5″  display, 8 MP primary camera, 2400 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_w7555-5900.php
Philips W9588 Android smartphone, Announced Dec 2013," Features 3.5″  display, 8 MP primary camera, 1 MP front camera, 2400 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_w9588-5926.php
Philips W8568 Android smartphone, Announced Oct 2013," Features 4.0″  display, 8 MP primary camera, 2100 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/philips_w8568-5804.php
Philips W8500 Android smartphone, Announced Oct 2013," Features 4.3″  display, 8 MP primary camera, 2400 mAh battery, 4 GB storage, Corning Gorilla Glass",https://www.gsmarena.com/philips_w8500-5801.php
Philips W6500 Android smartphone, Announced Oct 2013," Features 4.3″  display, 5 MP primary camera, 2400 mAh battery, 4 GB storage",https://www.gsmarena.com/philips_w6500-5802.php
Philips W3568 Android smartphone, Announced Oct 2013," Features 4.0″  display, 315 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/philips_w3568-5800.php
Philips T3566 Android smartphone, Announced Oct 2013," Features 4.0″  display, 2 MP primary camera, 2000 mAh battery, 256 MB RAM",https://www.gsmarena.com/philips_t3566-5790.php
Philips W7376 Android smartphone, Announced Oct 2013," Features 4.3″  display, 5 MP primary camera, 2400 mAh battery, 4 GB storage",https://www.gsmarena.com/philips_w7376-5789.php
Philips X1560 phone, Announced Oct 2013," Features 2.4″  display, 2900 mAh battery",https://www.gsmarena.com/philips_x1560-5799.php
Philips X2560 phone, Announced Oct 2013," Features 2.4″  display, 1630 mAh battery",https://www.gsmarena.com/philips_x2560-5788.php
Philips X2301 phone, Announced Oct 2013," Features 2.4″  display, 1530 mAh battery",https://www.gsmarena.com/philips_x2301-5784.php
Philips X2300 phone, Announced Oct 2013," Features 2.4″  display, 2 MP primary camera, 2000 mAh battery",https://www.gsmarena.com/philips_x2300-5783.php
Philips X1510 phone, Announced Oct 2013," Features 2.0″  display, 1050 mAh battery",https://www.gsmarena.com/philips_x1510-5782.php
