Device_Names,Announced_Date,Features,Device_Url
Realme C30s Android smartphone, Announced Sep 2022," Features 6.5″  display, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/realme_c30s-11878.php
Realme C33 Android smartphone, Announced Sep 2022," Features 6.5″  display, Unisoc Tiger T612 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/realme_c33-11849.php
Realme Watch 3 Pro watch, Announced Sep 2022," Features 1.78″  display, 345 mAh battery",https://www.gsmarena.com/realme_watch_3_pro-11854.php
Realme 9i 5G Android smartphone, Announced Aug 2022," Features 6.6″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Panda Glass",https://www.gsmarena.com/realme_9i_5g-11769.php
Realme Watch 3 watch, Announced Jul 2022," Features 1.8″  display, 340 mAh battery",https://www.gsmarena.com/realme_watch_3-11719.php
Realme GT2 Explorer Master Android smartphone, Announced Jul 2022," Features 6.7″  display, Snapdragon 8+ Gen 1 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/realme_gt2_explorer_master-11613.php
Realme TechLife Watch R100 watch, Announced Jun 2022," Features 1.32″  display, 380 mAh battery",https://www.gsmarena.com/realme_techlife_watch_r100-11638.php
Realme Narzo 50i Prime Android smartphone, Announced Jun 2022," Features 6.5″  display, Unisoc Tiger T612 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/realme_narzo_50i_prime-11630.php
Realme C30 Android smartphone, Announced Jun 2022," Features 6.5″  display, Unisoc Tiger T612 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/realme_c30-11621.php
Realme GT Neo 3T Android smartphone, Announced Jun 2022," Features 6.62″  display, Snapdragon 870 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/realme_gt_neo_3t-11609.php
Realme Pad X Android tablet, Announced May 2022," Features 10.95″  display, Snapdragon 695 5G chipset, 8340 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/realme_pad_x-11552.php
Realme Narzo 50 Pro Android smartphone, Announced May 2022," Features 6.4″  display, MediaTek Dimensity 920 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/realme_narzo_50_pro-11532.php
Realme Narzo 50 5G Android smartphone, Announced May 2022," Features 6.6″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/realme_narzo_50_5g-11518.php
Realme 9 5G Android smartphone, Announced May 2022," Features 6.6″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/realme_9_5g-11514.php
Realme V23 Android smartphone, Announced Apr 2022," Features 6.58″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/realme_v23-11477.php
