Device_Names,Announced_Date,Features,Device_Url
Sagem Puma Phone phone, Announced Feb 2010," Features 2.8″  display, 315 MP primary camera, 880 mAh battery",https://www.gsmarena.com/sagem_puma_phone-3140.php
Sagem my421z phone, Announced Sep 2008," Features 2.0″  display, 13 MP primary camera, 810 mAh battery",https://www.gsmarena.com/sagem_my421z-2563.php
Sagem Roland Garros phone, Announced Feb 2008," Features TFT, 65K colors display, 1.3 MP primary camera, 1300 mAh battery, 13 MB storage",https://www.gsmarena.com/sagem_roland_garros-2329.php
Sagem myMobileTV 2 phone, Announced Feb 2008," Features TFT, 256K colors display, 2 MP primary camera, 1300 mAh battery, 25 MB storage.",https://www.gsmarena.com/sagem_mymobiletv_2-2328.php
Sagem my411C Oxbow phone, Announced Feb 2008," Features CSTN, 65K colors display, 670 mAh battery, 10 MB storage.",https://www.gsmarena.com/sagem_my411c_oxbow-2514.php
Sagem my855c phone, Announced Feb 2008," Features 2.0″  display, 2 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my855c-2304.php
Sagem my810x phone, Announced Oct 2007," Features TFT, 256K colors display, 1.3 MP primary camera, 600 mAh battery",https://www.gsmarena.com/sagem_my810x-2512.php
Sagem my750x phone, Announced Feb 2008," Features 2.4″  display, 315 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my750x-2303.php
Sagem my721x phone, Announced Feb 2008," Features 2.0″  display, 315 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my721x-2302.php
Sagem my721z phone, Announced Feb 2008," Features 2.2″  display, 315 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my721z-2301.php
Sagem my521x phone, Announced Jul 2008," Features 1.9″  display, 13 MP primary camera, 1000 mAh battery, 10 MB storage",https://www.gsmarena.com/sagem_my521x-2300.php
Sagem my519x phone, Announced Feb 2008," Features 2.0″  display, 315 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my519x-2299.php
Sagem my421x phone, Announced Feb 2008," Features 1.8″  display, 13 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my421x-2298.php
Sagem my429x phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my429x-2297.php
Sagem my419x phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my419x-2296.php
Sagem P9522 Porsche phone, Announced Oct 2008," Features 2.8″  display, 5 MP primary camera, 1350 mAh battery, Scratch-resistant glass",https://www.gsmarena.com/sagem_p9522_porsche-3210.php
Sagem P9521 Porsche phone, Announced Oct 2008," Features 2.2″  display, 315 MP primary camera, 1350 mAh battery, 22 MB storage",https://www.gsmarena.com/sagem_p9521_porsche-3209.php
Sagem my730c phone, Announced Aug 2008," Features 2.0″  display, 2 MP primary camera, 920 mAh battery, 54 MB storage",https://www.gsmarena.com/sagem_my730c-2905.php
Sagem my411c phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my411c-2295.php
Sagem my312x phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my312x-2294.php
Sagem my234x phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my234x-2293.php
Sagem my231x phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my231x-2292.php
Sagem my230x phone, Announced Feb 2008," Features 1.8″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my230x-2291.php
Sagem my226x phone, Announced Feb 2008," Features CSTN, 65K colors display, 670 mAh battery.",https://www.gsmarena.com/sagem_my226x-2513.php
Sagem my220x phone, Announced Feb 2008," Features 1.5″  display, 1000 mAh battery",https://www.gsmarena.com/sagem_my220x-2290.php
Sagem my901C phone, Announced Mar 2007," Features 1.9″  display, 2 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/sagem_my901c-2132.php
Sagem my900C phone, Announced Mar 2006," Features TFT, 256K colors display, 2 MP primary camera, 1000 mAh battery.",https://www.gsmarena.com/sagem_my900c-1505.php
Sagem my850C phone, Announced Mar 2006," Features 2.0″  display, 2 MP primary camera, 1000 mAh battery, 64 MB storage",https://www.gsmarena.com/sagem_my850c-2133.php
Sagem my800X phone, Announced Mar 2006," Features TFT, 256K colors display, 1.3 MP primary camera, 1000 mAh battery, 16 MB storage",https://www.gsmarena.com/sagem_my800x-1504.php
Sagem my700X phone, Announced Feb 2006," Features TFT, 256K colors display, 1.3 MP primary camera, 900 mAh battery, 32 MB storage",https://www.gsmarena.com/sagem_my700x-1432.php
Sagem my600X phone, Announced Sep 2006," Features 1.8″  display, 1300 mAh battery, 16 MB storage",https://www.gsmarena.com/sagem_my600x-1710.php
Sagem my600V phone, Announced Oct 2006," Features 1.9″  display, 1000 mAh battery, 16 MB storage",https://www.gsmarena.com/sagem_my600v-1793.php
Sagem my511X phone, Announced Sep 2007," Features 1.9″  display, 13 MP primary camera, 1000 mAh battery, 32 MB storage",https://www.gsmarena.com/sagem_my511x-2135.php
Sagem my501X phone, Announced Mar 2006," Features 1.9″  display, 13 MP primary camera, 1000 mAh battery, 32 MB storage",https://www.gsmarena.com/sagem_my501x-2134.php
Sagem my501C phone, Announced Aug 2006," Features 1.8″  display, 13 MP primary camera, 1530 mAh battery, 32 MB storage",https://www.gsmarena.com/sagem_my501c-1789.php
Sagem my500X phone, Announced Mar 2006," Features TFT, 256K colors display, 1.3 MP primary camera, 850 mAh battery, 32 MB storage",https://www.gsmarena.com/sagem_my500x-1604.php
Sagem my411X phone, Announced May 2007," Features CSTN, 65K colors display, 1000 mAh battery.",https://www.gsmarena.com/sagem_my411x-2142.php
Sagem my405X phone, Announced Mar 2006," Features TFT, 65K colors display, 840 mAh battery, 64 MB storage.",https://www.gsmarena.com/sagem_my405x-1503.php
Sagem my401X phone, Announced Q1 2006," Features CSTN, 65K colors display, 1000 mAh battery, 3 MB storage.",https://www.gsmarena.com/sagem_my401x-2139.php
Sagem my401Z phone, Announced Jul 2007," Features CSTN, 65K colors display, 1000 mAh battery, 37 MB storage.",https://www.gsmarena.com/sagem_my401z-2141.php
