Device_Names,Announced_Date,Features,Device_Url
Samsung Galaxy Tab Active4 Pro Android tablet, Announced Aug 2022," Features 10.1″  display, Snapdragon 778G 5G chipset, 7600 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5",https://www.gsmarena.com/samsung_galaxy_tab_active4_pro-11840.php
Samsung Galaxy A04s Android smartphone, Announced Aug 2022," Features 6.5″  display, Exynos 850 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/samsung_galaxy_a04s-11803.php
Samsung Galaxy A04 Android smartphone, Announced Aug 2022," Features 6.5″  display, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/samsung_galaxy_a04-11817.php
Samsung Galaxy Z Fold4 Android smartphone, Announced Aug 2022," Features 7.6″  display, Snapdragon 8+ Gen 1 chipset, 4400 mAh battery, 1024 GB storage, 12 GB RAM",https://www.gsmarena.com/samsung_galaxy_z_fold4-11737.php
Samsung Galaxy Z Flip4 Android smartphone, Announced Aug 2022," Features 6.7″  display, Snapdragon 8+ Gen 1 chipset, 3700 mAh battery, 512 GB storage, 8 GB RAM",https://www.gsmarena.com/samsung_galaxy_z_flip4-11538.php
Samsung Galaxy Watch5 Pro Android watch, Announced Aug 2022," Features 1.4″  display, Exynos W920 chipset, 590 mAh battery, 16 GB storage, 15 GB RAM, MIL-STD-810H compliant, Sapphire crystal",https://www.gsmarena.com/samsung_galaxy_watch5_pro-11749.php
Samsung Galaxy Watch5 Android watch, Announced Aug 2022," Features 1.4″  display, Exynos W920 chipset, 410 mAh battery, 16 GB storage, 15 GB RAM, MIL-STD-810H compliant, Sapphire crystal",https://www.gsmarena.com/samsung_galaxy_watch5-11748.php
Samsung Galaxy A23 5G Android smartphone, Announced Aug 2022," Features 6.6″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/samsung_galaxy_a23_5g-11736.php
Samsung Galaxy M13 5G Android smartphone, Announced Jul 2022," Features 6.5″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/samsung_galaxy_m13_5g-11633.php
Samsung Galaxy M13 (India) Android smartphone, Announced Jul 2022," Features 6.6″  display, Exynos 850 chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/samsung_galaxy_m13_(india)-11654.php
Samsung Galaxy A13 (SM-A137) Android smartphone, Announced Jun 2022," Features 6.6″  display, MT6769V chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/samsung_galaxy_a13_(sm_a137)-11665.php
Samsung Galaxy Xcover6 Pro Android smartphone, Announced Jun 2022," Features 6.6″  display, Snapdragon 778G 5G chipset, 4050 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus+",https://www.gsmarena.com/samsung_galaxy_xcover6_pro-11600.php
Samsung Galaxy F13 Android smartphone, Announced Jun 2022," Features 6.6″  display, Exynos 850 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/samsung_galaxy_f13-11624.php
Samsung Galaxy M13 Android smartphone, Announced May 2022," Features 6.6″  display, Exynos 850 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/samsung_galaxy_m13-11564.php
Samsung Galaxy Tab S6 Lite (2022) Android tablet, Announced May 2022," Features 10.4″  display, Snapdragon 720G chipset, 7040 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/samsung_galaxy_tab_s6_lite_(2022)-11524.php
Samsung Galaxy M53 Android smartphone, Announced Apr 2022," Features 6.7″  display, MediaTek MT6877 Dimensity 900 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/samsung_galaxy_m53-11439.php
Samsung Galaxy S20 FE 2022 Android smartphone, Announced Apr 2022," Features 6.5″  display, Snapdragon 865 5G chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/samsung_galaxy_s20_fe_2022-11459.php
