Device_Names,Announced_Date,Features,Device_Url
Sewon SRS-3300 phone, Announced Q1 2005," Features TFT, 256K colors display, 720 mAh battery.",https://www.gsmarena.com/sewon_srs_3300-1004.php
Sewon SRD-3000 phone, Announced Q2 2004," Features TFT, 256K colors display, 1050 mAh battery.",https://www.gsmarena.com/sewon_srd_3000-798.php
Sewon SRD-200 phone, Announced Q2 2004," Features STN, 65K colors display, 900 mAh battery.",https://www.gsmarena.com/sewon_srd_200-797.php
Sewon SGD-1050 phone, Announced Q2 2004," Features STN, 65K colors display, 900 mAh battery.",https://www.gsmarena.com/sewon_sgd_1050-796.php
Sewon SGD-1030 phone, Announced Q2 2004," Features STN, 65K colors display, 900 mAh battery.",https://www.gsmarena.com/sewon_sgd_1030-795.php
Sewon SGD-1020 phone, Announced Q2 2004," Features STN, 65K colors display, 900 mAh battery.",https://www.gsmarena.com/sewon_sgd_1020-794.php
Sewon SGD-1010 phone, Announced Q1 2004," Features STN, 65K colors display, 600 mAh battery.",https://www.gsmarena.com/sewon_sgd_1010-781.php
Sewon SGD-1000 phone, Announced Q1 2004," Features STN, 65K colors display, 900 mAh battery.",https://www.gsmarena.com/sewon_sgd_1000-780.php
Sewon SGD-106 phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sgd_106-763.php
Sewon SGD-105 phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sgd_105-762.php
Sewon SGD-102 phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sgd_102-749.php
Sewon SGD-101 phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sgd_101-746.php
Sewon SG-2890CD phone, Announced Q1 2004," Features CSTN, 256 colors display, 780 mAh battery.",https://www.gsmarena.com/sewon_sg_2890cd-745.php
Sewon SG-2320CD phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sg_2320cd-741.php
Sewon SG-2300CD phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sg_2300cd-740.php
Sewon SG-2200CD phone, Announced Q1 2004," Features CSTN, 256 colors display, 550 mAh battery.",https://www.gsmarena.com/sewon_sg_2200cd-739.php
Sewon SG-2880CS phone, Announced Q1 2004," Features STN, 256 colors display, 700 mAh battery.",https://www.gsmarena.com/sewon_sg_2880cs-628.php
Sewon SG-2100CS phone, Announced Q1 2004," Features STN, 256 colors display, 700 mAh battery.",https://www.gsmarena.com/sewon_sg_2100cs-627.php
Sewon SG-2000CS phone, Announced Q1 2004," Features STN, 256 colors display, 700 mAh battery.",https://www.gsmarena.com/sewon_sg_2000cs-626.php
Sewon SG-P100 phone, Announced Q1 2004," Features STN, 256 colors display, 720 mAh battery.",https://www.gsmarena.com/sewon_sg_p100-617.php
