Device_Names,Announced_Date,Features,Device_Url
Sharp Aquos V6 Plus Android smartphone, Announced Feb 2022," Features 6.52″  display, Helio G25 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/sharp_aquos_v6_plus-11868.php
Sharp Aquos V6 Android smartphone, Announced Feb 2022," Features 6.52″  display, Helio G25 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/sharp_aquos_v6-11867.php
Sharp Aquos wish Android smartphone, Announced Jan 2022," Features 5.7″  display, Snapdragon 480 5G chipset, 3730 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/sharp_aquos_wish-11847.php
Sharp Aquos zero6 Android smartphone, Announced Oct 2021," Features 6.4″  display, Snapdragon 750G 5G chipset, 4010 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass Victus",https://www.gsmarena.com/sharp_aquos_zero6-11846.php
Sharp Aquos sense5G Android smartphone, Announced Sep 2020," Features 5.8″  display, Snapdragon 690 5G chipset, 4570 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810H compliant",https://www.gsmarena.com/sharp_aquos_sense5g-11845.php
Sharp Aquos sense4 plus Android smartphone, Announced Sep 2020," Features 6.7″  display, Snapdragon 720G chipset, 4120 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/sharp_aquos_sense4_plus-11844.php
Sharp Aquos Zero 2 Android smartphone, Announced May 2020," Features 6.4″  display, Snapdragon 855 chipset, 3130 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6",https://www.gsmarena.com/sharp_aquos_zero_2-10259.php
Sharp Aquos R5G Android smartphone, Announced Feb 2020," Features 6.4″  display, Snapdragon 865 5G chipset, 3730 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/sharp_aquos_r5g-11843.php
Sharp Aquos V Android smartphone, Announced Nov 2019," Features 5.9″  display, Snapdragon 835 chipset, 3090 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/sharp_aquos_v-9962.php
Sharp Aquos R3 Android smartphone, Announced Aug 2019," Features 6.2″  display, Snapdragon 855 chipset, 3200 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/sharp_aquos_r3-11839.php
Sharp Aquos Zero Android smartphone, Announced Jan 2019," Features 6.2″  display, Snapdragon 845 chipset, 3130 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/sharp_aquos_zero-9512.php
Sharp Aquos R2 compact Android smartphone, Announced Nov 2018," Features 5.2″  display, Snapdragon 845 chipset, 2500 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/sharp_aquos_r2_compact-9406.php
Sharp Aquos D10 Android smartphone, Announced Aug 2018," Features 5.99″  display, Snapdragon 630 chipset, Dual: 12 MP (f/18, 1/255″, 14µm, PDAF) + 13 MP primary camera, 16 MP front camera, 2900 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/sharp_aquos_d10-9311.php
Sharp Aquos B10 Android smartphone, Announced Jul 2018," Features 5.7″  display, MT6750T chipset, Dual: 13 MP (f/20, AF) + 8 MP primary camera, 13 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/sharp_aquos_b10-9275.php
Sharp Aquos C10 Android smartphone, Announced Jul 2018," Features 5.5″  display, Snapdragon 630 chipset, Dual: 12 MP (f/18, 14µm, PDAF) + 8 MP primary camera, 8 MP front camera, 2700 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/sharp_aquos_c10-9274.php
