Device_Names,Announced_Date,Features,Device_Url
Sony Ericsson Xperia Arc S Android smartphone, Announced Aug 2011," Features 4.2″  display, Snapdragon S2 chipset, 8 MP primary camera, 1500 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_xperia_arc_s-4134.php
Sony Ericsson Xperia neo V Android smartphone, Announced Aug 2011," Features 3.7″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_xperia_neo_v-4122.php
Sony Ericsson Live with Walkman Android smartphone, Announced Aug 2011," Features 3.2″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 320 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_live_with_walkman-4111.php
Sony Ericsson Xperia ray Android smartphone, Announced Jun 2011," Features 3.3″  display, Snapdragon S2 chipset, 8 MP primary camera, 1500 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_xperia_ray-3972.php
Sony Ericsson Xperia active Android smartphone, Announced Jun 2011," Features 3.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 1000 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_xperia_active-3998.php
Sony Ericsson txt phone, Announced Jun 2011," Features 2.55″  display, 315 MP primary camera, 1000 mAh battery, 120 MB storage, 64 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_txt-3999.php
Sony Ericsson Mix Walkman phone, Announced Jun 2011," Features 3.0″  display, 315 MP primary camera, 1000 mAh battery, 256 MB storage, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_mix_walkman-3984.php
Sony Ericsson txt pro phone, Announced Jun 2011," Features 3.0″  display, 315 MP primary camera, 1000 mAh battery, 100 MB storage, 64 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_txt_pro-3983.php
Sony Ericsson Xperia mini Android smartphone, Announced May 2011," Features 3.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 320 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_xperia_mini-3947.php
Sony Ericsson Xperia mini pro Android smartphone, Announced May 2011," Features 3.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1200 mAh battery, 400 MB storage, 512 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_xperia_mini_pro-3713.php
Sony Ericsson WT18i Android smartphone, Announced May 2011," Features 3.2″  display, 315 MP primary camera, 1200 mAh battery, 150 MB storage, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_wt18i-3948.php
Sony Ericsson W8 Android smartphone, Announced Apr 2011," Features 3.0″  display, Snapdragon S1 chipset, 315 MP primary camera, 1200 mAh battery, 128 MB storage, 168 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/sony_ericsson_w8-3935.php
