Device_Names,Announced_Date,Features,Device_Url
T-Mobile REVVL V+ 5G Android smartphone, Announced Jul 2021," Features 6.82″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/t_mobile_revvl_v+_5g-10997.php
T-Mobile REVVL 5G Android smartphone, Announced Aug 2020," Features 6.53″  display, Snapdragon 765 5G chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/t_mobile_revvl_5g-10486.php
T-Mobile REVVL 4+ Android smartphone, Announced Aug 2020," Features 6.52″  display, Snapdragon 665 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/t_mobile_revvl_4+-10485.php
T-Mobile REVVL 4 Android smartphone, Announced Aug 2020," Features 6.22″  display, MT6761 Helio A22 chipset, 3500 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/t_mobile_revvl_4-10484.php
T-Mobile Revvlry+ Android smartphone, Announced Jul 2019," Features 6.24″  display, Snapdragon 636 chipset, 3000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/t_mobile_revvlry+-9764.php
T-Mobile Revvlry Android smartphone, Announced Jul 2019," Features 5.7″  display, Snapdragon 632 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/t_mobile_revvlry-9763.php
T-Mobile Revvl Android smartphone, Announced Aug 2017," Features 5.5″  display, MT6738 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/t_mobile_revvl-8809.php
T-Mobile Prism II Android smartphone, Announced Jun 2013," Features 3.5″  display, 315 MP primary camera, 1750 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/t_mobile_prism_ii-5550.php
T-Mobile Concord Android smartphone, Announced Aug 2012," Features 3.5″  display, BCM21553 chipset, 2 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/t_mobile_concord-4949.php
T-Mobile myTouch Q 2 Android smartphone, Announced Aug 2012," Features 4.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/t_mobile_mytouch_q_2-4898.php
T-Mobile myTouch 2 Android smartphone, Announced Aug 2012," Features 4.0″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/t_mobile_mytouch_2-4897.php
T-Mobile Prism Android smartphone, Announced May 2012," Features 3.5″  display, 315 MP primary camera, 1400 mAh battery, 512 MB storage",https://www.gsmarena.com/t_mobile_prism-4736.php
T-Mobile Move Balance Android smartphone, Announced Dec 2011," Features 3.7″  display, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/t_mobile_move_balance-4389.php
T-Mobile Arizona Android smartphone, Announced Q4 2011," Features 2.8″  display, 2 MP primary camera, 1100 mAh battery, 100 MB storage",https://www.gsmarena.com/t_mobile_arizona-4390.php
T-Mobile Vivacity Android smartphone, Announced Nov 2011," Features 3.5″  display, 5 MP primary camera, 1500 mAh battery, 512 MB storage",https://www.gsmarena.com/t_mobile_vivacity-4347.php
T-Mobile myTouch 4G Slide Android smartphone, Announced Jun 2011," Features 3.7″  display, 8 MP primary camera, 1520 mAh battery, 4 GB storage, 768 MB RAM",https://www.gsmarena.com/t_mobile_mytouch_4g_slide-4018.php
T-Mobile Energy phone, Announced  2011," Features 3.5″  display, 315 MP primary camera",https://www.gsmarena.com/t_mobile_energy-4624.php
T-Mobile SpringBoard Android tablet, Announced Oct 2011," Features 7.0″  display, Snapdragon S3 chipset, 5 MP primary camera, 13 MP front camera, 7000 mAh battery, 16 GB storage",https://www.gsmarena.com/t_mobile_springboard-4233.php
T-Mobile myTouch Q Android smartphone, Announced Oct 2011," Features 3.5″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/t_mobile_mytouch_q-4231.php
T-Mobile myTouch Android smartphone, Announced Oct 2011," Features 3.8″  display, Snapdragon S2 chipset, 5 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/t_mobile_mytouch-4232.php
T-Mobile G-Slate Android tablet, Announced Feb 2011," Features 8.9″  display, Nvidia Tegra 2 T20 chipset, Dual: 5 MP primary camera, 2 MP front camera, 32 GB storage",https://www.gsmarena.com/t_mobile_g_slate-3932.php
T-Mobile Move Android smartphone, Announced Jun 2011," Features 2.8″  display, 2 MP primary camera, 1300 mAh battery, 150 MB storage, 512 MB RAM",https://www.gsmarena.com/t_mobile_move-3990.php
T-Mobile G2x Android smartphone, Announced Mar 2011," Features 4.0″  display, Nvidia Tegra 2 AP20H chipset, 8 MP primary camera, 13 MP front camera, 1500 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/t_mobile_g2x-3888.php
T-Mobile Sidekick 4G Android smartphone, Announced Mar 2011," Features 3.5″  display, Hummingbird chipset, 315 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/t_mobile_sidekick_4g-3874.php
T-Mobile Vairy Text II phone, Announced  2011," Features 2.4″  display, 2 MP primary camera, 850 mAh battery, 70 MB storage",https://www.gsmarena.com/t_mobile_vairy_text_ii-4031.php
