Device_Names,Announced_Date,Features,Device_Url
TCL Stylus Android smartphone, Announced Jun 2022," Features 6.81″  display, MediaTek MT6833 Dimensity 700 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM, NEG",https://www.gsmarena.com/tcl_stylus-11604.php
TCL Tab 10s 5G Android tablet, Announced Feb 2022," Features 10.1″  display, MT8771 chipset, 8000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_tab_10s_5g-11392.php
TCL Tab 10 HD 4G Android tablet, Announced Feb 2022," Features 10.1″  display, MT8768E chipset, 5500 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/tcl_tab_10_hd_4g-11393.php
TCL 30 5G Android smartphone, Announced Feb 2022," Features 6.7″  display, MediaTek MT6833 Dimensity 700 chipset, 5010 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_30_5g-11387.php
TCL 30+ Android smartphone, Announced Feb 2022," Features 6.7″  display, MT6765V chipset, 5010 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_30+-11386.php
TCL 30 Android smartphone, Announced Feb 2022," Features 6.7″  display, MT6765V chipset, 5010 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_30-11385.php
TCL 30 SE Android smartphone, Announced Feb 2022," Features 6.52″  display, MediaTek MT6762G Helio G25 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_30_se-11384.php
TCL 30E Android smartphone, Announced Feb 2022," Features 6.52″  display, MediaTek MT6762G Helio G25 chipset, 5000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/tcl_30e-11383.php
TCL 306 Android smartphone, Announced Jan 2022," Features 6.52″  display, MediaTek MT6762G Helio G25 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/tcl_306-11717.php
TCL 305 Android smartphone, Announced Jan 2022," Features 6.52″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/tcl_305-11341.php
TCL 30 V 5G Android smartphone, Announced Jan 2022," Features 6.67″  display, Snapdragon 480 5G chipset, 4500 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/tcl_30_v_5g-11303.php
TCL 30 XE 5G Android smartphone, Announced Jan 2022," Features 6.52″  display, MediaTek MT6833 Dimensity 700 chipset, 4500 mAh battery, 64 GB storage, 4 GB RAM, Dragontrail Glass",https://www.gsmarena.com/tcl_30_xe_5g-11302.php
TCL NxtPaper 10s Android tablet, Announced Jan 2022," Features 10.1″  display, MT8768 chipset, 8000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_nxtpaper_10s-11304.php
TCL Tab 10L Android tablet, Announced Jan 2022," Features 10.1″  display, MT8167 chipset, 4080 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tcl_tab_10l-11305.php
TCL Tab 8 4G Android tablet, Announced Jan 2022," Features 8.0″  display, MT8766 chipset, 4080 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tcl_tab_8_4g-11306.php
TCL 20 XE Android smartphone, Announced Dec 2021," Features 6.52″  display, MT6762 Helio P22 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/tcl_20_xe-11699.php
TCL 20E Android smartphone, Announced Oct 2021," Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_20e-11321.php
TCL 20Y Android smartphone, Announced Sep 2021," Features 6.52″  display, MT6762D Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_20y-11359.php
TCL A30 Android smartphone, Announced Oct 2021," Features 5.5″  display, MT6762 Helio P22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM, Asahi Glass",https://www.gsmarena.com/tcl_a30-11360.php
TCL A3 Android smartphone, Announced Oct 2021," Features 5.5″  display, MT6762 Helio P22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/tcl_a3-11361.php
TCL 20B Android smartphone, Announced Sep 2021," Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_20b-11261.php
TCL 20 R 5G Android smartphone, Announced Sep 2021," Features 6.52″  display, MediaTek MT6833 Dimensity 700 chipset, 4500 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_20_r_5g-11088.php
TCL L10 Pro Android smartphone, Announced Sep 2021," Features 6.22″  display, Unisoc SC9863A chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tcl_l10_pro-11081.php
TCL 20 Pro 5G Android smartphone, Announced Apr 2021," Features 6.67″  display, Snapdragon 750G 5G chipset, 4500 mAh battery, 256 GB storage, 6 GB RAM",https://www.gsmarena.com/tcl_20_pro_5g-10855.php
TCL 20S Android smartphone, Announced Apr 2021," Features 6.67″  display, Snapdragon 665 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM",https://www.gsmarena.com/tcl_20s-10856.php
