Device_Names,Announced_Date,Features,Device_Url
Tecno Pova 4 Android smartphone, Announced Oct 2022," Features 6.82″  display, MediaTek MT8781 Helio G99 chipset, 6000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/tecno_pova_4-11926.php
Tecno Pova 4 Pro Android smartphone, Announced Oct 2022," Features 6.66″  display, MediaTek MT8781 Helio G99 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/tecno_pova_4_pro-11925.php
Tecno Pova Neo 2 Android smartphone, Announced Sep 2022," Features 6.82″  display, MediaTek Helio G85 chipset, 7000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_pova_neo_2-11900.php
Tecno Pova Neo 5G Android smartphone, Announced Sep 2022," Features 6.8″  display, MediaTek MT6833P Dimensity 810 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tecno_pova_neo_5g-11898.php
Tecno Pop 6 Pro Android smartphone, Announced Sep 2022," Features 6.56″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tecno_pop_6_pro-11886.php
Tecno Spark 9T (India) Android smartphone, Announced Jul 2022," Features 6.6″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tecno_spark_9t_(india)-11732.php
Tecno Spark 9 Android smartphone, Announced Jul 2022," Features 6.6″  display, MT6765V chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_spark_9-11694.php
Tecno Spark 9T Android smartphone, Announced Jun 2022," Features 6.6″  display, MT6765V chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/tecno_spark_9t-11631.php
Tecno Camon 19 Pro 5G Android smartphone, Announced Jun 2022," Features 6.8″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/tecno_camon_19_pro_5g-11625.php
Tecno Camon 19 Pro Android smartphone, Announced Jun 2022," Features 6.8″  display, MT6781 Helio G96 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/tecno_camon_19_pro-11618.php
Tecno Camon 19 Android smartphone, Announced Jun 2022," Features 6.8″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_camon_19-11617.php
Tecno Camon 19 Neo Android smartphone, Announced Jun 2022," Features 6.8″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_camon_19_neo-11619.php
Tecno Pop 6 Android smartphone, Announced Jun 2022," Features 6.1″  display, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tecno_pop_6-11781.php
Tecno Spark 9 Pro Android smartphone, Announced Jun 2022," Features 6.6″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_spark_9_pro-11603.php
Tecno Pova 3 Android smartphone, Announced May 2022," Features 6.9″  display, MediaTek Helio G88 chipset, 7000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_pova_3-11553.php
Tecno Pop 6 Go Android smartphone, Announced May 2022," Features 6.0″  display, 4000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tecno_pop_6_go-11782.php
Tecno Pop 5S Android smartphone, Announced Feb 2022," Features 5.7″  display, 3020 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tecno_pop_5s-11352.php
Tecno Spark 8C Android smartphone, Announced Jan 2022," Features 6.6″  display, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tecno_spark_8c-11340.php
Tecno Pop 5X Android smartphone, Announced Jan 2022," Features 6.52″  display, Unisoc SC9832E chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tecno_pop_5x-11337.php
Tecno Pop 5 Pro Android smartphone, Announced Jan 2022," Features 6.52″  display, MT6761 Helio A22 chipset, 6000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/tecno_pop_5_pro-11326.php
Tecno Spark 8 Pro Android smartphone, Announced Dec 2021," Features 6.8″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, NEG",https://www.gsmarena.com/tecno_spark_8_pro-11297.php
Tecno Spark 8T Android smartphone, Announced Dec 2021," Features 6.6″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/tecno_spark_8t-11298.php
Tecno Spark Go 2022 Android smartphone, Announced Dec 2021," Features 6.52″  display, 5000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/tecno_spark_go_2022-11299.php
Tecno Pova 5G Android smartphone, Announced Dec 2021," Features 6.9″  display, MediaTek MT6877 Dimensity 900 chipset, 6000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/tecno_pova_5g-11289.php
Tecno Pova Neo Android smartphone, Announced Dec 2021," Features 6.8″  display, MediaTek Helio G25 chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/tecno_pova_neo-11260.php
