Device_Names,Announced_Date,Features,Device_Url
Ulefone Power Armor 16 Pro Android smartphone, Announced Sep 2022," Features 5.93″  display, MediaTek MT6762G Helio G25 chipset, 9600 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_power_armor_16_pro-11897.php
Ulefone Power Armor X11 Pro Android smartphone, Announced Sep 2022," Features 5.45″  display, MediaTek MT6762G Helio G25 chipset, 8150 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_power_armor_x11_pro-11896.php
Ulefone Armor 15 Android smartphone, Announced Jul 2022," Features 5.45″  display, MediaTek MT6765G Helio G35 chipset, 6600 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_15-11756.php
Ulefone Armor X6 Pro Android smartphone, Announced Jul 2022," Features 5.0″  display, MT6761 Helio A22 chipset, 4000 mAh battery, 32 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_x6_pro-11714.php
Ulefone Note 12 Android smartphone, Announced Jul 2022," Features 6.82″  display, Unisoc Tiger T310 chipset, 7700 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/ulefone_note_12-11680.php
Ulefone Note 6T Android smartphone, Announced May 2022," Features 6.1″  display, MT6761 Helio A22 chipset, 3300 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/ulefone_note_6t-11537.php
Ulefone Power Armor 14 Pro Android smartphone, Announced Mar 2022," Features 6.52″  display, MediaTek Helio G85 chipset, 10000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 3",https://www.gsmarena.com/ulefone_power_armor_14_pro-11440.php
Ulefone Armor X10 Pro Android smartphone, Announced Mar 2022," Features 5.45″  display, MT6762 Helio P22 chipset, 5180 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_x10_pro-11441.php
Ulefone Note 10P Android smartphone, Announced Mar 2022," Features 6.52″  display, Unisoc Tiger T310 chipset, 5500 mAh battery, 128 GB storage, 3 GB RAM",https://www.gsmarena.com/ulefone_note_10p-11442.php
Ulefone Armor X10 Android smartphone, Announced Dec 2021," Features 5.45″  display, MT6761 Helio A22 chipset, 5180 mAh battery, 32 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_x10-11291.php
Ulefone Note 13P Android smartphone, Announced Nov 2021," Features 6.5″  display, MediaTek MT6765G Helio G35 chipset, 5180 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/ulefone_note_13p-11245.php
Ulefone Note 12P Android smartphone, Announced Oct 2021," Features 6.82″  display, Unisoc SC9863A chipset, 7700 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/ulefone_note_12p-11184.php
Ulefone Note 6P Android smartphone, Announced Oct 2021," Features 6.1″  display, Unisoc SC9863A chipset, 3300 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/ulefone_note_6p-11183.php
Ulefone Power Armor 14 Android smartphone, Announced Oct 2021," Features 6.52″  display, MediaTek Helio G35 chipset, 10000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 3",https://www.gsmarena.com/ulefone_power_armor_14-11170.php
Ulefone Armor X9 Pro Android smartphone, Announced Sep 2021," Features 5.5″  display, MediaTek Helio A25 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_x9_pro-11155.php
Ulefone Armor X9 Android smartphone, Announced Sep 2021," Features 5.5″  display, MediaTek Helio A25 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_x9-11154.php
Ulefone Armor X8i Android smartphone, Announced Sep 2021," Features 5.7″  display, MediaTek Helio A25 chipset, 5080 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_x8i-11130.php
Ulefone Armor 12 5G Android smartphone, Announced Aug 2021," Features 6.52″  display, MediaTek MT6833 Dimensity 700 chipset, 5180 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant",https://www.gsmarena.com/ulefone_armor_12_5g-11080.php
Ulefone Power Armor 13 Android smartphone, Announced Jul 2021," Features 6.81″  display, Helio G95 chipset, 13200 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 3",https://www.gsmarena.com/ulefone_power_armor_13-11066.php
Ulefone Note 6 Android smartphone, Announced Jul 2021," Features 6.1″  display, Unisoc SC7731e chipset, 3300 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/ulefone_note_6-11065.php
Ulefone Tab A7 Android tablet, Announced May 2021," Features 10.1″  display, Unisoc SC9863A chipset, 7680 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/ulefone_tab_a7-10994.php
