Device_Names,Announced_Date,Features,Device_Url
Unnecto Bolt Android smartphone, Announced Jun 2016," Features 5.0″  display, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_bolt-8283.php
Unnecto Neo V Android smartphone, Announced May 2016," Features 5.0″  display, 8 MP primary camera, 13 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_neo_v-8282.php
Unnecto Quattro S Android smartphone, Announced May 2016," Features 4.0″  display, 5 MP primary camera, 13 MP front camera, 1400 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_quattro_s-8281.php
Unnecto Quattro V Android smartphone, Announced May 2016," Features 4.0″  display, 5 MP primary camera, 13 MP front camera, 1600 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_quattro_v-8280.php
Unnecto Drone XS Android smartphone, Announced May 2016," Features 3.5″  display, 3 MP primary camera, 13 MP front camera, 1100 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/unnecto_drone_xs-8279.php
Unnecto Primo 2G phone, Announced Mar 2016," Features 1.8″  display, 1 MP primary camera, 800 mAh battery, 32 MB storage, 32 MB RAM",https://www.gsmarena.com/unnecto_primo_2g-8278.php
Unnecto Omnia Android smartphone, Announced Jan 2015," Features 5.0″  display, 8 MP primary camera, 3 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_omnia-7888.php
Unnecto Swift Android smartphone, Announced Jan 2015," Features 4.0″  display, 5 MP primary camera, 1600 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_swift-7887.php
Unnecto Quattro X Android smartphone, Announced Jan 2015," Features 4.0″  display, 5 MP primary camera, 1600 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/unnecto_quattro_x-7021.php
Unnecto Drone XL Android smartphone, Announced Jan 2015," Features 3.5″  display, 315 MP primary camera, 1100 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/unnecto_drone_xl-7020.php
Unnecto Drone X Android smartphone, Announced Jan 2015," Features 3.5″  display, 315 MP primary camera, 1100 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/unnecto_drone_x-7019.php
Unnecto Air 5,5 Android smartphone," Announced Jan 2015. Features 55″  display, 13 MP primary camera, 5 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_air_5_5-7018.php
Unnecto Air 5,0 Android smartphone," Announced Jan 2015. Features 50″  display, 12 MP primary camera, 3 MP front camera, 1900 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_air_5_0-7017.php
Unnecto Air 4,5 Android smartphone," Announced Jan 2015. Features 45″  display, 8 MP primary camera, 3 MP front camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/unnecto_air_4_5-7016.php
Unnecto Rush Android smartphone, Announced Sep 2014," Features 5.0″  display, 8 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/unnecto_rush-6710.php
Unnecto Quattro Z Android smartphone, Announced Jun 2014," Features 4.0″  display, 8 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/unnecto_quattro_z-6455.php
Unnecto Drone Z Android smartphone, Announced Jun 2014," Features 3.5″  display, 315 MP primary camera, 1200 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/unnecto_drone_z-6454.php
Unnecto Quattro Android smartphone, Announced Mar 2012," Features 4.0″  display, 315 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/unnecto_quattro-6014.php
Unnecto Blaze phone, Announced Mar 2012," Features 3.5″  display, 2 MP primary camera, 1100 mAh battery, 1000 MB storage, 512 MB RAM",https://www.gsmarena.com/unnecto_blaze-6013.php
Unnecto Drone Android smartphone, Announced Feb 2012," Features 3.2″  display, 2 MP primary camera, 800 mAh battery, 4 GB storage, 2 GB RAM",https://www.gsmarena.com/unnecto_drone-6012.php
Unnecto Tap phone, Announced Jun 2011," Features 2.8″  display, 13 MP primary camera, 950 mAh battery, 256 MB storage, 64 MB RAM",https://www.gsmarena.com/unnecto_tap-6011.php
Unnecto Pro Z phone, Announced Mar 2012," Features 2.4″  display, 13 MP primary camera, 1000 mAh battery",https://www.gsmarena.com/unnecto_pro_z-6010.php
Unnecto Pro phone, Announced Mar 2012," Features 2.4″  display, 13 MP primary camera, 1000 mAh battery, 512 MB storage, 256 MB RAM",https://www.gsmarena.com/unnecto_pro-6008.php
Unnecto Edge phone, Announced Jun 2011," Features 2.2″  display, 13 MP primary camera, 900 mAh battery, 128 MB storage",https://www.gsmarena.com/unnecto_edge-6007.php
Unnecto Shell phone, Announced Jun 2011," Features 2.2″  display, 13 MP primary camera, 1000 mAh battery, 128 MB storage",https://www.gsmarena.com/unnecto_shell-6006.php
Unnecto Pebble phone, Announced Jun 2011," Features 2.0″  display, 13 MP primary camera, 800 mAh battery, 64 MB storage",https://www.gsmarena.com/unnecto_pebble-6004.php
Unnecto Drift phone, Announced Jun 2011," Features 2.4″  display, 13 MP primary camera, 800 mAh battery, 128 MB storage",https://www.gsmarena.com/unnecto_drift-6005.php
Unnecto Eco phone, Announced Jun 2011," Features 1.77″  display, 1100 mAh battery, 64 MB storage",https://www.gsmarena.com/unnecto_eco-6003.php
Unnecto Primo 3G phone, Announced  2013," Features 1.8″  display, 08 MP primary camera, 600 mAh battery",https://www.gsmarena.com/unnecto_primo_3g-6002.php
Unnecto Primo phone, Announced  2013," Features 1.8″  display, 600 mAh battery, 32 MB storage",https://www.gsmarena.com/unnecto_primo-6001.php
