Device_Names,Announced_Date,Features,Device_Url
Wiko T50 Android smartphone, Announced May 2022," Features 6.6″  display, MediaTek Helio G85 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/wiko_t50-11607.php
Wiko T10 Android smartphone, Announced May 2022," Features 6.5″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/wiko_t10-11606.php
Wiko T3 Android smartphone, Announced Dec 2021," Features 6.6″  display, MT6765 Helio P35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/wiko_t3-11601.php
Wiko Y62 Plus Android smartphone, Announced Q3 2021," Features 6.1″  display, MT6761D Helio A20 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/wiko_y62_plus-11676.php
Wiko Y82 Android smartphone, Announced Q3 2021," Features 6.1″  display, Unisoc SC9863A chipset, 3600 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/wiko_y82-11681.php
Wiko Power U30 Android smartphone, Announced Jun 2021," Features 6.82″  display, MediaTek MT6765G Helio G35 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/wiko_power_u30-11678.php
Wiko Y52 Android smartphone, Announced Nov 2021," Features 5.0″  display, Unisoc SC9832E chipset, 2020 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/wiko_y52-11679.php
Wiko Power U20 Android smartphone, Announced Jun 2021," Features 6.82″  display, MediaTek MT6765G Helio G35 chipset, 6000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/wiko_power_u20-11674.php
Wiko Power U10 Android smartphone, Announced Jun 2021," Features 6.82″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/wiko_power_u10-11677.php
Wiko Y62 Android smartphone, Announced Apr 2021," Features 6.1″  display, MT6761D Helio A20 chipset, 3000 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/wiko_y62-11675.php
Wiko Sunny5 Lite Android smartphone, Announced Nov 2020," Features 5.45″  display, 2500 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/wiko_sunny5_lite-11686.php
Wiko Y51 Android smartphone, Announced Jan 2021," Features 5.45″  display, 2500 mAh battery, 16 GB storage, 1000 MB RAM",https://www.gsmarena.com/wiko_y51-11687.php
