Device_Names,Announced_Date,Features,Device_Url
XOLO Era 2X Android smartphone, Announced Jan 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 3 GB RAM",https://www.gsmarena.com/xolo_era_2x-8520.php
XOLO Era 2 Android smartphone, Announced Oct 2016," Features 5.0″  display, Spreadtrum SC9832A chipset, 5 MP primary camera, 5 MP front camera, 2350 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_era_2-8395.php
XOLO Era 1X Android smartphone, Announced Sep 2016," Features 5.0″  display, Spreadtrum SC9832A chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_era_1x-8339.php
XOLO Era X Android smartphone, Announced Feb 2016," Features 5.0″  display, Spreadtrum SC9830A chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 2 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/xolo_era_x-7959.php
XOLO Era 4K Android smartphone, Announced Feb 2016," Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 5 MP front camera, 4000 mAh battery, 8 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xolo_era_4k-7958.php
XOLO Era 4G Android smartphone, Announced Feb 2016," Features 5.0″  display, Spreadtrum SC9830A chipset, 5 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass",https://www.gsmarena.com/xolo_era_4g-7929.php
XOLO One HD Android smartphone, Announced Dec 2015," Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 5 MP front camera, 2300 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_one_hd-7872.php
XOLO Black 3GB Android smartphone, Announced Dec 2015," Features 5.5″  display, Snapdragon 615 chipset, Dual: 13 MP (f/20, AF) + 2 MP primary camera, 5 MP front camera, 3200 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xolo_black_3gb-7871.php
XOLO Black 1X Android smartphone, Announced Oct 2015," Features 5.0″  display, MT6753 chipset, 13 MP primary camera, 5 MP front camera, 2400 mAh battery, 32 GB storage, 3 GB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/xolo_black_1x-7729.php
XOLO Black Android smartphone, Announced Jul 2015," Features 5.5″  display, Snapdragon 615 chipset, Dual: 13 MP (AF) + 2 MP primary camera, 5 MP front camera, 3200 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xolo_black-7399.php
XOLO Era Android smartphone, Announced Jul 2015," Features 5.0″  display, Spreadtrum 7731 chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_era-7400.php
XOLO Cube 5,0 Android smartphone," Announced Jun 2015. Features 50″  display, MT6582M chipset, 8 MP primary camera, 5 MP front camera, 2100 mAh battery, 8 GB storage, 2 GB RAM",https://www.gsmarena.com/xolo_cube_5_0-7311.php
XOLO Prime Android smartphone, Announced May 2015," Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_prime-7244.php
XOLO LT2000 Android smartphone, Announced Jan 2015," Features 5.5″  display, Snapdragon 410 chipset, 8 MP primary camera, 2 MP front camera, 2920 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_lt2000-7131.php
XOLO A1010 Android smartphone, Announced Mar 2015," Features 5.0″  display, MT6582M chipset, 5 MP primary camera, 2500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/xolo_a1010-7107.php
XOLO Win Q1000 Windows Mobile smartphone, Announced Feb 2015," Features 5.0″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_win_q1000-7065.php
XOLO 8X-1020 Android smartphone, Announced Feb 2015," Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_8x_1020-7064.php
XOLO Q700 Club Android smartphone, Announced Jan 2015," Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_q700_club-7009.php
XOLO Q520s Android smartphone, Announced Jan 2015," Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1820 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/xolo_q520s-7010.php
XOLO Q900s Plus Android smartphone, Announced Jun 2014," Features 4.7″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/xolo_q900s_plus-6887.php
XOLO Omega 5,5 Android smartphone," Announced Dec 2014. Features 55″  display, MT6592M chipset, 13 MP primary camera, 2 MP front camera, 2600 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_omega_5_5-6851.php
XOLO Omega 5,0 Android smartphone," Announced Dec 2014. Features 50″  display, MT6592M chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_omega_5_0-6850.php
XOLO Opus 3 Android smartphone, Announced Dec 2014," Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_opus_3-6844.php
XOLO Q710s Android smartphone, Announced Dec 2014," Features 4.5″  display, MT6582M chipset, 8 MP primary camera, 13 MP front camera, 640 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_q710s-6843.php
XOLO Q1020 Android smartphone, Announced Oct 2014," Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xolo_q1020-6793.php
XOLO One Android smartphone, Announced Oct 2014," Features 4.5″  display, MT6582M chipset, 5 MP primary camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_one-6743.php
XOLO Q2100 Android smartphone, Announced Sep 2014," Features 5.5″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xolo_q2100-6735.php
XOLO Opus HD Android smartphone, Announced  2014," Features 4.99″  display, Broadcom BCM23550 chipset, 8 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_opus_hd-6734.php
XOLO Play 8X-1100 Android smartphone, Announced Aug 2014," Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 2100 mAh battery, 16 GB storage, 2 GB RAM, Gorilla Glass 3",https://www.gsmarena.com/xolo_play_8x_1100-6652.php
XOLO Q510s Android smartphone, Announced Sep 2014," Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1500 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_q510s-6626.php
XOLO Q700s plus Android smartphone, Announced Sep 2014," Features 4.5″  display, MT6582M chipset, 8 MP primary camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_q700s_plus-6624.php
XOLO Q1000s plus Android smartphone, Announced Aug 2014," Features 5.0″  display, MT6589T chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/xolo_q1000s_plus-6623.php
XOLO Q610s Android smartphone, Announced Sep 2014," Features 4.5″  display, MediaTek MT6582M chipset, 5 MP primary camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_q610s-6622.php
XOLO A1000s Android smartphone, Announced Aug 2014," Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_a1000s-6577.php
XOLO Play 8X-1200 Android smartphone, Announced Jul 2014," Features 5.0″  display, MT6592T chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/xolo_play_8x_1200-6564.php
XOLO Hive 8X-1000 Android smartphone, Announced Aug 2014," Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 2 MP front camera, 1920 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xolo_hive_8x_1000-6556.php
XOLO A550S IPS Android smartphone, Announced Jul 2014," Features 4.0″  display, MT6572M chipset, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/xolo_a550s_ips-6551.php
XOLO Q900s Android smartphone, Announced Jun 2014," Features 4.7″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/xolo_q900s-6531.php
XOLO Q500s IPS Android smartphone, Announced Jul 2014," Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/xolo_q500s_ips-6525.php
XOLO A700s Android smartphone, Announced Jul 2014," Features 4.5″  display, MT6572 chipset, 5 MP primary camera, 1900 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/xolo_a700s-6522.php
