Device_Names,Announced_Date,Features,Device_Url
Xiaomi 12T Pro Android smartphone, Announced Oct 2022," Features 6.67″  display, Snapdragon 8+ Gen 1 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/xiaomi_12t_pro-11887.php
Xiaomi 12T Android smartphone, Announced Oct 2022," Features 6.67″  display, MediaTek Dimensity 8100-Ultra chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/xiaomi_12t-11888.php
Xiaomi Redmi Pad Android tablet, Announced Oct 2022," Features 10.61″  display, MediaTek MT8781 Helio G99 chipset, 8000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/xiaomi_redmi_pad-11911.php
Xiaomi Redmi Note 11R Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/xiaomi_redmi_note_11r-11904.php
Xiaomi Redmi A1+ Android smartphone, Announced Sep 2022," Features 6.52″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/xiaomi_redmi_a1+-11909.php
Xiaomi Civi 2 Android smartphone, Announced Sep 2022," Features 6.55″  display, Snapdragon 7 Gen 1 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/xiaomi_civi_2-11906.php
Xiaomi Redmi 11 Prime Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT8781 Helio G99 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xiaomi_redmi_11_prime-11855.php
Xiaomi Redmi 11 Prime 5G Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xiaomi_redmi_11_prime_5g-11834.php
Xiaomi Redmi A1 Android smartphone, Announced Sep 2022," Features 6.52″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/xiaomi_redmi_a1-11848.php
Xiaomi Poco M5s Android smartphone, Announced Sep 2022," Features 6.43″  display, Helio G95 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xiaomi_poco_m5s-11832.php
Xiaomi Poco M5 Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT8781 Helio G99 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xiaomi_poco_m5-11850.php
Xiaomi Poco M5 (India) Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT8781 Helio G99 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xiaomi_poco_m5_(india)-11869.php
Xiaomi Redmi Note 11 SE (India) Android smartphone, Announced Aug 2022," Features 6.43″  display, Helio G95 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/xiaomi_redmi_note_11_se_(india)-11819.php
