Device_Names,Announced_Date,Features,Device_Url
Yezz Art 3 Lite Android smartphone, Announced Jun 2022," Features 6.52″  display, Unisoc SC9832E chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM, Panda Glass",https://www.gsmarena.com/yezz_art_3_lite-11921.php
Yezz EPIC 3 Android tablet, Announced May 2022," Features 7.0″  display, Allwinner A133 chipset, 2500 mAh battery, 32 GB storage, 2 GB RAM, Asahi Glass",https://www.gsmarena.com/yezz_epic_3-11763.php
Yezz Max 2 Ultra Android smartphone, Announced May 2022," Features 6.1″  display, MT6737M chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM, Asahi Glass",https://www.gsmarena.com/yezz_max_2_ultra-11682.php
Yezz Max 2 Android smartphone, Announced Oct 2021," Features 5.45″  display, MT6737M chipset, 2500 mAh battery, 32 GB storage, 1000 MB RAM, Asahi Glass",https://www.gsmarena.com/yezz_max_2-11349.php
Yezz Liv 3 LTE Android smartphone, Announced Aug 2021," Features 5.0″  display, Unisoc SC9832E chipset, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Glass",https://www.gsmarena.com/yezz_liv_3_lte-11246.php
Yezz GO 3 Android smartphone, Announced Apr 2021," Features 4.0″  display, Unisoc SC7731e chipset, 1350 mAh battery, 8 GB storage, 1000 MB RAM, AGC glass",https://www.gsmarena.com/yezz_go_3-11068.php
Yezz Art 2 Pro Android smartphone, Announced Apr 2021," Features 6.53″  display, Unisoc SC9863A chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Asahi Glass",https://www.gsmarena.com/yezz_art_2_pro-11016.php
Yezz Max 2 Plus Android smartphone, Announced Apr 2021," Features 5.5″  display, Unisoc SC9832E chipset, 2600 mAh battery, 32 GB storage, 2 GB RAM, Asahi Glass",https://www.gsmarena.com/yezz_max_2_plus-11017.php
Yezz Liv 1s Android smartphone, Announced Nov 2020," Features 4.95″  display, Spreadtrum SC7731E chipset, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Glass",https://www.gsmarena.com/yezz_liv_1s-10739.php
Yezz Art 1 Pro Android smartphone, Announced Aug 2020," Features 6.53″  display, MediaTek MT6762D Helio A25 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, Asahi Glass",https://www.gsmarena.com/yezz_art_1_pro-10598.php
Yezz Liv 2 LTE Android smartphone, Announced Mar 2020," Features 5.0″  display, MT6739 chipset, 2450 mAh battery, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass 3 or Asahi Dragontrail Glass",https://www.gsmarena.com/yezz_liv_2_lte-10390.php
Yezz Art 1 Android smartphone, Announced Mar 2020," Features 6.1″  display, MT6739 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM, AGC glass",https://www.gsmarena.com/yezz_art_1-10381.php
Yezz GO 1 Android smartphone, Announced Feb 2020," Features 4.0″  display, MT6580 chipset, 1400 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/yezz_go_1-10346.php
Yezz Max 1 Plus Android smartphone, Announced Aug 2019," Features 5.45″  display, Unisoc SC9832E chipset, 2800 mAh battery, 16 GB storage, 2 GB RAM, AGC glass",https://www.gsmarena.com/yezz_max_1_plus-9903.php
Yezz LIV1 Android smartphone, Announced Aug 2019," Features 5.0″  display, Unisoc SC7731E chipset, 2000 mAh battery, 16 GB storage, 1000 MB RAM, AGC glass",https://www.gsmarena.com/yezz_liv1-9898.php
Yezz Max 1 Android smartphone, Announced Oct 2018," Features 5.0″  display, MT6580M chipset, 2000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/yezz_max_1-9519.php
Yezz Andy 4E7 Android smartphone, Announced Sep 2018," Features 5.0″  display, MT6580M chipset, 1400 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/yezz_andy_4e7-9514.php
Yezz Andy 5E5 Android smartphone, Announced Aug 2018," Features 5.0″  display, MT6580M chipset, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Yes",https://www.gsmarena.com/yezz_andy_5e5-9486.php
Yezz Epic T Android smartphone, Announced Mar 2018," Features 5.5″  display, MT6750 chipset, 9000 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 3",https://www.gsmarena.com/yezz_epic_t-9485.php
Yezz Andy 4E4 Android smartphone, Announced Nov 2016," Features 4.0″  display, Spreadtrum SC7731C chipset, 5 MP primary camera, 2 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/yezz_andy_4e4-8472.php
