Device_Names,Announced_Date,Features,Device_Url
ZTE Blade V40s Android smartphone, Announced Oct 2022," Features 6.67″  display, Unisoc T618 chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/zte_blade_v40s-11917.php
ZTE Axon 30S Android smartphone, Announced Sep 2022," Features 6.92″  display, Snapdragon 870 5G chipset, 4200 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/zte_axon_30s-11901.php
ZTE nubia Z40S Pro Android smartphone, Announced Jul 2022," Features 6.67″  display, Snapdragon 8+ Gen 1 chipset, 5000 mAh battery, 1024 GB storage, 18 GB RAM",https://www.gsmarena.com/zte_nubia_z40s_pro-11698.php
ZTE nubia Red Magic 7S Pro Android smartphone, Announced Jul 2022," Features 6.8″  display, Snapdragon 8+ Gen 1 chipset, 5000 mAh battery, 1024 GB storage, 18 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/zte_nubia_red_magic_7s_pro-11649.php
ZTE nubia Red Magic 7S Android smartphone, Announced Jul 2022," Features 6.8″  display, Snapdragon 8+ Gen 1 chipset, 4500 mAh battery, 512 GB storage, 16 GB RAM",https://www.gsmarena.com/zte_nubia_red_magic_7s-11664.php
ZTE V40 Pro Android smartphone, Announced Mar 2022," Features 6.67″  display, Unisoc Tiger T618 chipset, 5100 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/zte_v40_pro-11660.php
ZTE Blade A72 Android smartphone, Announced Jun 2022," Features 6.75″  display, Unisoc SC9863A chipset, 6000 mAh battery, 128 GB storage, 3 GB RAM",https://www.gsmarena.com/zte_blade_a72-11612.php
ZTE Blade A52 Lite Android smartphone, Announced Aug 2022," Features 6.52″  display, 4000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/zte_blade_a52_lite-11927.php
ZTE Blade A52 Android smartphone, Announced Jun 2022," Features 6.52″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/zte_blade_a52-11611.php
ZTE Axon 40 Pro Android smartphone, Announced May 2022," Features 6.67″  display, Snapdragon 870 5G chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/zte_axon_40_pro-11516.php
ZTE Axon 40 Ultra Android smartphone, Announced May 2022," Features 6.8″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 1024 GB storage, 16 GB RAM",https://www.gsmarena.com/zte_axon_40_ultra-11510.php
ZTE nubia Z40 Pro Android smartphone, Announced Feb 2022," Features 6.67″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 1024 GB storage, 16 GB RAM",https://www.gsmarena.com/zte_nubia_z40_pro-11379.php
ZTE Blade V40 Vita Android smartphone, Announced May 2022," Features 6.75″  display, Unisoc T606 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/zte_blade_v40_vita-11579.php
ZTE nubia Red Magic 7 Pro Android smartphone, Announced Feb 2022," Features 6.8″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 1024 GB storage, 18 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/zte_nubia_red_magic_7_pro-11364.php
ZTE nubia Red Magic 7 Android smartphone, Announced Feb 2022," Features 6.8″  display, Snapdragon 8 Gen 1 chipset, 4500 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/zte_nubia_red_magic_7-11363.php
ZTE Blade A3 Plus Android smartphone, Announced Jan 2022," Features 5.0″  display, MT6739W chipset, 2050 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/zte_blade_a3_plus-11702.php
ZTE Blade A7P Android smartphone, Announced Dec 2021," Features 6.52″  display, MT6762D Helio P22 chipset, 3200 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/zte_blade_a7p-11700.php
ZTE Voyage 20 Pro Android smartphone, Announced Nov 2021," Features 6.67″  display, MediaTek MT6853V Dimensity 720 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/zte_voyage_20_pro-11243.php
ZTE Avid 589 Android smartphone, Announced Nov 2021," Features 5.5″  display, MT6762D Helio P22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/zte_avid_589-11721.php
ZTE Blade A71 Android smartphone, Announced Oct 2021," Features 6.52″  display, Unisoc SC9863A chipset, 4000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/zte_blade_a71-11240.php
ZTE Blade A31 Plus Android smartphone, Announced Oct 2021," Features 6.0″  display, Unisoc SC9863A chipset, 3000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/zte_blade_a31_plus-11237.php
ZTE Blade A31 Android smartphone, Announced Jul 2021," Features 5.45″  display, Unisoc SC9863A chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/zte_blade_a31-11238.php
ZTE Blade A51 Android smartphone, Announced May 2021," Features 6.52″  display, Unisoc SC9863A chipset, 3200 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/zte_blade_a51-11239.php
ZTE Blade L9 Android smartphone, Announced Oct 2021," Features 5.0″  display, Unisoc SC7731e chipset, 2000 mAh battery, 32 GB storage, 1000 MB RAM",https://www.gsmarena.com/zte_blade_l9-11203.php
ZTE nubia Red Magic 6s Pro Android smartphone, Announced Sep 2021," Features 6.8″  display, Snapdragon 888+ 5G chipset, 5050 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/zte_nubia_red_magic_6s_pro-11083.php
ZTE nubia Red Magic 6s Android smartphone, Announced Sep 2021," Features 6.8″  display, Snapdragon 888+ 5G chipset, 5050 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/zte_nubia_red_magic_6s-11082.php
ZTE Axon 30 5G Android smartphone, Announced Jul 2021," Features 6.92″  display, Snapdragon 870 5G chipset, 4200 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/zte_axon_30_5g-11020.php
ZTE Blade V30 Vita Android smartphone, Announced Jul 2021," Features 6.82″  display, 5000 mAh battery, 128 GB storage, 3 GB RAM",https://www.gsmarena.com/zte_blade_v30_vita-11018.php
ZTE Blade V30 Android smartphone, Announced Jul 2021," Features 6.67″  display, Unisoc Tiger T618 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/zte_blade_v30-11009.php
ZTE nubia Red Magic 6R Android smartphone, Announced May 2021," Features 6.67″  display, Snapdragon 888 5G chipset, 4200 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/zte_nubia_red_magic_6r-10929.php
ZTE nubia Z30 Pro Android smartphone, Announced May 2021," Features 6.67″  display, Snapdragon 888 5G chipset, 4200 mAh battery, 512 GB storage, 16 GB RAM",https://www.gsmarena.com/zte_nubia_z30_pro-10914.php
ZTE Blade 11 Prime Android smartphone, Announced Apr 2021," Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/zte_blade_11_prime-10885.php
ZTE Axon 30 Ultra 5G Android smartphone, Announced Apr 2021," Features 6.67″  display, Snapdragon 888 5G chipset, 4600 mAh battery, 1024 GB storage, 18 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/zte_axon_30_ultra_5g-10837.php
ZTE Axon 30 Pro 5G Android smartphone, Announced Apr 2021," Features 6.67″  display, Snapdragon 888 5G chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/zte_axon_30_pro_5g-10858.php
ZTE S30 Pro Android smartphone, Announced Mar 2021," Features 6.67″  display, Snapdragon 768G 5G chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/zte_s30_pro-10798.php
ZTE S30 Android smartphone, Announced Mar 2021," Features 6.67″  display, Snapdragon 720G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/zte_s30-10820.php
ZTE S30 SE Android smartphone, Announced Mar 2021," Features 6.67″  display, MediaTek MT6833 Dimensity 700 chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/zte_s30_se-10821.php
ZTE nubia Red Magic 6 Pro Android smartphone, Announced Mar 2021," Features 6.8″  display, Snapdragon 888 5G chipset, 5050 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass",https://www.gsmarena.com/zte_nubia_red_magic_6_pro-10772.php
