Device_Names,Announced_Date,Features,Device_Url
alcatel 1B (2022) Android smartphone, Announced May 2022," Features 5.5″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/alcatel_1b_(2022)-11706.php
alcatel 1L Pro (2021) Android smartphone, Announced Jun 2021," Features 6.1″  display, Unisoc SC9863A chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/alcatel_1l_pro_(2021)-10981.php
alcatel 1 (2021) Android smartphone, Announced Jun 2021," Features 5.0″  display, MT6739 chipset, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Glass",https://www.gsmarena.com/alcatel_1_(2021)-10980.php
alcatel 3L (2021) Android smartphone, Announced Jan 2021," Features 6.52″  display, MT6762D Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/alcatel_3l_(2021)-10679.php
alcatel 1S (2021) Android smartphone, Announced Jan 2021," Features 6.52″  display, MT6762D Helio P22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM",https://www.gsmarena.com/alcatel_1s_(2021)-10680.php
alcatel 1L (2021) Android smartphone, Announced Jan 2021," Features 6.1″  display, MT6761D Helio A20 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/alcatel_1l_(2021)-10682.php
alcatel 1V (2021) Android smartphone, Announced Feb 2021," Features 6.52″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM",https://www.gsmarena.com/alcatel_1v_(2021)-11659.php
alcatel 1SE (2020) Android smartphone, Announced Oct 2020," Features 6.22″  display, Unisoc SC9863A chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/alcatel_1se_(2020)-10618.php
alcatel Go Flip 3 smartphone, Announced Sep 2019," Features 2.8″  display, Snapdragon 210 chipset, 1350 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/alcatel_go_flip_3-10500.php
alcatel Go Flip V smartphone, Announced Jul 2019," Features 2.8″  display, Snapdragon 210 chipset, 1350 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/alcatel_go_flip_v-10501.php
