Device_Names,Announced_Date,Features,Device_Url
verykool s5702 Royale Quattro Android smartphone, Announced Feb 2018," Features 5.7″  display, MT6580 chipset, Dual: 13 MP (AF) + 2 MP primary camera, Dual: 5 MP + 2 MP front camera, 3200 mAh battery, 16 GB storage, 2 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5702_royale_quattro-9101.php
verykool s5037 Apollo Quattro Android smartphone, Announced Feb 2018," Features 5.0″  display, MT6580 chipset, Dual: 13 MP (AF) + 2 MP primary camera, Dual: 5 MP + 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5037_apollo_quattro-9100.php
verykool s5036 Apollo Android smartphone, Announced Feb 2018," Features 5.0″  display, MT6580M chipset, Dual: 8 MP (AF) + 2 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5036_apollo-9099.php
verykool s5200 Orion Android smartphone, Announced Dec 2017," Features 5.2″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5200_orion-8988.php
verykool s5031 Bolt Turbo Android smartphone, Announced Nov 2017," Features 5.0″  display, MT6580 chipset, 8 MP primary camera, 8 MP front camera, 2000 mAh battery, 16 GB storage, 2 GB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5031_bolt_turbo-8955.php
verykool sl5029 Bolt Pro LTE Android smartphone, Announced Nov 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_sl5029_bolt_pro_lte-8940.php
verykool s5029 Bolt Pro Android smartphone, Announced Nov 2017," Features 5.0″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5029_bolt_pro-8935.php
verykool s5205 Orion Pro Android smartphone, Announced Nov 2017," Features 5.2″  display, MT6580 chipset, 8 MP primary camera, 8 MP front camera, 2000 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5205_orion_pro-8934.php
verykool s6005X Cyprus Pro Android smartphone, Announced Nov 2017," Features 6.0″  display, MT6580 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Dragontrail Glass",https://www.gsmarena.com/verykool_s6005x_cyprus_pro-8933.php
verykool s5527 Alpha Pro Android smartphone, Announced Aug 2017," Features 5.5″  display, MT6580 chipset, 13 MP primary camera, 8 MP front camera, 2800 mAh battery, 16 GB storage, 1000 MB RAM, Scratch-resistant glass",https://www.gsmarena.com/verykool_s5527_alpha_pro-8828.php
