Device_Names,Announced_Date,Features,Device_Url
vivo Y73t Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT6833 Dimensity 700 chipset, 6000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_y73t-11914.php
vivo X Fold+ Android smartphone, Announced Sep 2022," Features 8.03″  display, Snapdragon 8+ Gen 1 chipset, 4730 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_x_fold+-11891.php
vivo X80 Lite Android smartphone, Announced Sep 2022," Features 6.44″  display, MediaTek MT6877 Dimensity 900 chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_x80_lite-11895.php
vivo Y52t Android smartphone, Announced Sep 2022," Features 6.51″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y52t-11885.php
vivo iQOO Z6 Lite Android smartphone, Announced Sep 2022," Features 6.58″  display, Snapdragon 4 Gen 1 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/vivo_iqoo_z6_lite-11879.php
vivo Y16 Android smartphone, Announced Sep 2022," Features 6.51″  display, MT6765 Helio P35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/vivo_y16-11874.php
vivo Y75s Android smartphone, Announced Sep 2022," Features 6.58″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_y75s-11863.php
vivo Y22 Android smartphone, Announced Sep 2022," Features 6.55″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/vivo_y22-11852.php
vivo V25e Android smartphone, Announced Aug 2022," Features 6.44″  display, MediaTek MT8781 Helio G99 chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_v25e-11833.php
vivo iQOO Z6 (China) Android smartphone, Announced Aug 2022," Features 6.64″  display, Snapdragon 778G+ 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_iqoo_z6_(china)-11800.php
vivo iQOO Z6x Android smartphone, Announced Aug 2022," Features 6.58″  display, MediaTek MT6833P Dimensity 810 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_iqoo_z6x-11824.php
vivo Y22s Android smartphone, Announced Aug 2022," Features 6.55″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y22s-11809.php
vivo Y77e (t1) Android smartphone, Announced Aug 2022," Features 6.58″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y77e_(t1)-11780.php
vivo V25 Pro Android smartphone, Announced Aug 2022," Features 6.56″  display, MediaTek Dimensity 1300 chipset, 4830 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_v25_pro-11771.php
vivo V25 Android smartphone, Announced Aug 2022," Features 6.44″  display, MediaTek MT6877 Dimensity 900 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_v25-11772.php
vivo Y35 Android smartphone, Announced Aug 2022," Features 6.58″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y35-11770.php
vivo Y77e Android smartphone, Announced Aug 2022," Features 6.58″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y77e-11767.php
vivo Y02s Android smartphone, Announced Aug 2022," Features 6.51″  display, MT6765 Helio P35 chipset, 5000 mAh battery, 64 GB storage, 3 GB RAM",https://www.gsmarena.com/vivo_y02s-11697.php
vivo iQOO 9T Android smartphone, Announced Aug 2022," Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 4700 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5",https://www.gsmarena.com/vivo_iqoo_9t-11658.php
vivo Y30 5G Android smartphone, Announced Jul 2022," Features 6.51″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/vivo_y30_5g-11696.php
vivo T1x (India) Android smartphone, Announced Jul 2022," Features 6.58″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/vivo_t1x_(india)-11704.php
vivo iQOO 10 Pro Android smartphone, Announced Jul 2022," Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 4700 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_iqoo_10_pro-11701.php
vivo iQOO 10 Android smartphone, Announced Jul 2022," Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 4700 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_iqoo_10-11703.php
vivo Y77 (China) Android smartphone, Announced Jul 2022," Features 6.64″  display, MediaTek Dimensity 930 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_y77_(china)-11661.php
vivo Y77 Android smartphone, Announced Jul 2022," Features 6.58″  display, MediaTek MT6833P Dimensity 810 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y77-11650.php
vivo iQOO U5e Android smartphone, Announced Jun 2022," Features 6.51″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/vivo_iqoo_u5e-11637.php
vivo iQOO Neo 6 Android smartphone, Announced May 2022," Features 6.62″  display, Snapdragon 870 5G chipset, 4700 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_iqoo_neo_6-11578.php
vivo Y33e Android smartphone, Announced May 2022," Features 6.51″  display, MediaTek MT6833 Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM",https://www.gsmarena.com/vivo_y33e-11573.php
vivo T2x Android smartphone, Announced May 2022," Features 6.58″  display, MediaTek Dimensity 1300 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_t2x-11554.php
vivo Y72t Android smartphone, Announced May 2022," Features 6.58″  display, MediaTek MT6833 Dimensity 700 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y72t-11548.php
vivo T2 Android smartphone, Announced May 2022," Features 6.62″  display, Snapdragon 870 5G chipset, 4700 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_t2-11528.php
vivo Y75 Android smartphone, Announced May 2022," Features 6.44″  display, MT6781 Helio G96 chipset, 4050 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_y75-11545.php
vivo S15 Pro Android smartphone, Announced May 2022," Features 6.56″  display, MediaTek Dimensity 8100 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_s15_pro-11540.php
vivo S15 Android smartphone, Announced May 2022," Features 6.62″  display, Snapdragon 870 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_s15-11515.php
vivo iQOO Neo6 SE Android smartphone, Announced May 2022," Features 6.62″  display, Snapdragon 870 5G chipset, 4700 mAh battery, 512 GB storage, 12 GB RAM",https://www.gsmarena.com/vivo_iqoo_neo6_se-11507.php
vivo T1 Pro Android smartphone, Announced May 2022," Features 6.44″  display, Snapdragon 778G 5G chipset, 4700 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_t1_pro-11511.php
vivo T1 (Snapdragon 680) Android smartphone, Announced May 2022," Features 6.44″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM",https://www.gsmarena.com/vivo_t1_(snapdragon_680)-11512.php
